report_date,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,noncomm_postions_spread_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
2003-04-01,75951,16707,6143,153,22378,50451,36713,19204
2003-04-08,71412,15619,2474,100,19364,48155,36329,20683
2003-04-15,77639,16934,2729,100,24520,54713,36085,20097
2003-04-22,95982,27788,3401,204,25211,68091,42779,24286
2003-04-29,103869,31023,3018,166,23951,74592,48729,26093
2003-05-06,115082,34554,2584,137,29230,81472,51161,30889
2003-05-13,100930,28679,3776,277,22984,66704,48990,30173
2003-05-20,108716,30918,4020,1259,24360,74601,52179,28836
2003-05-27,110029,31242,7129,801,26381,69677,51605,32422
2003-06-03,115440,35738,5705,335,28438,82589,50929,26811
2003-06-10,136383,32439,6177,852,48533,97488,54559,31866
2003-06-17,103252,33888,5765,574,19724,73401,49066,23512
2003-06-24,94856,27814,4344,275,22540,69143,44227,21094
2003-07-01,101717,28532,4902,185,25643,71594,47357,25036
2003-07-08,94616,25188,6027,309,26694,66038,42425,22242
2003-07-15,99175,22847,6652,607,33860,65327,41861,26589
2003-07-22,96459,18266,5113,715,38271,67483,39207,23148
2003-07-29,96272,17608,5188,1266,34149,68502,43249,21316
2003-08-05,93299,16777,2888,1298,35466,69227,39758,19886
2003-08-12,97523,18505,3803,1211,36733,72336,41074,20173
2003-08-19,95786,16930,7809,713,37631,60069,40512,27195
2003-08-26,100114,14690,12017,849,40446,59159,44129,28089
2003-09-02,107173,14372,12243,1221,47245,63189,44335,30520
2003-09-09,114940,13438,10933,1437,53083,69694,46982,32876
2003-09-16,80591,11847,7123,492,28498,50958,39754,22018
2003-09-23,82549,15340,6563,622,21389,53635,45198,21729
2003-09-30,91864,18650,5001,340,18884,58731,53990,27792
2003-10-07,96823,25794,5769,50,19886,65167,51093,25837
2003-10-14,105915,29854,4860,50,21711,75716,54300,25289
2003-10-21,106515,28987,4874,15,26125,76465,51388,25161
2003-10-28,102842,28893,4688,87,22558,75056,51304,23011
2003-11-04,98943,21858,2285,127,30611,71620,46347,24911
2003-11-11,102826,21264,3345,495,33138,73291,47929,25695
2003-11-18,125596,37534,2988,1082,31787,87711,55193,33815
2003-11-25,122880,33819,3322,569,34228,90331,54264,28658
2003-12-02,135551,35337,4657,118,41775,96997,58321,33779
2003-12-09,152632,33513,5515,204,63614,109882,55301,37031
2003-12-16,119162,39854,5071,613,28939,85043,49756,28435
