long_short,thr,H,n_events,n_long,n_short,insufficient,n_obs,mean_active,net_sharpe,gross_sharpe,net_pf,cagr,total_return,max_dd,skew,ekurt,top_year_share,ev_mean_drift,ev_win_rate,ev_median_drift,is_sharpe,is_pf,is_cagr,is_n,oos_sharpe,oos_pf,oos_cagr,oos_n,gfc_sharpe,gfc_cagr,gfc_n
True,1.0,20,2295,2044,251,False,4820,9.522821576763485,0.5727652548797927,0.6578989698070771,1.1213065926202168,0.097700336548036,4.947479441145088,0.3881092304777445,-0.4386576440320366,34.63184897925537,0.16710795891257385,0.011484223686496616,0.5773420479302832,0.011506253382605136,0.5038955901413823,1.1060931560541785,0.08524079812645047,971,0.6410897188474473,1.1365080063478308,0.10947581481316648,1322,-0.08185069355528031,-0.07802389526652354,220
True,1.0,60,2295,2044,251,False,4946,27.840679336837848,0.8574995798220724,0.9064119660232918,1.1733634210387278,0.116112018394527,7.636940598041162,0.3222585394656356,-0.13284216361352005,8.153777310481802,0.1142689029642901,0.02940179317141045,0.6130718954248366,0.03010858276775563,0.6445283509396401,1.1273242652727133,0.08825415740434805,945,1.1161644121906527,1.231641266007905,0.14858902265601648,1322,-0.15891904640192406,-0.059633951073859826,190
True,1.5,20,1599,1438,161,False,4679,6.834793759350289,0.46171414360341334,0.5363578715603605,1.099154351914816,0.07995483141207793,3.1711614344737855,0.487236452914471,-0.7779443796117759,30.61992370630696,0.209744447018473,0.012826241319404033,0.5891181988742964,0.012134335904437688,0.2564857084717212,1.053836416011464,0.03252943709228351,652,0.6508696218227044,1.1427402644105504,0.12391363049513027,946,-0.33508395348516284,-0.16862867977055807,145
True,1.5,60,1599,1438,161,False,4946,19.397492923574607,0.907064155524245,0.953331820031353,1.1827418653485933,0.12753187496111318,9.547066431128739,0.2857113748480436,-0.05902266149865451,8.913439918857142,0.11422199353333734,0.03369598033444948,0.6228893058161351,0.03441449968433097,0.7028702055189114,1.136240210923952,0.09815144830385458,633,1.1353304355494147,1.2384617455811726,0.1598738786325553,946,-0.026320482491400208,-0.027704529841110936,124
True,2.0,20,1098,984,114,False,4479,4.902880107166778,0.4228591265871833,0.49056276353039596,1.0889239589614164,0.07471041498588193,2.598888632847799,0.5033683659233316,-0.6382302694917842,23.461095811920853,0.2862218888541213,0.01252404937453976,0.5919854280510018,0.013070038690570995,0.3207848684026182,1.0665891318300615,0.049419017211856264,444,0.5127557968058629,1.1090161198822341,0.09615559922785888,654,-0.07666922541520436,-0.10105185738977218,100
True,2.0,60,1098,984,114,False,4946,13.319854427820461,0.7563662389645367,0.7962489468813718,1.161180179788331,0.1190022386615297,8.086662256891723,0.33952606497348714,-0.28375300703654616,22.85872466179414,0.13457366859800293,0.033574523204223,0.6120218579234973,0.030697894449397967,0.6347452920044925,1.122623491335788,0.09064056844087953,430,0.8890684997234485,1.2062095082967335,0.15157410789206427,654,0.15939011475327053,0.010320447914184516,83
False,1.0,20,2044,2044,0,False,4776,8.559463986599665,0.6709510581609904,0.7362461374364561,1.1375686481281324,0.13243625416437022,9.560620649003639,0.39330335507768815,-0.2000393631473886,13.827680848460886,0.15761476532558755,0.012568471224816125,0.5826810176125244,0.011808352504385833,0.677089205666771,1.1330573589370199,0.13881815779751938,835,0.6788955784871045,1.1449526981149563,0.13029310330512534,1208,0.47303465605728495,0.11106432668675614,181
False,1.0,60,2044,2044,0,False,4946,24.795794581479985,0.8045894056323867,0.8288983793990189,1.1697265283902325,0.14356758672112657,12.915671059475324,0.4551101067318408,-0.17127428783618207,13.613176254630092,0.11214027525481338,0.03629550177301343,0.6404109589041096,0.03615512954278377,0.653151869805712,1.132011344107697,0.11837463482160704,812,0.9985181615251609,1.2205482835811257,0.17356069073585645,1208,0.1392808009368568,-0.0083418542521978,152
False,1.5,20,1438,1438,0,False,4623,6.221068570192515,0.6420684775224994,0.7023865727857659,1.1335673009454856,0.13244461185703948,8.793866307756595,0.45245643802323526,-0.07286885416518474,13.340913142087922,0.1566955173664188,0.014295776400621154,0.5980528511821975,0.013646282955038114,0.5433064629603566,1.1093057560129818,0.11144654782827557,568,0.7475132334566721,1.1601441362998195,0.15324122736423162,869,0.44991247209268176,0.10585332787902213,118
False,1.5,60,1438,1438,0,False,4946,17.4443995147594,0.8105012597366875,0.8341901036001261,1.1714710715844445,0.14776825089048362,13.954006893926175,0.4178764739248758,-0.1280290682755896,14.88217234308834,0.11475451068735762,0.0398085351175496,0.6474269819193325,0.03771068752829421,0.6868292501770527,1.1389370408590584,0.12628229217000486,551,0.9597847431840517,1.2128666910277732,0.17264298812654677,869,0.23603869623047002,0.023820732881176365,98
False,2.0,20,984,984,0,False,4397,4.4757789401864905,0.6164874831368375,0.6733745397147887,1.1254832118404088,0.13023586413053434,7.466737996075121,0.4611143032436111,-0.1368972319530996,11.620185861307284,0.2030628950185328,0.014166259283323702,0.6026422764227642,0.014623494600554676,0.626842647448081,1.1243454516501048,0.138113217590345,386,0.6082708315349404,1.1265330119290722,0.12390517936843182,598,0.5386563909344892,0.14554571637166225,79
False,2.0,60,984,984,0,False,4946,11.936918722199758,0.734381011268933,0.756601612661322,1.1538052870207982,0.13786226510925847,11.61454402306597,0.39388201770269854,-0.033349284853274055,15.285940295342742,0.1316006321435151,0.04032352902678908,0.6382113821138211,0.035795514244978066,0.6080201491260372,1.1211212875774466,0.11099636797276013,373,0.8734916879750733,1.1924703567128707,0.1670186622305796,598,0.2682458382151107,0.03434631024775703,63
