opt_type,entry_date,exp_date,exit_date,exit_reason,days_held,dte_at_entry,width,width_pct,contracts,net_credit,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,cell
call,1994-01-27,1994-03-04,1994-02-17,early_75%,21,36,0.5372764968872055,0.02,39.34528712963671,2.8956404213766462,2.3773679109839208,93.53822307044696,0.8210162744770885,0.04676911153522348,True,0.0,2pct_UNFILTERED_early75pct
put,1994-01-27,1994-03-04,1994-03-04,early_75%,36,36,0.5372764968872055,0.02,39.538393327535424,3.1439048351542596,3.1439048351542596,124.30494595666953,1.0,0.06215247297833477,True,0.0,2pct_UNFILTERED_early75pct
call,1994-02-18,1994-03-25,1994-03-07,early_75%,17,35,0.5274309921264653,0.02,40.34318305556068,3.1706516267012708,2.3691929332580632,95.5807842003708,0.7472258741093417,0.04779253493889971,True,0.0,2pct_UNFILTERED_early75pct
put,1994-03-07,1994-04-13,1994-03-22,early_75%,15,37,0.5281342315673818,0.02,40.77670769546364,3.623506561505199,2.7575884967950572,112.44538007818502,0.761027598539675,0.056060036033122616,True,0.0,2pct_UNFILTERED_early75pct
call,1994-03-08,1994-04-14,1994-03-23,early_75%,15,37,0.5260245513916004,0.02,40.64170482752715,3.2415726170059993,2.59524584363773,105.47521553199131,0.800613205461603,0.052576974134790594,True,0.0,2pct_UNFILTERED_early75pct
call,1994-03-24,1994-04-29,1994-04-06,early_75%,13,36,0.5248149871826158,0.02,40.70967734951703,3.095288851178151,2.509678034544844,102.16818303749065,0.8108057616624672,0.05081738487928749,True,0.0,2pct_UNFILTERED_early75pct
call,1994-04-07,1994-05-13,1994-04-19,early_75%,12,36,0.5096080780029304,0.02,41.79998849686796,3.1562321499082597,2.426519519142273,101.4284879875726,0.7688026114342709,0.050759147762098,True,0.0,2pct_UNFILTERED_early75pct
put,1994-03-23,1994-04-29,1994-04-29,early_75%,37,37,0.5311806488037121,0.02,40.44803653750689,3.4191586491459716,3.4191586491459716,138.29825396818896,1.0,0.06879746272962753,True,0.0,2pct_UNFILTERED_early75pct
call,1994-04-20,1994-05-27,1994-05-09,early_75%,19,37,0.5014741134643543,0.02,42.43391298078952,3.112525179780439,2.4944385569638188,105.84878866212887,0.8014195590025007,0.05303379598125255,True,0.0,2pct_UNFILTERED_early75pct
put,1994-05-02,1994-06-08,1994-05-18,early_75%,16,37,0.5134982299804705,0.02,42.18278726259441,3.5078213810418624,2.788496960810679,117.62657408026793,0.7949369873509534,0.058285541293479716,True,0.0,2pct_UNFILTERED_early75pct
put,1994-05-19,1994-06-24,1994-06-03,early_75%,15,36,0.5175652694702144,0.02,41.74032864734649,3.3132193495021736,2.7067222863311837,112.97947778856069,0.8169462992958438,0.05587401894229435,True,0.0,2pct_UNFILTERED_early75pct
call,1994-05-10,1994-06-16,1994-06-08,early_75%,29,37,0.5058949279785168,0.02,42.40710875188555,3.0802901273085848,2.8127958956079864,119.2825414419052,0.9131594036129569,0.059205285239442476,True,0.0,2pct_UNFILTERED_early75pct
call,1994-06-09,1994-07-15,1994-06-23,early_75%,14,36,0.5209250259399418,0.02,41.29598401585761,3.0585129859329556,2.5269457887029962,104.35271289921764,0.8262007715269476,0.051534574463579126,True,0.0,2pct_UNFILTERED_early75pct
put,1994-06-06,1994-07-13,1994-07-08,early_75%,32,37,0.5230471801757801,0.02,41.456650996589836,3.4539456326535003,2.703176195179733,112.0646321058558,0.7826342631522583,0.055335382906124546,True,0.0,2pct_UNFILTERED_early75pct
call,1994-06-24,1994-07-29,1994-07-13,early_75%,19,35,0.5019418716430657,0.02,43.02576818478243,3.0947360859711384,2.5382852325157113,109.21167200107756,0.8201944081830128,0.05389203428919067,True,0.0,2pct_UNFILTERED_early75pct
put,1994-07-11,1994-08-17,1994-07-14,early_75%,3,37,0.5097734832763656,0.02,42.762457952298924,3.453479828066408,2.7024631169990245,115.56396540830947,0.7825333436252109,0.05686538580131514,True,0.0,2pct_UNFILTERED_early75pct
put,1994-07-15,1994-08-19,1994-07-29,early_75%,14,35,0.5170710754394534,0.02,41.91451697082697,3.1491467456821507,2.627003567747691,110.1095856227836,0.8341953487399787,0.05410036839606438,True,0.0,2pct_UNFILTERED_early75pct
call,1994-07-14,1994-08-19,1994-08-08,early_75%,25,36,0.5168931198120106,0.02,41.710996274688334,2.9177183514371627,2.18760319872713,91.2471088726036,0.7497650339175458,0.0448540438381759,True,0.0,2pct_UNFILTERED_early75pct
put,1994-08-01,1994-09-07,1994-08-16,early_75%,15,37,0.5254369735717788,0.02,41.33207217331423,3.228609080834509,2.56432279316957,105.9887747629594,0.7942500095139301,0.05199874689060802,True,0.0,2pct_UNFILTERED_early75pct
put,1994-08-17,1994-09-23,1994-08-26,early_75%,9,37,0.5309544372558577,0.02,40.99885291575478,3.3150900113469994,2.6913419867446517,110.34193426053923,0.8118458254625478,0.05406434036596333,True,0.0,2pct_UNFILTERED_early75pct
call,1994-08-09,1994-09-15,1994-09-09,early_75%,31,37,0.5236572647094739,0.02,41.323563787640644,3.040584235978628,2.650905491200875,109.5448621606462,0.8718408323746594,0.0537434941104241,True,0.0,2pct_UNFILTERED_early75pct
call,1994-09-12,1994-10-19,1994-09-27,early_75%,15,37,0.5338024520874036,0.02,40.71956354874347,3.193166532270439,2.567518804330956,104.54824511554821,0.8040666775075371,0.051158961072080296,True,0.0,2pct_UNFILTERED_early75pct
put,1994-08-29,1994-10-05,1994-10-05,early_75%,37,37,0.5428803634643558,0.02,40.08544400688395,3.4287505964356773,3.4287505964356773,137.44299004699226,1.0,0.06741641267417296,True,0.0,2pct_UNFILTERED_early75pct
put,1994-10-06,1994-11-11,1994-10-11,early_75%,5,36,0.5186042785644531,0.02,42.63396166901389,3.723957464440322,3.463047163276601,147.6434200171219,0.929937357326144,0.07194227443505663,True,0.0,2pct_UNFILTERED_early75pct
call,1994-09-28,1994-11-04,1994-10-24,early_75%,26,37,0.5325724411010739,0.02,40.82935469021108,3.1409561460948185,2.783498043857424,113.6484289121635,0.8861944944115742,0.05554078637779786,True,0.0,2pct_UNFILTERED_early75pct
put,1994-10-12,1994-11-18,1994-10-28,early_75%,16,37,0.5350793457031244,0.02,41.25083186425843,3.697165626151043,3.298380379694752,136.0609344671571,0.8921375759756133,0.0662182184618006,True,0.0,2pct_UNFILTERED_early75pct
call,1994-10-25,1994-12-01,1994-11-17,early_75%,23,37,0.5297071838378891,0.02,41.325029340086076,3.260914857297381,2.6866421169454577,111.025564309082,0.8238921390214169,0.054046524555537274,True,0.0,2pct_UNFILTERED_early75pct
call,1994-11-18,1994-12-23,1994-11-29,early_75%,11,35,0.5325724411010739,0.02,41.182474360183605,3.258406698873298,2.5764909126198967,106.10627094821496,0.7907210949175878,0.05153101644001411,True,0.0,2pct_UNFILTERED_early75pct
put,1994-10-31,1994-12-07,1994-12-06,early_75%,36,37,0.5442123413085938,0.02,40.56901967747497,3.765485629900325,3.3580385102180594,136.23233039875518,0.8917942704529586,0.06629136099241496,True,0.0,2pct_UNFILTERED_early75pct
put,1994-12-07,1995-01-13,1994-12-14,early_75%,7,37,0.519320526123046,0.02,42.88457923678502,3.751209359731251,3.031904958106346,130.02196841431297,0.8082473323545882,0.06292760262024702,True,0.0,2pct_UNFILTERED_early75pct
call,1994-11-30,1995-01-06,1994-12-14,early_75%,14,37,0.5225440979003899,0.02,41.99549038473373,3.2106650316004903,2.5451686436985566,106.88560530396852,0.792723195552359,0.05189588715614203,True,0.0,2pct_UNFILTERED_early75pct
put,1994-12-15,1995-01-20,1994-12-23,early_75%,8,36,0.5259466171264648,0.02,42.11731604564499,3.433400938273843,2.5841892486587286,108.83911530751755,0.752661659712233,0.05256556093056599,True,0.0,2pct_UNFILTERED_early75pct
call,1994-12-15,1995-01-20,1995-01-09,early_75%,25,36,0.5259466171264648,0.02,41.80420125167856,3.0651815350175893,2.3696924301102986,99.06309925291016,0.7731001909799448,0.04784408036611343,True,0.0,2pct_UNFILTERED_early75pct
put,1994-12-27,1995-02-02,1995-01-13,early_75%,17,37,0.5350135040283206,0.02,41.3803144877571,3.4125463836957124,3.0327289279230074,125.49527679357247,0.8886996942847789,0.06054704214467485,True,0.0,2pct_UNFILTERED_early75pct
put,1995-01-16,1995-02-22,1995-02-02,early_75%,17,37,0.543136291503906,0.02,40.730738296768344,3.3329020001161966,2.649729031044509,107.92541972082346,0.7950215850787482,0.05197511254074467,True,0.0,2pct_UNFILTERED_early75pct
put,1995-02-03,1995-03-10,1995-02-15,early_75%,12,35,0.5548690414428705,0.02,39.881775229574295,3.333233050385325,2.570872244167499,102.53094898583944,0.7712848772666236,0.049294176042539564,True,0.0,2pct_UNFILTERED_early75pct
call,1995-01-10,1995-02-16,1995-02-16,early_75%,37,37,0.5330282592773443,0.02,41.31860266475917,3.093524010534333,3.093524010534333,127.82008942516036,1.0,0.0616125676400729,True,0.0,2pct_UNFILTERED_early75pct
put,1995-02-16,1995-03-24,1995-03-10,early_75%,22,36,0.5619087600707999,0.02,39.48407857930417,3.4955837817282216,3.267070006166711,128.99724884757418,0.93462786480588,0.06199927675123356,True,0.0,2pct_UNFILTERED_early75pct
call,1995-02-17,1995-03-24,1995-03-20,early_75%,31,35,0.5597430038452131,0.02,39.44945094761313,3.150967680608647,2.791002724954964,110.10352509276542,0.8857605052984385,0.052836551237673654,True,0.0,2pct_UNFILTERED_early75pct
put,1995-03-13,1995-04-19,1995-03-22,early_75%,9,37,0.5685874176025401,0.02,39.21713842149093,3.637875059404145,2.7174561871852623,106.5708554471814,0.7469899715660824,0.05105997620181313,True,0.0,2pct_UNFILTERED_early75pct
put,1995-03-23,1995-04-28,1995-03-28,early_75%,5,36,0.5751131439208983,0.02,38.74869490957162,3.550421543157073,2.659698754889679,103.05985560458767,0.7491219627190089,0.04928937633288777,True,0.0,2pct_UNFILTERED_early75pct
put,1995-03-29,1995-05-05,1995-04-12,early_75%,14,37,0.5854573822021472,0.02,38.1774199484663,3.796384483955702,2.8486633481363297,108.75461693360472,0.750362182801917,0.0520309949567448,True,0.0,2pct_UNFILTERED_early75pct
call,1995-03-21,1995-04-27,1995-04-25,early_75%,35,37,0.5742059707641616,0.02,38.5947068717297,3.245679019204109,2.5010989840510813,96.52918214663244,0.7705934472424786,0.046167102300178224,True,0.0,2pct_UNFILTERED_early75pct
put,1995-04-13,1995-05-19,1995-04-28,early_75%,15,36,0.5932611465454087,0.02,37.61520708647284,3.670339007120639,2.8535247278187694,107.33592356327406,0.7774553582878286,0.0512709542653016,True,0.0,2pct_UNFILTERED_early75pct
put,1995-05-01,1995-06-07,1995-05-08,early_75%,7,37,0.597616691589355,0.02,37.524732073255706,3.8221439847769623,3.021424934612678,113.37816115079488,0.7905052626605825,0.05401234503163848,True,0.0,2pct_UNFILTERED_early75pct
put,1995-05-09,1995-06-15,1995-05-23,early_75%,14,37,0.6099570846557612,0.02,36.822780385047416,3.9892591452891986,3.5047014978055357,129.05285356884,0.8785344271113941,0.061479035084514834,True,0.0,2pct_UNFILTERED_early75pct
call,1995-04-26,1995-06-02,1995-05-26,early_75%,30,37,0.5968906402587919,0.02,37.306561510932134,3.4438593149540493,2.862182421927221,106.77818457913658,0.8310973707604575,0.050887581201589385,True,0.0,2pct_UNFILTERED_early75pct
put,1995-05-24,1995-06-30,1995-06-13,early_75%,20,37,0.6170351791381847,0.02,36.33529264357181,3.8065488252933974,3.598896439536675,130.76695532447374,0.9454486477680429,0.06216035996692546,True,0.0,2pct_UNFILTERED_early75pct
put,1995-06-14,1995-07-21,1995-06-19,early_75%,5,37,0.6259276962280289,0.02,35.87864653300887,3.8664792878025436,2.9030135506734154,104.1561970651465,0.7508157511231103,0.04943294620030248,True,0.0,2pct_UNFILTERED_early75pct
put,1995-06-20,1995-07-27,1995-07-06,early_75%,16,37,0.6359930038452148,0.02,35.25107028705423,3.906193689918351,3.5728960157771863,125.94840858049763,0.9146745654212217,0.05985441558698791,True,0.0,2pct_UNFILTERED_early75pct
call,1995-05-30,1995-07-06,1995-07-06,expired,37,37,0.6103202819824247,0.02,36.58745484655359,3.542101968455555,-10.608797492707126,-388.1488992406529,-2.9950570557213028,-0.18453315543150675,False,10.608797492707126,2pct_UNFILTERED_early75pct
put,1995-07-07,1995-08-11,1995-07-25,early_75%,18,35,0.6515093231201163,0.02,34.46305452722503,4.052474079407516,3.140579517840991,108.23396317044018,0.7749783111012898,0.05140194382458371,True,0.0,2pct_UNFILTERED_early75pct
call,1995-07-07,1995-08-11,1995-07-31,early_75%,24,35,0.6515093231201163,0.02,34.25093049487369,3.674077021473876,2.760174061465664,94.53852993301368,0.7512564503501903,0.04489777573073907,True,0.0,2pct_UNFILTERED_early75pct
put,1995-07-26,1995-09-01,1995-08-16,early_75%,21,37,0.6564377593994131,0.02,34.408143896668115,4.356548402153525,3.577859110510625,123.10749111645458,0.8212600389661736,0.05837854401726085,True,0.0,2pct_UNFILTERED_early75pct
call,1995-08-01,1995-09-07,1995-08-17,early_75%,16,37,0.6549774169921889,0.02,34.24389377138142,3.8864050314297134,3.1032993740941905,106.26905410727592,0.7985012753425144,0.05036896684821669,True,0.0,2pct_UNFILTERED_early75pct
put,1995-08-17,1995-09-22,1995-09-01,early_75%,15,36,0.6555251312255876,0.02,34.43722334227296,4.164421494216224,3.584726231899878,123.44801786884065,0.8607981293148499,0.05839448884651155,True,0.0,2pct_UNFILTERED_early75pct
put,1995-09-05,1995-10-12,1995-09-13,early_75%,8,37,0.6681210327148435,0.02,33.82055249463152,4.190644070218425,3.397640861759056,114.91009112302723,0.8107681790264675,0.05425681395955672,True,0.0,2pct_UNFILTERED_early75pct
call,1995-08-18,1995-09-22,1995-09-21,early_75%,34,35,0.6562555694580112,0.02,34.155911941741465,3.728493640145884,3.131898595546435,106.9728526399478,0.8399903279502158,0.05059850061190686,True,0.0,2pct_UNFILTERED_early75pct
put,1995-09-14,1995-10-20,1995-10-12,early_75%,28,36,0.6865582275390594,0.02,32.84227337578251,4.176886054297708,3.4368490202768984,112.8739350752242,0.8228256590195067,0.05330188734793111,True,0.0,2pct_UNFILTERED_early75pct
call,1995-09-22,1995-10-27,1995-10-16,early_75%,24,35,0.6849007415771453,0.02,32.84629643623592,3.9359597621943814,3.36267826933214,110.45152725417223,0.8543477252057514,0.05209084348565549,True,0.0,2pct_UNFILTERED_early75pct
call,1995-10-17,1995-11-22,1995-10-31,early_75%,14,36,0.6898554229736362,0.02,32.749244562769356,4.114727238924615,3.1696524009028124,103.80372165613527,0.7703189584277772,0.04886099238998962,True,0.0,2pct_UNFILTERED_early75pct
put,1995-10-13,1995-11-17,1995-11-01,early_75%,19,35,0.6885709381103524,0.02,33.06613323788248,4.587832776288263,3.657898984679192,120.95257519811722,0.7973043402071373,0.056915217722848244,True,0.0,2pct_UNFILTERED_early75pct
put,1995-11-02,1995-12-08,1995-11-16,early_75%,14,36,0.6948109436035139,0.02,32.8219128309056,4.585522808827023,3.960632834794832,129.99554565885853,0.8637254681561516,0.06103086451207622,True,0.0,2pct_UNFILTERED_early75pct
put,1995-11-17,1995-12-22,1995-11-28,early_75%,11,35,0.7069230651855491,0.02,32.22615220641311,4.523223400735385,3.8124677192980307,122.861165004135,0.8428652271913433,0.057617055272016035,True,0.0,2pct_UNFILTERED_early75pct
put,1995-11-29,1996-01-05,1995-12-08,early_75%,9,37,0.7170167541503929,0.02,31.774363061552265,4.497331863387158,3.805982899989493,120.93268247032572,0.8462757509567068,0.05663298975704269,True,0.0,2pct_UNFILTERED_early75pct
call,1995-11-01,1995-12-08,1995-12-08,early_75%,37,37,0.6904061126708996,0.02,32.78007664716995,4.084814784655272,4.084814784655272,133.90054173049282,1.0,0.06288607031028995,True,0.0,2pct_UNFILTERED_early75pct
call,1995-12-11,1996-01-17,1995-12-20,early_75%,9,37,0.7331668090820287,0.02,30.914484350535776,4.083615034902833,3.298089767875351,101.95874451564471,0.8076397357944949,0.04763749411171563,True,0.0,2pct_UNFILTERED_early75pct
put,1995-12-11,1996-01-17,1996-01-03,early_75%,23,37,0.7331668090820287,0.02,31.093782291715108,4.482837813790153,3.6792287776591706,114.40113861394734,0.8207365357589089,0.053450869692292624,True,0.0,2pct_UNFILTERED_early75pct
call,1995-12-21,1996-01-26,1996-01-11,early_75%,21,36,0.7207109069824185,0.02,31.36980857631777,3.9541548618518783,2.973933720956474,93.29173154506101,0.752103502482366,0.04365924104542171,True,0.0,2pct_UNFILTERED_early75pct
put,1996-01-04,1996-02-09,1996-01-24,early_75%,20,36,0.7293901062011727,0.02,31.469610445095523,4.905683280019,4.34566856939099,136.75649700223002,0.8858436880935696,0.06387558479489051,True,0.0,2pct_UNFILTERED_early75pct
put,1996-01-25,1996-03-01,1996-01-30,early_75%,5,36,0.7292051696777335,0.02,31.51136728634743,4.771856067102452,3.7845934453033023,119.25771408445539,0.7931072086173312,0.05553437727587167,True,0.0,2pct_UNFILTERED_early75pct
put,1996-01-31,1996-03-08,1996-02-08,early_75%,8,37,0.7524715423583999,0.02,30.49555728885975,4.882921113528194,4.130334137242894,125.95684130442378,0.8458736156518588,0.058699341326768566,True,0.0,2pct_UNFILTERED_early75pct
