entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,target,stop,trigger
2018-01-19 15:01:00+00:00,2018-01-19 20:59:00+00:00,short,time,6818.6,6834.1,22.399999999999636,-0.6919642857142969,0.06710754464285823,-0.7590718303571551,-0.007590718303571551,NAS100,range,sneaky,c3
2018-01-29 15:03:00+00:00,2018-01-29 18:06:00+00:00,short,stop,6993.1395,7007.64,14.500500000000102,-1.0,0.12182711406503138,-1.1218271140650313,-0.011218271140650313,NAS100,range,sneaky,c3
2018-03-13 14:00:00+00:00,2018-03-13 15:09:00+00:00,short,target,7167.805,7106.5,18.000500000000102,3.4057387294797334,0.11331094552929023,3.292427783950443,0.03292427783950443,NAS100,range,sneaky,c3
2018-03-23 14:01:00+00:00,2018-03-23 15:43:00+00:00,long,stop,6682.2,6636.8945,45.30549999999948,-1.0,0.04355093752414215,-1.043550937524142,-0.01043550937524142,NAS100,range,sneaky,c3
2018-03-28 14:00:00+00:00,2018-03-28 14:43:00+00:00,long,stop,6516.3045,6438.805,77.4994999999999,-1.0,0.02515759595223199,-1.0251575959522319,-0.01025157595952232,NAS100,range,sneaky,c3
2018-05-07 14:01:00+00:00,2018-05-07 14:31:00+00:00,short,stop,6827.5945,6837.505,9.910499999999956,-1.0,0.19996218732657373,-1.1999621873265738,-0.011999621873265738,NAS100,range,sneaky,c3
2018-05-10 14:02:00+00:00,2018-05-10 14:27:00+00:00,short,stop,6913.2955,6928.1,14.80450000000019,-1.0,0.1353166194400334,-1.1353166194400335,-0.011353166194400336,NAS100,range,sneaky,c3
2018-05-16 14:00:00+00:00,2018-05-16 19:59:00+00:00,long,time,6917.2005,6929.9995,25.295500000000175,0.505979324385756,0.08716262052538928,0.41881670386036673,0.004188167038603668,NAS100,range,sneaky,c3
2018-05-22 14:01:00+00:00,2018-05-22 19:50:00+00:00,short,target,6924.4055,6890.6955,15.300000000000182,2.2032679738561853,0.13181664983659974,2.0714513240195855,0.020714513240195857,NAS100,range,sneaky,c3
2018-07-09 14:08:00+00:00,2018-07-09 18:59:00+00:00,short,stop,7236.8,7261.6,24.800000000000182,-1.0,0.08261967741935423,-1.0826196774193542,-0.010826196774193542,NAS100,range,sneaky,c3
2018-07-23 14:00:00+00:00,2018-07-23 19:59:00+00:00,long,time,7322.095,7372.495,22.699999999999818,2.2202643171806185,0.09068206277533113,2.129582254405287,0.02129582254405287,NAS100,range,sneaky,c3
2018-09-13 14:00:00+00:00,2018-09-13 16:02:00+00:00,short,stop,7549.995,7574.805,24.8100000000004,-1.0,0.08380690548165926,-1.0838069054816593,-0.010838069054816593,NAS100,range,sneaky,c3
2018-09-14 14:04:00+00:00,2018-09-14 14:35:00+00:00,short,stop,7562.895,7579.9,17.0049999999992,-1.0,0.12249284475154942,-1.1224928447515494,-0.011224928447515494,NAS100,range,sneaky,c3
2018-09-21 14:00:00+00:00,2018-09-21 19:42:00+00:00,short,target,7577.395,7522.8,23.30999999999949,2.3421278421279044,0.08935857250107447,2.25276926962683,0.022527692696268302,NAS100,range,sneaky,c3
2018-09-26 14:10:00+00:00,2018-09-26 14:34:00+00:00,short,stop,7578.9955,7588.3055,9.3100000000004,-1.0,0.22482968770138667,-1.2248296877013867,-0.012248296877013867,NAS100,range,sneaky,c3
2018-11-02 14:01:00+00:00,2018-11-02 16:46:00+00:00,short,target,7026.895,6932.5995,55.20550000000003,1.708081622302128,0.04183696959542073,1.6662446527067072,0.01666244652706707,NAS100,range,sneaky,c3
2018-11-09 15:00:00+00:00,2018-11-09 15:09:00+00:00,long,stop,7078.7995,7063.8055,14.993999999999687,-1.0,0.10204895074696758,-1.1020489507469675,-0.011020489507469675,NAS100,range,sneaky,c3
2018-12-07 15:06:00+00:00,2018-12-07 19:46:00+00:00,short,target,6806.295,6629.105,31.29950000000008,5.661112797329032,0.04832055384271302,5.612792243486319,0.05612792243486319,NAS100,range,sneaky,c3
2018-12-14 15:01:00+00:00,2018-12-14 16:47:00+00:00,long,stop,6694.2945,6665.1995,29.095000000000255,-1.0,0.05173153952569125,-1.0517315395256912,-0.010517315395256912,NAS100,range,sneaky,c3
2018-12-17 15:01:00+00:00,2018-12-17 18:34:00+00:00,long,stop,6533.9995,6500.5,33.4994999999999,-1.0,0.04467857632203479,-1.0446785763220348,-0.010446785763220348,NAS100,range,sneaky,c3
2018-12-31 15:14:00+00:00,2018-12-31 20:59:00+00:00,short,time,6316.4,6331.895,38.30000000000018,-0.4045691906005412,0.03581112271540453,-0.44038031331594574,-0.004403803133159458,NAS100,range,sneaky,c3
2019-01-30 15:00:00+00:00,2019-01-30 16:19:00+00:00,short,stop,6700.1995,6720.4,20.20049999999992,-1.0,0.0849242824435042,-1.0849242824435041,-0.010849242824435041,NAS100,range,sneaky,c3
2019-02-05 15:03:00+00:00,2019-02-05 15:20:00+00:00,short,stop,6998.505,7010.6055,12.100499999999556,-1.0,0.1252760485103967,-1.1252760485103968,-0.011252760485103968,NAS100,range,sneaky,c3
2019-02-07 15:07:00+00:00,2019-02-07 15:54:00+00:00,long,stop,6930.395,6908.1945,22.20050000000083,-1.0,0.06853339677034044,-1.0685333967703405,-0.010685333967703405,NAS100,range,sneaky,c3
2019-02-25 15:00:00+00:00,2019-02-25 16:07:00+00:00,short,stop,7140.7055,7161.5,20.79449999999997,-1.0,0.07377652059438804,-1.073776520594388,-0.010737765205943882,NAS100,range,sneaky,c3
2019-04-08 14:08:00+00:00,2019-04-08 17:32:00+00:00,long,target,7554.305,7583.1005000000005,17.009500000000116,1.6929069049648713,0.12227468032569949,1.5706322246391717,0.015706322246391718,NAS100,range,sneaky,c3
2019-04-29 14:03:00+00:00,2019-04-29 14:15:00+00:00,short,stop,7814.095,7831.9045,17.80949999999939,-1.0,0.11993053286167904,-1.119930532861679,-0.011199305328616791,NAS100,range,sneaky,c3
2019-05-17 14:13:00+00:00,2019-05-17 14:27:00+00:00,short,stop,7520.4045,7555.2,34.795500000000175,-1.0,0.05679626984811225,-1.0567962698481121,-0.010567962698481122,NAS100,range,sneaky,c3
2019-05-23 14:01:00+00:00,2019-05-23 14:11:00+00:00,long,stop,7321.1,7298.1,23.0,-1.0,0.08910210869565216,-1.089102108695652,-0.01089102108695652,NAS100,range,sneaky,c3
2019-05-24 14:10:00+00:00,2019-05-24 19:59:00+00:00,short,time,7345.5995,7300.105,25.105999999999767,1.8120967099498575,0.0825561990161722,1.7295405109336852,0.017295405109336852,NAS100,range,sneaky,c3
2019-05-31 14:00:00+00:00,2019-05-31 19:38:00+00:00,long,stop,7147.6,7126.795,20.80500000000029,-1.0,0.09732881518865522,-1.0973288151886553,-0.010973288151886553,NAS100,range,sneaky,c3
2019-08-05 14:00:00+00:00,2019-08-05 14:35:00+00:00,long,stop,7509.1,7474.305,34.79500000000007,-1.0,0.05988586003736157,-1.0598858600373615,-0.010598858600373615,NAS100,range,sneaky,c3
2019-08-07 14:03:00+00:00,2019-08-07 17:50:00+00:00,long,target,7431.7,7542.7045,50.899999999999636,2.1808349705304675,0.04053594302554057,2.140299027504927,0.02140299027504927,NAS100,range,sneaky,c3
2019-08-12 14:01:00+00:00,2019-08-12 14:07:00+00:00,long,stop,7600.095,7578.9,21.19500000000062,-1.0,0.09889185303137243,-1.0988918530313725,-0.010988918530313726,NAS100,range,sneaky,c3
2019-08-15 14:00:00+00:00,2019-08-15 14:30:00+00:00,long,stop,7513.9,7475.505,38.39499999999953,-1.0,0.05402725615314561,-1.0540272561531456,-0.010540272561531457,NAS100,range,sneaky,c3
2019-08-19 14:01:00+00:00,2019-08-19 15:17:00+00:00,short,stop,7705.195,7729.6,24.405000000000655,-1.0,0.08654789284982353,-1.0865478928498236,-0.010865478928498236,NAS100,range,sneaky,c3
2019-08-21 14:05:00+00:00,2019-08-21 19:59:00+00:00,short,time,7744.2,7732.0,12.095000000000255,1.0086812732533743,0.1676285241835434,0.841052749069831,0.00841052749069831,NAS100,range,sneaky,c3
2019-08-22 14:05:00+00:00,2019-08-22 14:26:00+00:00,short,target,7746.0,7705.405,15.199999999999818,2.670723684210575,0.1391914473684227,2.5315322368421525,0.025315322368421524,NAS100,range,sneaky,c3
2019-08-28 14:02:00+00:00,2019-08-28 19:59:00+00:00,long,time,7551.005,7586.9,31.300500000000284,1.1467867925432247,0.06675246960911106,1.0800343229341136,0.010800343229341137,NAS100,range,sneaky,c3
2019-09-04 14:00:00+00:00,2019-09-04 16:47:00+00:00,short,stop,7678.5955,7701.25,22.654499999999643,-1.0,0.09343002019466479,-1.0934300201946647,-0.010934300201946648,NAS100,range,sneaky,c3
2019-11-04 15:01:00+00:00,2019-11-04 20:59:00+00:00,short,time,8210.3945,8210.8,12.810499999999593,-0.03165372155645374,0.12440385952929635,-0.15605758108575007,-0.0015605758108575007,NAS100,range,sneaky,c3
2019-11-06 15:05:00+00:00,2019-11-06 15:28:00+00:00,long,stop,8197.5,8184.495,13.00500000000011,-1.0,0.12247885428681175,-1.1224788542868118,-0.011224788542868118,NAS100,range,sneaky,c3
2019-11-07 15:04:00+00:00,2019-11-07 15:12:00+00:00,short,stop,8241.5,8249.4045,7.904500000000553,-1.0,0.20313713707380454,-1.2031371370738047,-0.012031371370738047,NAS100,range,sneaky,c3
2019-11-18 15:00:00+00:00,2019-11-18 16:40:00+00:00,long,target,8292.099999999999,8316.6945,17.19499999999789,1.4303285838909032,0.09415449258506535,1.336174091305838,0.01336174091305838,NAS100,range,sneaky,c3
