year,n_trades,start_equity,end_equity,year_return_pct,gross_pf,net_pf,win_rate_pct
2013,16,100000.0,97584.37878610771,-0.024156212138922828,0.895025039289458,0.7207728945930946,50.0
2014,89,97584.37878610771,84064.66632263118,-0.13854381850511122,0.8425243317604207,0.6408193034851272,43.82022471910113
2015,82,84064.66632263118,76715.05186904923,-0.08742810475658003,0.948496965394403,0.7821448212003147,47.5609756097561
2016,103,76715.05186904923,59730.80925047366,-0.22139387518849973,0.7370758056407873,0.5778361400211725,41.74757281553398
2017,79,59730.80925047366,56624.26481983286,-0.05200907989734238,1.2700745312132204,0.851648834687831,51.89873417721519
2018,87,56624.26481983286,66176.15403482495,0.16868897539569483,1.8552818519837155,1.5261924712699209,63.2183908045977
2019,68,66176.15403482495,68887.86142139073,0.040977107632135024,1.4750758784043212,1.1727516208731348,51.470588235294116
2020,72,68887.86142139073,78465.93579531803,0.13903863723302012,1.7351369140901638,1.5384019837543321,63.888888888888886
2021,48,78465.93579531803,77975.55438164587,-0.006249608937964446,1.1831532895583086,0.9769553374115514,58.333333333333336
2022,58,77975.55438164587,78205.2027676574,0.002945133097580044,1.1381643735053997,1.0209596982300566,51.724137931034484
2023,74,78205.2027676574,83503.60985563006,0.0677500588255473,1.5318570868945944,1.262202047760489,58.108108108108105
2024,101,83503.60985563006,84346.98110282919,0.010099817824130497,1.2320337060016573,1.0343725811734144,55.44554455445545
2025,94,84346.98110282919,83089.19087005247,-0.014912095445874018,1.1344962448674634,0.9695790596948566,53.191489361702125
