instrument,window,variant,or_minutes,target,bh_sharpe,bh_max_dd,split,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,cost_R_mean,net_R_total,win_rate,risk_med_bps,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_share,n_years,n_pos_years,dsr,oos_holds,not_conc,beats_bh,thin,SURVIVOR
XAUUSD,in,ORIGINAL,15,1R,1.1939063464653195,0.2038764411892057,2023-01-01,1284,1284,PASS,659,625,1.1675563433834744,0.8247916224440686,-1.3162129691907598,-0.24387398071319336,-1.5631366882956514,0.6996127680018989,0.16194338692807214,-114.57270836712007,0.5311526479750779,23.621649118135043,1601,971,313,0.8280056320851579,0.8149453876997758,-1.436330851211053,-1.5765431966597718,,8,1,4.3441755010859684e-32,False,False,False,False,False
XAUUSD,in,RETEST,15,1R,1.1939063464653195,0.2038764411892057,2023-01-01,481,481,PASS,231,250,1.628708339879051,1.140621571749431,0.5503161576697205,-0.6233827047434067,1.2356066956027427,0.18828106795545219,0.16543963003753104,28.66999626983608,0.604989604989605,22.45903517818307,1598,353,128,1.0758173826836068,1.3452692550080674,0.5554161363503218,2.281337000601665,0.46564228625599186,8,5,4.25021463831635e-12,True,True,False,False,False
XAUUSD,in,DI,15,1R,1.1939063464653195,0.2038764411892057,2023-01-01,684,684,PASS,406,278,1.0988395479100082,0.7767864904456264,-1.267277694456816,-0.47362965182177846,-0.3147170217961657,0.583905988524418,0.16255663226459097,-80.69555572421055,0.5175438596491229,23.49043193690803,1583,539,145,0.7405037257926014,0.9336553794655289,-2.3032240821950833,-0.5239785357042401,,8,1,1.3561999616279746e-31,False,False,False,False,False
XAUUSD,in,ORIGINAL,15,2R,1.1939063464653195,0.2038764411892057,2023-01-01,1284,1284,PASS,659,625,1.1318094706681132,0.8569762664061482,-1.0136171029991645,0.5782420889145755,-1.0572059062144223,0.7226280948957772,0.16194338692807214,-116.89602419614849,0.40109034267912774,23.621649118135043,1601,971,313,0.8801792439345426,0.7830084957204542,-0.9389459592045208,-1.778599499990458,,8,1,8.25836720706007e-27,False,False,False,False,False
XAUUSD,in,RETEST,15,2R,1.1939063464653195,0.2038764411892057,2023-01-01,481,481,PASS,231,250,1.533573033603015,1.1469014452419801,0.5461203717557869,0.7885089865462347,1.8094605231466478,0.18393162799689516,0.16543963003753104,39.205713319637546,0.4677754677754678,22.45903517818307,1598,353,128,1.1224409647895497,1.2267008803652164,0.8474513961045773,1.4400851453148098,0.6212703626171528,8,5,1.201727549964122e-12,True,False,False,False,False
XAUUSD,in,DI,15,2R,1.1939063464653195,0.2038764411892057,2023-01-01,684,684,PASS,406,278,1.1072768383183735,0.8421193136124205,-0.8340695443723043,0.6539337555556342,0.40494504410514853,0.6036652840437369,0.16255663226459097,-70.57582162161533,0.39766081871345027,23.49043193690803,1583,539,145,0.8254167240122744,0.9159249547331151,-1.4298100082864107,-0.6289700609648871,,8,2,1.4591621756497306e-24,False,False,False,False,False
XAUUSD,in,ORIGINAL,15,close,1.1939063464653195,0.2038764411892057,2023-01-01,1284,1284,PASS,659,625,1.229996036958587,0.955467904012415,-0.2411771230239283,2.9323344074838924,17.04147679542866,0.5666347966312963,0.16194338692807214,-38.86815649022459,0.3605919003115265,23.621649118135043,1601,971,313,0.9793694668544803,0.8744216645511038,-0.12146777777304552,-0.8534536750357473,,8,3,1.5007140020117125e-18,False,False,False,False,False
XAUUSD,in,RETEST,15,close,1.1939063464653195,0.2038764411892057,2023-01-01,481,481,PASS,231,250,1.6325232747813432,1.2448681097057444,0.7422530321037485,2.9751296449087237,15.975528660292051,0.14828432939920447,0.16543963003753104,69.04490096193113,0.4303534303534304,22.45903517818307,1598,353,128,1.207814058180316,1.3718290879432125,1.1762087606500538,1.918299278430395,0.33373328299585964,8,7,2.918577261578099e-12,True,True,False,False,False
XAUUSD,in,DI,15,close,1.1939063464653195,0.2038764411892057,2023-01-01,684,684,PASS,406,278,1.3164788482800212,1.033583165465445,0.12338237240387499,4.529884855613632,39.28253165252461,0.3801145199162262,0.16255663226459097,15.959986801967423,0.3611111111111111,23.49043193690803,1583,539,145,1.038262476224738,1.0123967424116607,0.21102325441287936,0.07627856052599345,2.7621116633715532,8,4,3.104982163673786e-16,True,False,False,False,False
XAUUSD,in,ORIGINAL,30,1R,1.1939063464653195,0.2038764411892057,2023-01-01,1263,1263,PASS,648,615,1.2487080599286278,0.9384843267384436,-0.41557578151054975,-0.2546240602065895,-1.3402552649709145,0.40684057832213283,0.1178601361262181,-32.83123513314754,0.5249406175771971,31.360630745148484,1601,956,307,0.9552420708645336,0.886539745793305,-0.33808642683361256,-0.8810897917943222,,8,3,3.3499257811580703e-21,False,False,False,False,False
XAUUSD,in,RETEST,30,1R,1.1939063464653195,0.2038764411892057,2023-01-01,465,465,PASS,234,231,1.7800878218880358,1.33565242629673,1.144378169763336,-0.39888670910886476,1.735754721918279,0.09963256294227875,0.11743386682289883,53.61846647579362,0.6021505376344086,30.639493230710023,1599,342,123,1.299998253317311,1.447280289373558,1.9409693107229902,2.6904691682274056,0.35848805700309533,8,6,5.088093436930882e-08,True,True,False,False,False
XAUUSD,in,DI,30,1R,1.1939063464653195,0.2038764411892057,2023-01-01,630,630,PASS,376,254,1.2218672782012587,0.9233364673906989,-0.37301274946479507,-0.42073947681220997,0.242443259562255,0.3505969891845862,0.1176320410858254,-20.946401649529342,0.5285714285714286,30.778998570859702,1581,477,153,0.8796788565651678,1.0855347019662493,-0.953380889787043,0.5994703829515307,,8,4,1.3954417927271362e-20,False,False,False,False,False
XAUUSD,in,ORIGINAL,30,2R,1.1939063464653195,0.2038764411892057,2023-01-01,1263,1263,PASS,648,615,1.1596201847337335,0.9024357089141751,-0.6256847671580096,0.6019043340633593,-0.5458395142564614,0.5916980716353517,0.1178601361262181,-61.57211682384582,0.4323040380047506,31.360630745148484,1601,956,307,0.9053708795141195,0.8926237343330338,-0.6858322056615718,-0.7657409743452069,,8,2,8.40927659413821e-23,False,False,False,False,False
XAUUSD,in,RETEST,30,2R,1.1939063464653195,0.2038764411892057,2023-01-01,465,465,PASS,234,231,1.6015493362675048,1.2419612759606087,0.789612520789681,0.991829678468779,3.4244237302277547,0.20854890031620205,0.11743386682289883,47.76087303168694,0.5053763440860215,30.639493230710023,1599,342,123,1.1833611920213474,1.4404877200467647,1.153183902621691,2.381047911755216,0.4555938659408246,8,5,5.372317999799095e-11,True,True,False,False,False
XAUUSD,in,DI,30,2R,1.1939063464653195,0.2038764411892057,2023-01-01,630,630,PASS,376,254,1.1703723171433567,0.9156973589748723,-0.3861606895417119,0.7043635376072036,1.5645205435586949,0.3782173871750164,0.1176320410858254,-26.866643336383063,0.4444444444444444,30.778998570859702,1581,477,153,0.8728119437002378,1.0855720808802607,-0.9564375113676401,0.5466055718219661,,8,4,3.269367593359742e-20,False,False,False,False,False
XAUUSD,in,ORIGINAL,30,close,1.1939063464653195,0.2038764411892057,2023-01-01,1263,1263,PASS,648,615,1.218910369614915,0.9594557428316111,-0.22059460374863288,2.1365805657048482,8.790249796604284,0.45986402516561736,0.1178601361262181,-26.265153729133065,0.41963578780680916,31.360630745148484,1601,956,307,0.9658629593918817,0.9375214892913563,-0.2066698105846427,-0.4019501847028519,,8,2,1.3271977110815094e-18,False,False,False,False,False
XAUUSD,in,RETEST,30,close,1.1939063464653195,0.2038764411892057,2023-01-01,465,465,PASS,234,231,1.6422417958295186,1.2848523816093889,0.7722246587164051,4.203812654695991,38.596471371780716,0.21391962767721967,0.11743386682289883,58.01252663773081,0.49032258064516127,30.639493230710023,1599,342,123,1.2326825470652323,1.462933286331031,1.1810492377046609,2.296527013568392,0.3522624906207817,8,7,1.1568319715768398e-12,True,True,False,False,False
XAUUSD,in,DI,30,close,1.1939063464653195,0.2038764411892057,2023-01-01,630,630,PASS,376,254,1.3041307529724369,1.0370626190559595,0.13520212996091097,3.4405677773157888,24.62669552186496,0.2830110878494281,0.1176320410858254,12.102012510374,0.43333333333333335,30.778998570859702,1581,477,153,1.0106315351244552,1.142647667949306,0.06177423074370456,0.8216257329125499,1.2480303009781406,8,5,5.036683667779466e-16,True,False,False,False,False
NAS100,in,ORIGINAL,15,1R,0.842374800132381,0.3567068346922749,2023-01-01,1616,1616,PASS,834,782,1.1286027540971975,0.9531426434342652,-0.33216845194381667,-0.15003973500905657,-1.635176153214943,0.4820668343382453,0.07919137284818437,-36.202674291752864,0.5247524752475248,45.791077694176415,2018,948,668,0.9278422421196317,0.989431949886889,-0.5771702303537412,-0.08254138873522653,,8,3,4.591840422469133e-25,False,False,False,False,False
NAS100,in,RETEST,15,1R,0.842374800132381,0.3567068346922749,2023-01-01,672,672,PASS,343,329,1.345224942394531,1.1425293586320073,0.5957381782021697,-0.26791103116747916,0.3248506579763486,0.11324971751838749,0.07735210014488537,41.71470713311979,0.5684523809523809,47.673567275717815,2014,411,261,1.0745328319527208,1.2579777880089988,0.5547875900375887,1.786381400131055,0.37616122266540636,8,6,1.674768216330244e-14,True,True,False,False,False
NAS100,in,DI,15,1R,0.842374800132381,0.3567068346922749,2023-01-01,806,806,PASS,473,333,1.1531416961271805,0.9732570324681207,-0.13289710703212976,-0.2649668827703604,-0.2519174994485023,0.295212814948847,0.07927322060289456,-10.17054964521059,0.5310173697270472,46.24440895418543,1999,484,322,0.9312848222018713,1.038104826196001,-0.5469268515018338,0.29027666771455934,,8,4,2.2409594835839254e-22,False,False,False,False,False
NAS100,in,ORIGINAL,15,2R,0.842374800132381,0.3567068346922749,2023-01-01,1616,1616,PASS,834,782,1.1640594977742065,1.0135375287081567,0.08752088766353841,0.618302578406814,-1.0455255388485374,0.3099374006918061,0.07919137284818437,12.609196695012873,0.4146039603960396,45.791077694176415,2018,948,668,1.0178856117176622,1.0075587146610296,0.12835651430594344,0.05507182814312968,1.5366508535247323,8,4,5.1203274471979234e-20,True,False,False,False,False
NAS100,in,RETEST,15,2R,0.842374800132381,0.3567068346922749,2023-01-01,672,672,PASS,343,329,1.3425943452482798,1.1734326437162397,0.669258073060378,0.9764215135166487,1.5520277841501011,0.14701172785874334,0.07735210014488537,63.039985318534285,0.4494047619047619,47.673567275717815,2014,411,261,1.1371002839791795,1.2323687989274963,0.9309530273340921,1.5154216664996536,0.31044765860789786,8,7,1.885767587004944e-14,True,True,False,False,False
NAS100,in,DI,15,2R,0.842374800132381,0.3567068346922749,2023-01-01,806,806,PASS,473,333,1.1344300495475563,0.9864941920680625,-0.0627753467796533,0.8645502926783591,0.9358058922946415,0.3325220435411355,0.07927322060289456,-6.2915984989855875,0.4143920595533499,46.24440895418543,1999,484,322,0.9410841189052415,1.0543967683804367,-0.43827524106349847,0.3884875482539146,,8,4,1.9506903120214946e-21,False,False,False,False,False
NAS100,in,ORIGINAL,15,close,0.842374800132381,0.3567068346922749,2023-01-01,1616,1616,PASS,834,782,1.1639977320131996,1.0191252376355147,0.109910815651539,1.666821332759248,3.7669013691284214,0.37037135956552164,0.07919137284818437,18.60501140023255,0.3873762376237624,45.791077694176415,2018,948,668,1.0430305294219446,0.9868312021566102,0.27163459324297445,-0.08653752912195414,1.8020112983078604,8,4,6.543451747520181e-20,False,False,False,False,False
NAS100,in,RETEST,15,close,0.842374800132381,0.3567068346922749,2023-01-01,672,672,PASS,343,329,1.360080222628128,1.1958812045769371,0.6616086511307198,2.6577120613585525,13.425955837407415,0.22009645491209953,0.07735210014488537,74.79456496499519,0.41964285714285715,47.673567275717815,2014,411,261,1.2603327288946238,1.0970103162302371,1.457138001170758,0.6122420423449065,0.3263858470935726,8,6,1.934288722732027e-15,True,True,False,False,False
NAS100,in,DI,15,close,0.842374800132381,0.3567068346922749,2023-01-01,806,806,PASS,473,333,1.2053401431382076,1.0561212934011088,0.2262957038913717,2.2433436048620785,9.3279339520878,0.254998135987107,0.07927322060289456,27.051585845616906,0.3945409429280397,46.24440895418543,1999,484,322,1.0349055753176637,1.0871500634358842,0.2204190549733228,0.5569531772031965,0.5363208312695946,8,5,8.45911205413185e-19,True,True,False,False,False
NAS100,in,ORIGINAL,30,1R,0.842374800132381,0.3567068346922749,2023-01-01,1609,1609,PASS,855,754,1.163655938971412,1.013973401378088,0.09217410760945995,-0.15798147792735012,-1.4405713161843077,0.30574402904279935,0.05744399395119999,9.2736575427253,0.5282784338098198,60.064713524859016,2018,944,665,0.9938389709085014,1.0430917924261143,-0.045852552137796154,0.3147349332264085,1.9254345585389687,8,4,6.919339431006607e-20,False,False,False,False,False
NAS100,in,RETEST,30,1R,0.842374800132381,0.3567068346922749,2023-01-01,685,685,PASS,353,332,1.3911710910555353,1.2185686278938022,0.8500550230678902,-0.19912453992443613,0.7449184637369126,0.12162352462937265,0.054696479198642435,55.31606195331538,0.564963503649635,63.175256079809145,2017,419,266,1.2018431635994384,1.245420620605724,1.3554783102859387,1.6284749322867713,0.34382258537822363,8,7,3.2530421591195407e-12,True,True,True,False,False
NAS100,in,DI,30,1R,0.842374800132381,0.3567068346922749,2023-01-01,820,820,PASS,491,329,1.1706361210746146,1.020744043875658,0.09760457774249298,-0.20883108722294957,0.04102769544270224,0.2819715250722663,0.05715873933806649,6.988770507121444,0.5341463414634147,59.045224378164896,2001,489,331,0.9437811239285828,1.1429386378521007,-0.4271308475213437,0.999058846245097,2.16249029440282,8,4,1.1458668096909007e-19,False,False,False,False,False
NAS100,in,ORIGINAL,30,2R,0.842374800132381,0.3567068346922749,2023-01-01,1609,1609,PASS,855,754,1.1735872626821535,1.038563724867746,0.23439174354996253,0.5834624372544931,-0.6487079187797438,0.33465128858876825,0.05744399395119999,28.87852158448188,0.4605344934742076,60.064713524859016,2018,944,665,0.9860283655343379,1.1139340382595266,-0.09767070484301187,0.7479442455463452,0.7387745384742166,8,4,1.773071949325797e-18,False,False,False,False,False
NAS100,in,RETEST,30,2R,0.842374800132381,0.3567068346922749,2023-01-01,685,685,PASS,353,332,1.3796401827027147,1.2257666737575512,0.8128532932753367,0.9565037829008338,2.5136726709774155,0.148177798757663,0.054696479198642435,65.53023360555537,0.4948905109489051,63.175256079809145,2017,419,266,1.133474795284598,1.377019827748584,0.8599867112956378,2.1971471199736436,0.4301029397421648,8,6,3.3891688083790315e-13,True,True,False,False,False
NAS100,in,DI,30,2R,0.842374800132381,0.3567068346922749,2023-01-01,820,820,PASS,491,329,1.1835764015042634,1.0483914747751546,0.21070514323743536,0.8023018759688737,1.5240279337909421,0.28638138747306824,0.05715873933806649,18.41744204232787,0.4719512195121951,59.045224378164896,2001,489,331,0.9558531940042037,1.1913764589450293,-0.3143107001670552,1.2201513880378891,0.886550554105807,8,3,1.2574380806480742e-18,False,False,False,False,False
NAS100,in,ORIGINAL,30,close,0.842374800132381,0.3567068346922749,2023-01-01,1609,1609,PASS,855,754,1.1720504188687675,1.039220399930984,0.22033058816887385,1.568416966004618,5.550520584163239,0.40445340043542066,0.05744399395119999,29.90807679342596,0.45059042883778744,60.064713524859016,2018,944,665,0.9868576380194677,1.1129186442592698,-0.0864975256225975,0.6711042344890243,0.7872849255936951,8,5,7.501409493251451e-19,False,False,False,False,False
NAS100,in,RETEST,30,close,0.842374800132381,0.3567068346922749,2023-01-01,685,685,PASS,353,332,1.3298877170477565,1.181571765004279,0.6275320721223875,1.9875664596928042,10.929065831543848,0.18392355253781492,0.054696479198642435,53.85417986166544,0.4832116788321168,63.175256079809145,2017,419,266,1.1266338042126316,1.2669118042642835,0.7820853390203607,1.4983423849272395,0.41193546906029227,8,5,2.355943786059983e-15,True,True,False,False,False
NAS100,in,DI,30,close,0.842374800132381,0.3567068346922749,2023-01-01,820,820,PASS,491,329,1.1896866368108152,1.0557902048936603,0.22965435590637392,1.658435486114542,7.486283579867562,0.2721976709771254,0.05715873933806649,21.542227186733832,0.46463414634146344,59.045224378164896,2001,489,331,0.9844466416505855,1.1633361534053859,-0.10351928957481209,0.9999414631461109,0.9229977278203987,8,4,1.2147813453965375e-18,False,False,False,False,False
NAS100,out,ORIGINAL,15,1R,1.2072173790053602,0.16562549731079687,2016-01-01,974,974,PASS,493,481,0.8913410839471282,0.6067436665720993,-3.710828085494015,0.058135251449972634,-1.8031573146707027,0.8951645753217846,0.1748487305864289,-221.46938081896272,0.4589322381930185,31.58342458376602,1015,514,460,0.5731178405108313,0.6479717458603411,-4.234543872006627,-3.284042143556633,,5,0,2.960345776871807e-15,False,False,False,False,False
NAS100,out,RETEST,15,1R,1.2072173790053602,0.16562549731079687,2016-01-01,392,392,PASS,192,200,1.0796486918355872,0.7512883626442592,-1.3424415547263762,-0.5353818940427458,0.06721958677651418,0.4086733255368947,0.16637169445502295,-51.300800843321184,0.5102040816326531,32.919826535451016,1015,197,195,0.635203198702044,0.8989428821802291,-3.4799193194997526,-0.800563569695201,,5,1,0.0007298517582365117,False,False,False,False,False
NAS100,out,DI,15,1R,1.2072173790053602,0.16562549731079687,2016-01-01,474,474,PASS,275,199,0.950874776678328,0.6434863953328251,-2.2608683249080506,-0.4487279742671115,-0.5200131956222167,0.6320268834791053,0.1796077876941097,-96.16101733308119,0.4767932489451477,31.551958131776104,1015,244,230,0.5982058058385398,0.6982300103448172,-3.9164172422067085,-2.7107141952081566,,5,0,1.6540573853211877e-07,False,False,False,False,False
NAS100,out,ORIGINAL,15,2R,1.2072173790053602,0.16562549731079687,2016-01-01,974,974,PASS,493,481,1.021713534162115,0.7502166436942701,-2.0533883687558285,0.6572206523953626,-1.1761781366191777,0.8167647101903918,0.1748487305864289,-158.78864312409408,0.3737166324435318,31.58342458376602,1015,514,460,0.7083787546197026,0.8037439295967068,-2.5487533912573186,-1.5693699735418725,,5,0,6.682635961245716e-06,False,False,False,False,False
NAS100,out,RETEST,15,2R,1.2072173790053602,0.16562549731079687,2016-01-01,392,392,PASS,192,200,1.151567668842663,0.8600599660551841,-0.6797870141993815,0.7073594791289375,0.9899098366229246,0.42345587678331215,0.16637169445502295,-34.06304407972321,0.4005102040816326,32.919826535451016,1015,197,195,0.701094362250867,1.069676712853522,-2.636781699136148,0.4776303876625254,,5,1,0.03935749324042627,False,False,False,False,False
NAS100,out,DI,15,2R,1.2072173790053602,0.16562549731079687,2016-01-01,474,474,PASS,275,199,0.9992152397632699,0.7313326673969722,-1.5643623052244509,0.6269398220080477,0.3401737360311561,0.611812801403342,0.1796077876941097,-85.34164972671007,0.3691983122362869,31.551958131776104,1015,244,230,0.6507713846671676,0.8360896601941851,-3.2162717094473585,-1.2896581750873763,,5,0,0.0002837140776250143,False,False,False,False,False
NAS100,out,ORIGINAL,15,close,1.2072173790053602,0.16562549731079687,2016-01-01,974,974,PASS,493,481,1.0643564534016232,0.7978369430226199,-1.3726092161092789,2.3639614382988805,10.523626524038269,0.805688977467075,0.1748487305864289,-134.64279180690554,0.34188911704312114,31.58342458376602,1015,514,460,0.7417987644452122,0.8692080173947772,-1.983400062298573,-0.8080193263842987,,5,0,0.0020752896143207055,False,False,False,False,False
NAS100,out,RETEST,15,close,1.2072173790053602,0.16562549731079687,2016-01-01,392,392,PASS,192,200,1.296181491558863,0.9910337272418993,-0.03244572855237122,4.365150467163012,38.44092403976049,0.3855712193788494,0.16637169445502295,-2.263956607216329,0.375,32.919826535451016,1015,197,195,0.801358436817763,1.231848995681808,-1.426258914811278,1.09939188652551,,5,2,0.31402578882297927,False,False,False,False,False
NAS100,out,DI,15,close,1.2072173790053602,0.16562549731079687,2016-01-01,474,474,PASS,275,199,1.0096587066061773,0.751978322535704,-1.2507852865605495,2.560046070200898,14.817675113747805,0.6259080419332018,0.1796077876941097,-82.46549354750971,0.33544303797468356,31.551958131776104,1015,244,230,0.6713954801076524,0.8577705558159963,-2.695206536680815,-0.9341193847813009,,5,0,0.00407448221591207,False,False,False,False,False
NAS100,out,ORIGINAL,30,1R,1.2072173790053602,0.16562549731079687,2016-01-01,970,970,PASS,526,444,0.9180384317101324,0.6663134486170269,-2.902070666821275,0.015311421335890626,-1.6459724980839805,0.8033392840390008,0.1293785504436282,-159.0369849265333,0.45670103092783504,41.329087148154144,1018,512,458,0.6007893180064839,0.7504963983531626,-3.7448239971009056,-2.096711735824156,,5,0,2.2291202191220522e-10,False,False,False,False,False
NAS100,out,RETEST,30,1R,1.2072173790053602,0.16562549731079687,2016-01-01,377,377,PASS,200,177,1.1304680182664464,0.8371895920549784,-0.788440446283765,-0.4346997702370522,0.6622841570813507,0.3330282452705655,0.11939576977720325,-26.58273962422472,0.493368700265252,43.80893216787101,1016,184,193,0.8486818981044335,0.8256557474708945,-1.2044305545157907,-1.3849964044952447,,5,1,0.021425676039862247,False,False,False,False,False
NAS100,out,DI,30,1R,1.2072173790053602,0.16562549731079687,2016-01-01,479,479,PASS,294,185,0.9513949428138456,0.6896174851011949,-1.8617480726992381,-0.364952904248771,-0.28601380352406336,0.5407713591025869,0.1310360983053459,-72.55134324098456,0.46555323590814196,39.419889097642326,1015,241,238,0.617820946431415,0.7735232648860214,-3.5628498136327704,-1.8702505411805794,,5,0,1.1334130764041326e-05,False,False,False,False,False
NAS100,out,ORIGINAL,30,2R,1.2072173790053602,0.16562549731079687,2016-01-01,970,970,PASS,526,444,0.9652099436254045,0.7304397271757316,-2.133121183935952,0.6490562204440194,-0.8118123754952644,0.7904257315706665,0.1293785504436282,-141.1070996659671,0.40309278350515465,41.329087148154144,1018,512,458,0.7060575148370307,0.7607639017828156,-2.4504918487414837,-1.876729619405074,,5,0,3.3100616645297367e-06,False,False,False,False,False
NAS100,out,RETEST,30,2R,1.2072173790053602,0.16562549731079687,2016-01-01,377,377,PASS,200,177,1.153827578780273,0.8915717333271088,-0.479066148007239,0.796104452377391,2.1792881368780543,0.3515532734886191,0.11939576977720325,-20.18968088838315,0.4270557029177719,43.80893216787101,1016,184,193,0.9284773646633515,0.8539159270020418,-0.5191031326559775,-1.057273080026152,,5,2,0.08586072548905888,False,False,False,False,False
NAS100,out,DI,30,2R,1.2072173790053602,0.16562549731079687,2016-01-01,479,479,PASS,294,185,0.9511165426359249,0.7174729376946376,-1.5866282263946536,0.5897030025389852,0.9735534052093637,0.5704777120142737,0.1310360983053459,-73.76798548105822,0.407098121085595,39.419889097642326,1015,241,238,0.6790088666377535,0.7614825719808043,-2.745431622646211,-1.8737292103599663,,5,0,0.0002399149186411807,False,False,False,False,False
NAS100,out,ORIGINAL,30,close,1.2072173790053602,0.16562549731079687,2016-01-01,970,970,PASS,526,444,0.98453659870589,0.7525191781282947,-1.7007753358236364,2.708562689078686,19.872462838472522,0.7740680600021674,0.1293785504436282,-132.58961598350595,0.3907216494845361,41.329087148154144,1018,512,458,0.6695957467258715,0.8580195469752984,-2.695382418337251,-0.8587045156098501,,5,0,0.00048036431497176834,False,False,False,False,False
NAS100,out,RETEST,30,close,1.2072173790053602,0.16562549731079687,2016-01-01,377,377,PASS,200,177,1.212134877002671,0.9477230666999856,-0.18389462335448695,5.726610454236629,77.84231704373661,0.3357082567477569,0.11939576977720325,-9.984610154033382,0.41379310344827586,43.80893216787101,1016,184,193,0.88407265996567,1.0150210415680847,-0.8051281507476757,0.07428330865371194,,5,1,0.2221311475121619,False,False,False,False,False
