year,n_trades,start_equity,end_equity,year_return_pct,gross_pf,net_pf,win_rate_pct
2013,17,100000.0,102844.22009940911,0.028442200994091005,2.036028122614818,1.581644750723395,58.82352941176471
2014,76,102844.22009940911,90856.95383771202,-0.11655751047662388,0.9975554767637941,0.6735979845503272,46.05263157894737
2015,91,90856.95383771202,87721.57948375917,-0.034508909021462864,1.1737339025077633,0.9210542345198197,53.84615384615385
2016,96,87721.57948375917,79961.41741046039,-0.0884635470424413,1.0009246821447575,0.7716646174789763,44.79166666666667
2017,97,79961.41741046039,75580.24471413523,-0.05479108347761752,1.2145911894982646,0.8757165925479464,50.51546391752577
2018,46,75580.24471413523,74524.99177049242,-0.013962020732190883,1.0749656040103495,0.9355285440514239,54.347826086956516
2019,71,74524.99177049242,79664.57422241411,0.06896454907032501,1.5962817266172866,1.2836864574252231,59.154929577464785
2020,81,79664.57422241411,81385.64747440966,0.021603997370154948,1.2029963893156557,1.0743600223891057,55.55555555555556
2021,95,81385.64747440966,84640.80072212018,0.039996649885153834,1.279757238436951,1.1179164033900508,52.63157894736842
2022,126,84640.80072212018,101866.60140694035,0.20351651375999258,1.5660226365593537,1.4441849987133497,60.317460317460316
2023,84,101866.60140694035,118326.60882531844,0.16158394597482517,1.7636088203716458,1.535231952491144,63.095238095238095
2024,90,118326.60882531844,127731.94250723888,0.0794862100358611,1.483046579355072,1.2622907128180776,53.333333333333336
2025,92,127731.94250723888,127975.03427105918,0.0019031399589537479,1.1463821504539877,1.0145237973048618,52.17391304347826
