year,start_equity,end_equity,year_return_pct
2000,1.0,0.9493460596581065,-5.065394034189352
2001,0.9493460596581065,0.8620185574562402,-9.198700654355275
2002,0.8620185574562402,0.7865242923774945,-8.757846849785256
2003,0.7865242923774945,1.0244953525440819,30.25603436192057
2004,1.0244953525440819,1.1743542092093473,14.627577986872065
2005,1.1743542092093473,1.3864458496095498,18.060278469389267
2006,1.3864458496095498,1.8643845973248605,34.472226077196424
2007,1.8643845973248605,2.388144029518239,28.092885606591178
2008,2.388144029518239,2.7927072263731647,16.9404856597589
2009,2.7927072263731647,2.954543526532727,5.794961198626458
2010,2.954543526532727,3.661889227987082,23.940947056699933
2011,3.661889227987082,4.0111763820656865,9.538441288968347
2012,4.0111763820656865,4.247174320988948,5.883509385885599
2013,4.247174320988948,5.517056470058946,29.899459101417534
2014,5.517056470058946,5.731895816351788,3.894093661335063
2015,5.731895816351788,5.158905369143735,-9.996525854036676
2016,5.158905369143735,4.675151783856148,-9.377058710574481
2017,4.675151783856148,5.608250934995018,19.95869212976085
2018,5.608250934995018,4.86703074720148,-13.216601688922047
2019,4.86703074720148,4.839602883665159,-0.5635440777129186
2020,4.839602883665159,5.692241325524853,17.61794226417952
2021,5.692241325524853,6.132806632812622,7.739751041689136
2022,6.132806632812622,6.569415691080196,7.119237315123628
2023,6.569415691080196,6.171276107389603,-6.060502218350683
2024,6.171276107389603,7.202228623121781,16.70566180789894
2025,7.202228623121781,9.995082414223576,38.77763310839253
2026,9.995082414223576,10.339118147580646,3.4420499911785196
