label,profit_target,n_trades,win_rate,sharpe,max_dd,total_return,worst_day,worst_month,top_year_share
delta0.16_dte21_pt25,0.25,2807,0.9586747417171357,1.0726972706609765,0.081059284059248,1.6868256776792934,-0.014224203278234584,-0.022163127940973637,0.07262011204718052
delta0.16_dte21_pt50,0.5,2102,0.9481446241674596,1.643276028951779,0.05013757176763423,3.6584760617851453,-0.016969257037750853,-0.022516203886517316,0.05267756881805936
delta0.16_dte21_pt75,0.75,1659,0.9367088607594937,1.810028575121841,0.0722226902487079,4.164979331425499,-0.016042388320556707,-0.020557807614107637,0.05112258204693204
delta0.16_dte21_pt85,0.85,1481,0.9405806887238353,2.090291580903685,0.051224234627635847,5.3998342739178335,-0.01785489900507379,-0.0210759790527677,0.04742423034126705
delta0.16_dte21_pt95,0.95,1336,0.9318862275449101,1.8992635465184604,0.05055430234226637,4.165967820951536,-0.019507080440909017,-0.02618425637208155,0.0536847648745777
