opt_type,entry_date,exp_date,S0,K,S_exit,prem_mid,prem_recv,margin,payoff,realized_pnl,ret_on_prem,ret_on_margin,expired_worthless,win,leg,group
put,1994-02-07,1994-03-16,26.54735374450684,25.217008089712838,26.58250999450684,0.05691098129521199,0.05548820676283169,403.46133008701986,0.0,5.548820676283169,1.0,0.013753042144302606,True,True,put,FILTERED (IV rank top-tercile)
put,1994-03-17,1994-04-22,26.58250999450684,25.38449935287977,25.38315963745117,0.05128451835112591,0.05000240539234776,416.84937626666476,0.0013397154286032276,4.866268996374453,0.9732069803824227,0.011673926539022642,False,True,put,FILTERED (IV rank top-tercile)
put,1994-04-25,1994-06-01,25.64839553833008,24.33433850586393,26.037397384643555,0.05618806477863014,0.054783363159164385,387.0405438359029,0.0,5.478336315916438,1.0,0.014154424912753167,True,True,put,FILTERED (IV rank top-tercile)
put,1994-06-21,1994-07-28,25.68445587158203,24.32641221511135,25.889162063598636,0.058037499359989475,0.05658656187598974,383.54340797217156,0.0,5.658656187598974,1.0,0.014753626499583965,True,True,put,FILTERED (IV rank top-tercile)
put,1994-09-13,1994-10-20,26.77024269104004,25.447769339288243,26.78978538513184,0.05659328800472041,0.0551784558046024,408.6753642260815,0.0,5.51784558046024,1.0,0.013501781764872269,True,True,put,FILTERED (IV rank top-tercile)
put,1994-10-21,1994-11-25,26.682344436645508,25.188621013249172,26.055574417114254,0.06353310842026749,0.061944780709760804,390.46902446425264,0.0,6.19447807097608,1.0,0.01586419839441882,True,True,put,FILTERED (IV rank top-tercile)
put,1994-11-28,1995-01-04,26.17196273803711,24.582008248751407,26.57017135620117,0.06790246878208528,0.06620490706253314,371.0642965384253,0.0,6.620490706253314,1.0,0.01784189631827791,True,True,put,FILTERED (IV rank top-tercile)
put,1995-06-06,1995-07-13,31.232873916625977,29.780258378137052,32.76713180541992,0.06227092961816494,0.06071415637771081,485.4673401213982,0.0,6.071415637771081,1.0,0.012506331808547275,True,True,put,FILTERED (IV rank top-tercile)
put,1995-07-20,1995-08-25,32.40201950073242,30.939324806084976,32.88579559326172,0.06261148734389987,0.06104620016030238,507.8755405659341,0.0,6.104620016030237,1.0,0.012019913400885103,True,True,put,FILTERED (IV rank top-tercile)
put,1995-09-26,1995-11-02,34.180789947509766,32.60394207476849,34.74054718017578,0.06761508638445024,0.06592470922483898,532.5234825985516,0.0,6.592470922483898,1.0,0.012379681155682859,True,True,put,FILTERED (IV rank top-tercile)
put,1995-11-03,1995-12-08,34.78642654418945,33.30173450471317,36.50234603881836,0.06352391561452997,0.06193581772416672,553.4529087085772,0.0,6.193581772416672,1.0,0.011190801737529447,True,True,put,FILTERED (IV rank top-tercile)
put,1995-12-19,1996-01-25,36.20174026489258,34.49623104904077,36.46025848388672,0.07308168786726599,0.07125464567058433,560.6093482797295,0.0,7.125464567058433,1.0,0.012710213607610075,True,True,put,FILTERED (IV rank top-tercile)
put,1996-01-26,1996-03-01,36.77417755126953,35.23992519792302,38.34375381469727,0.06570737249756009,0.06406468818512108,588.4647845092518,0.0,6.406468818512108,1.0,0.010886749703900737,True,True,put,FILTERED (IV rank top-tercile)
put,1996-03-04,1996-04-10,38.56532287597656,36.245138776488645,37.39191818237305,0.09908414656340536,0.09660704289932022,548.9487518606716,0.0,9.660704289932022,1.0,0.017598554067546183,True,True,put,FILTERED (IV rank top-tercile)
put,1996-04-11,1996-05-17,37.34555816650391,34.72534426295634,39.87730407714844,0.11197262493680071,0.10917330931338069,495.8071039066591,0.0,10.91733093133807,1.0,0.022019311230751085,True,True,put,FILTERED (IV rank top-tercile)
put,1996-05-20,1996-06-26,40.14625549316406,37.859714672693215,39.62244415283203,0.09764843749370389,0.09520722655636128,583.7917504718326,0.0,9.520722655636128,1.0,0.01630842273454752,True,True,put,FILTERED (IV rank top-tercile)
put,1996-06-27,1996-08-02,39.90213394165039,37.89236674643651,39.71566009521485,0.08577087492141011,0.08362660304837485,605.428619616457,0.0,8.362660304837485,1.0,0.013812793174751608,True,True,put,FILTERED (IV rank top-tercile)
put,1996-08-05,1996-09-11,39.48262405395508,37.00733212922175,40.01400375366211,0.1057379602008921,0.10309451119586979,552.432739725356,0.0,10.30945111958698,1.0,0.018661911900283757,True,True,put,FILTERED (IV rank top-tercile)
put,1996-09-24,1996-10-31,41.14764022827149,38.70539812860437,42.48768615722656,0.10429268314881579,0.10168536607009539,588.8971312057275,0.0,10.168536607009539,1.0,0.017267084636989383,True,True,put,FILTERED (IV rank top-tercile)
put,1996-11-01,1996-12-06,42.337738037109375,39.66750686005628,44.56803512573242,0.11365003941398655,0.11080878842863688,590.8125218797416,0.0,11.080878842863688,1.0,0.018755321582569935,True,True,put,FILTERED (IV rank top-tercile)
put,1996-12-09,1997-01-15,45.22399139404297,42.324292141917354,46.27492904663086,0.12389982014898049,0.12080232464525598,626.5901351328235,0.0,12.080232464525597,1.0,0.01927932118172408,True,True,put,FILTERED (IV rank top-tercile)
put,1997-01-16,1997-02-21,46.46327209472656,43.20996838272375,48.44083786010742,0.13901914734516208,0.13554366866153303,617.4894375604035,0.0,13.554366866153304,1.0,0.02195076715757976,True,True,put,FILTERED (IV rank top-tercile)
put,1997-02-24,1997-04-02,49.01528549194336,45.50108048969005,45.07200622558594,0.15052250654449484,0.14675944388088247,643.5611540016242,0.4290742641041092,-28.231482022322673,-1.9236569229055405,-0.043867598046869405,False,False,put,FILTERED (IV rank top-tercile)
put,1997-04-03,1997-05-09,45.31780242919922,41.8908648634442,49.987571716308594,0.14682556349299603,0.14315492440567112,577.9777844490496,0.0,14.315492440567112,1.0,0.024768239931943378,True,True,put,FILTERED (IV rank top-tercile)
put,1997-05-12,1997-06-18,50.81944274902344,47.10095519927173,54.03346252441406,0.15937630657334179,0.15539189890900823,660.079289896199,0.0,15.539189890900824,1.0,0.023541398933065213,True,True,put,FILTERED (IV rank top-tercile)
put,1997-06-19,1997-07-25,54.59120178222656,50.67362795010408,57.10980224609375,0.16752878290838513,0.1633405633356755,716.4007087658504,0.0,16.334056333567553,1.0,0.022800167746492562,True,True,put,FILTERED (IV rank top-tercile)
put,1997-07-28,1997-09-03,57.07183074951172,52.57162243631785,56.36962890625,0.19345383183193832,0.18861748603613984,710.2775322744618,0.0,18.861748603613986,1.0,0.026555462824812436,True,True,put,FILTERED (IV rank top-tercile)
put,1997-09-04,1997-10-10,56.7302360534668,51.634441140114355,59.05279922485352,0.22038941790355082,0.21487968245596203,646.5131979796879,0.0,21.487968245596203,1.0,0.03323670469952465,True,True,put,FILTERED (IV rank top-tercile)
put,1997-10-20,1997-11-26,58.29078674316406,53.92737233100275,58.233642578125,0.18716921738322512,0.1824899869486445,747.7232923420145,0.0,18.248998694864447,1.0,0.02440608562253697,True,True,put,FILTERED (IV rank top-tercile)
put,1997-11-28,1998-01-02,58.29078674316406,52.69450924359067,59.70850372314453,0.24294841215309848,0.236874701849271,629.8754550908694,0.0,23.6874701849271,1.0,0.03760659348364322,True,True,put,FILTERED (IV rank top-tercile)
put,1998-01-05,1998-02-11,59.84235763549805,54.5919982321577,62.51987457275391,0.22702442911980647,0.2213488183918113,693.9460942151073,0.0,22.13488183918113,1.0,0.03189711999779601,True,True,put,FILTERED (IV rank top-tercile)
put,1998-03-30,1998-05-06,67.24518585205078,61.27484944184122,67.64801788330078,0.2583555359365928,0.2518966475381779,773.0597407738774,0.0,25.18966475381779,1.0,0.032584370166012636,True,True,put,FILTERED (IV rank top-tercile)
put,1998-06-12,1998-07-17,67.78224182128906,62.34612077921193,73.00061798095703,0.23318006144544423,0.2273505599093081,834.7677882089988,0.0,22.73505599093081,1.0,0.027235186014674884,True,True,put,FILTERED (IV rank top-tercile)
put,1998-07-29,1998-09-04,69.28707885742188,63.10402911939142,60.18608474731445,0.26765106449365117,0.26095978788130986,793.5325821335232,2.917944372076967,-265.6984584195657,-10.181586235056686,-0.3348299293586639,False,False,put,FILTERED (IV rank top-tercile)
put,1998-09-08,1998-10-15,63.41853332519531,54.97922615027786,65.47688293457031,0.3813152078573001,0.3717823276608676,586.9704942688654,0.0,37.17823276608676,1.0,0.06333918506823112,True,True,put,FILTERED (IV rank top-tercile)
put,1998-10-16,1998-11-20,65.4962387084961,57.62396328032294,72.061279296875,0.34994390954455756,0.3411953118059436,610.3591639838238,0.0,34.11953118059436,1.0,0.055900743683269444,True,True,put,FILTERED (IV rank top-tercile)
put,1998-12-04,1999-01-08,73.14258575439453,66.64333747827601,79.19751739501953,0.28050035919099603,0.27348785021122113,840.2756724971606,0.0,27.34878502112211,1.0,0.03254739595143346,True,True,put,FILTERED (IV rank top-tercile)
put,1999-01-13,1999-02-19,76.48528289794922,68.2650385353062,77.0277328491211,0.3614730702980129,0.3524362435405626,742.9248460487391,0.0,35.24362435405626,1.0,0.04743901693623546,True,True,put,FILTERED (IV rank top-tercile)
