n_leg,n_months,gross_sharpe,net_sharpe,max_dd,cagr,avg_turnover,avg_cost_bps_per_month,worst_month_ret,worst_month_date,label
1,180,0.05913643797241114,0.05042980199115238,-0.3499294971419703,-0.0014960823417927704,0.15555555555555556,0.9016938969903735,-0.1256437690672895,2020-03-01,EM-ONLY (USD+ZAR+CNH)
1,192,0.1129693045445507,0.10606511304914117,-0.388038285959161,0.0052679532809403185,0.13541666666666666,0.7704969998696817,-0.12715354983940302,2020-03-01,COMBINED G10+EM (11 currencies)
2,192,0.35518702493734794,0.35280278945859417,-0.16584004432250743,0.02484365284239809,0.13541666666666666,0.15086907815941275,-0.06835419362690669,2015-12-01,COMBINED G10+EM (11 currencies)
3,192,0.2863633333211007,0.2818652993236744,-0.1756264611987285,0.017188256674426583,0.1111111111111111,0.2582660801939613,-0.07715059029697159,2020-03-01,COMBINED G10+EM (11 currencies)
4,192,0.31461619685989584,0.31089491176373185,-0.10426185236664665,0.016797739089470243,0.10677083333333333,0.18171023606232573,-0.04953639544129887,2020-03-01,COMBINED G10+EM (11 currencies)
