instrument,lookback_months,n_decisions,n_switches,switch_freq_per_year,pct_time_cash,switch_cost_drag_total,causal_ok,sharpe,pf,max_dd,total_ret,n_obs,skew,ekurt,top_year_R,top_year_share,n_years,n_pos_years,regime_a_sharpe,regime_b_sharpe,regime_holds
BTCUSDT,3,34,22,2.5396649810366623,0.02843601895734597,0.044,True,-0.6025185300818336,0.8345492288123342,0.490976131956094,-0.4204348337157021,3165,0.9338888910236076,8.581462440933358,0.12335560533279655,,9,1,-0.07868225270894115,-0.9544249961888692,False
BTCUSDT,6,17,13,1.5007111251580276,0.057187993680884674,0.026,True,-0.6276945049510209,0.8295047296983724,0.47313823825322887,-0.43111974683881527,3165,0.9581961556883186,7.705313881288826,0.059401204156314405,,9,2,0.14258335508632677,-1.169757141782602,False
ETHUSDT,3,34,27,3.1168615676359037,0.1052132701421801,0.054,True,-0.25833057927783387,0.9230420327693819,0.3744311488472004,-0.2208641589949526,3165,1.741632692132092,11.677872379973618,0.08971576593899161,,9,3,0.30478639030809446,-0.8380166660270045,False
ETHUSDT,6,17,14,1.6161504424778759,0.17251184834123223,0.028,True,-0.11008895555527476,0.9677586370007655,0.35872219053371857,-0.12754899161057887,3165,1.6814645051823733,10.116719655802925,0.12067765772865686,,9,3,0.4187141969465276,-0.6153001581874873,False
