n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,net_win,net_loss,gross_win,gross_loss,is_win,is_loss,oos_win,oos_loss,ftmo_pass_rate,instrument,timeframe,family,variant,params,dsr,oos_holds
404,PASS,1.1234407457917275,1.0768181045440117,0.2297996883916233,1.1930810050959981,6.698883498370924,0.1068817309262662,0.05508770446431819,0.019926662462928322,0.03516104200138987,194.3174732142861,0.46782178217821785,1999,172,232,1.015856968882288,1.1207375045032888,0.10953407992199249,0.7944811559879016,199.12320042125964,184.91813945269814,202.54786733283106,180.29243472924654,78.6635570727657,77.43566218708571,120.45964334849396,107.48247726561243,0.0,NAS100,H4,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.0005643970119419519,True
312,PASS,1.1753663607915474,1.1384487978913194,0.3830617817435391,0.9933991019945273,5.446094826653881,0.09889635122758664,0.0851187407936666,0.01666992043253926,0.06844882036112737,243.1924464285721,0.483974358974359,1998,136,176,1.0899263159443784,1.176372551005773,0.6512270522651835,1.2113583388682105,175.60823405150097,154.25220209882923,177.99456916864733,151.43752204102333,73.7553857061034,67.67006597340229,101.85284834539758,86.58213612542693,0.0,NAS100,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.002334711328466552,True
359,PASS,1.157229258885944,1.1230599604985139,0.3320999541146546,2.4776090008719462,12.124312925652918,0.13868625242901406,0.08381965536869164,0.01696622033821389,0.06685343503047776,234.06967857143172,0.4178272980501393,2009,166,193,1.1970229613533236,1.0603613200235265,1.2303242560981549,0.3919709433700207,219.0303756992315,195.02999252329,221.47584010465488,191.38458382729453,107.10638878011068,89.47730514627632,111.92398691912085,105.55268737701368,0.0,NAS100,H4,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.0012429396849297778,True
177,PASS,1.5194127084248827,1.4763889801597023,0.8466668757671295,2.4292971591459653,13.705032621460864,0.12789922360930536,0.268858927259556,0.017931796329542133,0.25092713093001384,208.6639285714282,0.4745762711864407,2004,76,101,1.1403277257519104,1.7703807077528395,0.9650609659514642,4.266574430267978,137.64485272581808,93.23075055120563,139.20694770832512,91.61891758338369,49.607449990454676,43.50280087923361,88.0374027353634,49.72794967197201,0.0,NAS100,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.05587464337896199,True
106,PASS,1.3987675711791192,1.3585506281131794,0.5152436214248564,3.3311703560370027,25.432490171979804,0.06703410708299706,0.2167833773514482,0.01818534122757049,0.19859803612387775,220.44932142857033,0.44339622641509435,1996,44,62,1.0857388374431498,1.5765285541123588,0.5986661410093223,3.339008751634172,79.76385857311897,58.71246674398794,80.60418021256487,57.62514221331136,28.312144211686245,26.076385255186832,51.451714361432735,32.63608148880111,0.0,NAS100,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.005303791517186135,True
210,PASS,1.450049414796204,1.4014917857093847,0.7506900543401047,3.336495813395973,17.35394252205036,0.09745676556083895,0.2760843639152031,0.02383090346889318,0.2522534604463099,155.40042857142726,0.38095238095238093,2004,88,122,1.2711253940850678,1.4989670688740786,1.6653029146590363,2.8121166552271353,184.91422419166423,131.94099749793918,186.80293986670424,128.82522344451158,71.75125459307462,56.44703105370641,113.16296959858961,75.49396644423275,0.0,NAS100,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.028077730428735157,True
209,PASS,1.123484753429039,1.0925418579191029,0.20612131132799366,1.7724426450160402,14.595031317117156,0.15763857119998567,0.05733396778127854,0.013674743006918025,0.043659224774360524,299.9841071428582,0.47368421052631576,1997,88,121,1.2586377670829898,0.9862082342421723,1.6577845377705638,-0.10010775524766881,107.72640737043386,98.60162939259253,109.02149378960083,97.0386945233136,48.439681555470976,38.48580014227163,59.28672581496288,60.11582925032087,0.0,NAS100,H8,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.00043234458352320044,False
164,PASS,1.300868387696179,1.2711104986369164,0.5149473729764398,1.5683744567229385,12.447669631433298,0.10627824513455708,0.1421887394567865,0.012323232535431534,0.12986550692135496,333.32740178571385,0.4878048780487805,1997,68,96,1.473889644311746,1.1400603522677113,2.94109430637233,0.9743921741602701,99.85610758164174,78.55816444653954,100.82444811359736,77.50549484268439,45.45371282405476,30.83929180144286,54.40239475758697,47.718872645096674,0.0,NAS100,H8,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.006502514360071608,True
187,PASS,1.1137838206655053,1.091993949978214,0.18515351727903773,3.2703640609687223,24.375332627450078,0.10691530447699248,0.062439553443358865,0.011313585002703633,0.051125968440655215,362.9445714285721,0.40641711229946526,1987,83,104,0.9971132971474285,1.1636995949902507,-0.020020611269235575,1.0301285716857609,113.48647840814816,103.92592230974564,114.29356709735328,102.61737060344518,44.604889249036354,44.734023081071484,68.88158915911181,59.191899228674124,0.0,NAS100,H8,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.0003265621629380397,False
82,PASS,1.7685427494332746,1.7307201935826333,0.7583658175184749,4.455459450910633,39.025562759383206,0.06168433594605327,0.3284507505140458,0.012038805541821587,0.31641194497222425,331.55724999999984,0.5,2005,28,54,2.5910202310824877,1.4371398475367434,6.578966258096112,2.5264708705416363,61.452913019250175,35.507133531527785,61.97715597637444,35.04419443422268,23.407369201456856,9.034035674695454,38.04554381779331,26.473097856832332,0.0,NAS100,H8,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.02645369672367373,True
