multiplier,sharpe,max_dd,funded_rate,dd_breach_rate
9,1.477049175062184,-0.2955068133299868,0.3246753246753247,0.42857142857142855
10,1.477049175062184,-0.32359214393071173,0.33116883116883117,0.5064935064935064
11,1.4770491750621837,-0.3507937772878314,0.3246753246753247,0.5324675324675324
12,1.4770491750621835,-0.3771298620933648,0.35064935064935066,0.5064935064935064
13,1.4770491750621841,-0.40261854510670353,0.38311688311688313,0.5064935064935064
14,1.4770491750621841,-0.4272779545369871,0.37662337662337664,0.5194805194805194
15,1.4770491750621841,-0.4511261839815854,0.36363636363636365,0.551948051948052
16,1.4770491750621837,-0.47418127692329654,0.33766233766233766,0.5909090909090909
17,1.477049175062184,-0.49646121178801567,0.3181818181818182,0.6103896103896104
18,1.477049175062184,-0.517983887563772,0.3051948051948052,0.6233766233766234
19,1.4770491750621841,-0.538767109981294,0.3051948051948052,0.6233766233766234
20,1.477049175062184,-0.5588285782554384,0.3181818181818182,0.6103896103896104
21,1.4770491750621841,-0.5781858723860807,0.3116883116883117,0.6233766233766234
22,1.4770491750621837,-0.5968564410163478,0.3181818181818182,0.6168831168831169
23,1.477049175062184,-0.6148575898453561,0.3116883116883117,0.6298701298701299
24,1.4770491750621835,-0.6322064705919415,0.2792207792207792,0.6753246753246753
