label,tol_frac,stop_mode,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,trade_maxdd,end_balance,total_return,avg_gross_R,avg_net_R,avg_cost_R
tol0.05_or_range,0.05,or_range,False,504,PASS,1.777393729358464,1.3098083628669261,1.0233468315452325,0.12868442770771737,167322.93146128,0.6732293146128001,0.22921165159156315,0.10578029130105597,0.12343136029050719
tol0.05_moderate,0.05,moderate,False,504,PASS,1.820673864094827,1.3531275682303732,1.1761567584157864,0.15941369588848686,186328.4839265201,0.863284839265201,0.2556339919479605,0.12749491939633084,0.12813907255162965
"tol0.10_or_range [BASELINE, repro-only]",0.1,or_range,True,554,PASS,1.8440198674303885,1.3541841162649824,1.2056515659919749,0.09963256294227851,189950.56587577704,0.8995056587577703,0.24526936982577902,0.11948519787260575,0.12578417195317332
tol0.10_moderate,0.1,moderate,False,554,PASS,1.8936321251138881,1.4058710271142816,1.3865423514675952,0.15073379299106182,216427.54753160683,1.1642754753160682,0.2720297947141622,0.14337186671104618,0.12865792800311607
tol0.20_or_range,0.2,or_range,False,587,PASS,1.8189474042364548,1.3371808040893438,1.1953879325468342,0.10778211309576702,193221.36022545432,0.9322136022545433,0.24273299717899569,0.11593704475919031,0.12679595241980537
tol0.20_moderate,0.2,moderate,False,587,PASS,1.9154480496317328,1.424576081091733,1.4880417770497423,0.12093632885700167,235575.26364846382,1.3557526364846382,0.27932730481460194,0.15001210800357195,0.12931519681102996
