inst,label,regime,start,end,bh_ending,n,win_rate,gross_pf,net_pf,sharpe,max_dd,ending_cap,top_year,ruin_trade,skew,ekurt,n_obs
XAUUSD,XAUUSD in-regime 2018-2025,in,2018-01-01,2025-12-31,331603.89707604144,2196,0.3410746812386157,1.0314183699310797,0.6737823284290079,-3.09043224325478,0.9983811025805687,165.42010923467578,,1487.0,0.629960231773511,-1.4576747622355817,2196
XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,2017-01-01,2017-12-31,113176.59424759158,355,0.3323943661971831,0.9918709511009975,0.5820730434095355,-4.2936315040225725,0.7846617828687302,24172.6067566618,,,0.6950509096824551,-1.4528360928252118,355
EURUSD,EURUSD in-regime 2018-2025,in,2018-01-01,2025-12-31,97793.64319463813,1764,0.3378684807256236,1.0198878804320428,0.8080084639965994,-1.6448345043774426,0.9479171246090644,6159.124361624958,,,0.6726712660351996,-1.4990548828328323,1764
EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,2013-01-01,2017-12-31,90953.8676042677,1174,0.3373083475298126,1.0160343988034963,0.824545301318746,-1.4853452588281761,0.8393404964648409,18603.240598278262,,,0.6829506340614926,-1.5103527798551575,1174
SPX500,SPX500 in-regime 2018-2025,in,2018-01-01,2025-12-31,255640.1328556501,3469,0.33900259440761027,1.0128121054250416,0.7040645749233917,-2.7426240085379456,0.9998585450220107,14.264444405109014,,1786.0,0.6816133921045151,-1.468711314575107,3469
SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,2017-01-01,2017-12-31,118830.84013800269,311,0.40514469453376206,1.3653655195338956,0.7810428904940282,-1.9378664490365238,0.540185819376522,54304.41807794388,,,0.3847665712593722,-1.7772266839532562,311
BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,2018-01-01,2025-12-31,639396.7866751484,5381,0.25348448243820854,1.0366343220295473,0.1730403924522925,-12.310040169217297,1.0,1.5085265475476016e-28,,321.0,0.1070080257031045,-0.5287286359017322,5381
