instrument,dte,moneyness,guard,n_trades,win_rate,avg_win_ret,avg_loss_ret,avg_ret_on_prem,median_ret_on_prem,pct_expired_worthless,total_premium_paid,total_extrinsic_paid,total_payoff,theta_drag_abs,theta_drag_pct_of_prem,opt_minus_deltastock,final_capital,total_return,net_sharpe,max_dd,skew,ekurt,n_obs,top_year_share,is_ret_on_prem,oos_ret_on_prem,is_winrate,oos_winrate,is_n,oos_n
SPY,14,ATM,PASS,210,0.42857142857142855,0.847844641333206,-0.7563866571675812,-0.068858957810101,-0.22429795464294539,0.32857142857142857,1012.9730444903319,1012.9730444903319,880.7276153564453,132.24542913388655,0.13055177514661767,-0.2735155280820583,72105.16996344274,-0.2789483003655726,-0.23905665720503236,0.329751509033991,3.5490882998014377,78.85195105858364,5334,,-0.010105782472105281,-0.1399812226929379,0.45217391304347826,0.4,115,95
SPY,14,OTM2,PASS,210,0.1761904761904762,1.611760897682642,-0.9236020947052647,-0.47689528176072854,-1.0,0.6904761904761905,483.8941440296046,483.8941440296046,243.5564971923824,240.3376468372222,0.49667401393995453,-0.7432329944084102,12601.098068787549,-0.8739890193121245,-1.1625831276484904,0.8745152233866959,11.3572448885284,402.57639165668826,5334,,-0.46853467300176593,-0.48701601867947286,0.17391304347826086,0.17894736842105263,115,95
SPY,35,ATM,PASS,113,0.46017699115044247,0.9346744183327075,-0.7543685873587357,0.022890140924052227,-0.16825342336515142,0.2920353982300885,830.3220242428054,830.3220242428054,823.6911468505859,6.630877392219418,0.007985910524613997,-0.3288334967335494,103007.89450062935,0.03007894500629349,0.03811136191540311,0.1703450099666328,5.820423910055693,139.40273251126925,5313,2.114880346133121,0.03423591893579866,0.009580670564118958,0.47540983606557374,0.4423076923076923,61,52
SPY,35,OTM2,PASS,113,0.3185840707964602,1.2541298465297916,-0.887973949718473,-0.20553380224114978,-1.0,0.5309734513274337,518.9087432632347,518.9087432632347,407.0551405334469,111.85360272978778,0.21555544049302347,-0.6269377646397017,60826.830029106924,-0.39173169970893074,-0.4017386536967954,0.4493572468522248,8.751852372865384,243.47747476120304,5313,,-0.23036802705259907,-0.17640134621233433,0.3114754098360656,0.3269230769230769,61,52
QQQ,14,ATM,PASS,201,0.4527363184079602,1.0721125429055773,-0.8110382921931517,0.041532483896322706,-0.25706404013099843,0.3383084577114428,925.5889426373612,925.5889426373612,916.1903648376465,9.398577799714758,0.010154159548335324,-0.2144529094797946,112555.91736958639,0.1255591736958639,0.09664285297354422,0.20077038188536322,5.0584417946172175,78.81292471733984,5334,1.072258743554398,0.016757867458049247,0.07208784417019332,0.46846846846846846,0.43333333333333335,111,90
QQQ,14,OTM2,PASS,201,0.2736318407960199,1.6827977468812947,-0.9178315336979942,-0.20621655642505446,-1.0,0.6268656716417911,513.421729651218,513.421729651218,425.94420364379846,87.47752600741956,0.1703814251625959,-0.5264761632840576,40561.92562307635,-0.5943807437692366,-0.4823966083053496,0.6468790766494722,6.993866227879934,121.88000263631811,5334,,-0.33231602687216544,-0.05069387620695096,0.23423423423423423,0.32222222222222224,111,90
QQQ,35,ATM,PASS,108,0.5,1.1727480018639371,-0.8201577977638808,0.1762951020500283,0.007869792328040968,0.3055555555555556,733.9294749921046,733.9294749921046,799.0143661499023,-65.08489115779776,-0.08868003449309339,-0.20658668231588312,142106.83339646948,0.4210683339646948,0.30560762273824726,0.13791072518363742,8.123016009186843,172.04906613732763,5313,0.31985280545129147,0.18733975370205364,0.16248928748499666,0.5333333333333333,0.4583333333333333,60,48
QQQ,35,OTM2,PASS,108,0.4166666666666667,1.4296231030055655,-0.914558219047022,0.0621839984748895,-0.7088177231625119,0.46296296296296297,501.11365194555833,501.11365194555833,513.1369795227049,-12.023327577146574,-0.02399321497322289,-0.38371107673758165,109971.78717836479,0.09971787178364777,0.06489722085081022,0.18922839196539512,10.232796878987902,245.34766031707403,5313,1.0742003496128214,0.005002285081363,0.13366114021679767,0.4,0.4375,60,48
AAPL,14,ATM,PASS,193,0.41968911917098445,1.9162004252949179,-0.839182599574013,0.3172216751119114,-0.4314766039081898,0.40414507772020725,494.80691726367274,494.80691726367274,540.5656251907349,-45.75870792706212,-0.09247790669562975,-0.010656830744524509,300856.37190353376,2.0085637190353376,0.5227042484044325,0.15937641094025756,13.61939376678157,297.18496441636904,5320,0.22850800465811932,0.3377001103827138,0.2932918181662546,0.3942307692307692,0.449438202247191,104,89
AAPL,14,OTM2,PASS,193,0.3471502590673575,3.344485046989231,-0.9235118727299199,0.5581243636492673,-1.0,0.5440414507772021,326.870349528599,326.870349528599,345.08930307388306,-18.21895354528408,-0.055737553349696045,0.1621113093233649,594572.7278205914,4.945727278205914,0.4949396978680347,0.1862675890465774,29.779851857648378,1232.1888290899751,5320,0.3572827301255484,0.7188575991793033,0.37030125696248395,0.3076923076923077,0.39325842696629215,104,89
AAPL,35,ATM,PASS,105,0.5047619047619047,2.0887778381133186,-0.9054173450583662,0.6059383188282936,0.015886123240725664,0.4,403.7433071535298,403.7433071535298,470.2305278778076,-66.48722072427779,-0.1646769606981868,0.14256350592634784,326379.30010065663,2.2637930010065666,0.5998441348782343,0.08736165555545677,16.66536262546561,432.97460348551755,5299,0.27139007811156957,0.7821652288207488,0.4045361359797736,0.5178571428571429,0.4897959183673469,56,49
AAPL,35,OTM2,PASS,105,0.42857142857142855,3.232496123275222,-0.8723282515045832,0.8868821948296188,-0.3894762602316142,0.44761904761904764,308.84206247686444,308.84206247686444,363.27118473052974,-54.4291222536653,-0.1762361053321311,0.35051937351014695,531633.9144797546,4.3163391447975465,0.575022193816059,0.11306947689584837,29.44095359254378,1278.6171970710752,5299,0.33622638117133763,1.2152927044134252,0.5115558981624113,0.42857142857142855,0.42857142857142855,56,49
MSFT,14,ATM,PASS,195,0.38461538461538464,1.6957448850908883,-0.8305220716059721,0.14111906558512793,-0.6071261086333581,0.39487179487179486,819.4806524760173,819.4806524760173,829.3835849761963,-9.902932500178963,-0.01208440061428879,-0.11769184456121172,157967.26044213626,0.5796726044213627,0.24367639886620365,0.16584133581610672,10.79776420423787,194.38321423144228,5334,0.325428442109523,0.13758242397052745,0.14599273024915063,0.415929203539823,0.34146341463414637,113,82
MSFT,14,OTM2,PASS,195,0.26666666666666666,3.152425881369522,-0.9155289410716109,0.16925901157935788,-1.0,0.6,532.4583685369239,532.4583685369239,522.9482471847532,9.5101213521707,0.017860779197258893,-0.15260602159913458,159044.16331718015,0.5904416331718014,0.19219491952146506,0.23060442148545554,16.21173900139766,383.1957016869709,5334,0.4292010107756588,0.13604014585924432,0.21503622897414848,0.23893805309734514,0.3048780487804878,113,82
MSFT,35,ATM,PASS,106,0.42452830188679247,1.7354148601422321,-0.751291379410221,0.30438579775827346,-0.2182016449476314,0.3490566037735849,691.2227644244274,691.2227644244274,791.7788410186768,-100.55607659424936,-0.14547564369929447,-0.12463860351034065,180116.19920218608,0.8011619920218609,0.37761129464032317,0.10052827691881933,18.984376873688817,613.271611159009,5313,0.28351605427104754,0.36952515757084176,0.21942141539405408,0.45,0.391304347826087,60,46
MSFT,35,OTM2,PASS,106,0.36792452830188677,2.5000716717735183,-0.855336037347461,0.3792007612913896,-0.6417507091821949,0.42452830188679247,523.8141212953086,523.8141212953086,599.1196094512937,-75.30548815598513,-0.14376376102608057,-0.11496098849475668,200125.26679500708,1.0012526679500708,0.3273915136422198,0.12549100699519017,29.869385818835195,1349.4072966228484,5313,0.40654143861889547,0.43053867228179715,0.3122382686952059,0.36666666666666664,0.3695652173913043,60,46
GOOGL,14,ATM,PASS,195,0.39487179487179486,1.8474840685361238,-0.8321386732371197,0.22596876838616112,-0.4133806526257341,0.4256410256410256,499.0898515264297,499.0898515264297,575.4153757095337,-76.325524183104,-0.15292942533226828,-0.050892171903343816,209883.19095324702,1.0988319095324703,0.353317294228688,0.178557970289431,21.90828995201167,797.0236975199283,5327,0.2878840779290534,0.193719162360105,0.2660027620736789,0.3425925925925926,0.45977011494252873,108,87
GOOGL,14,OTM2,PASS,195,0.31794871794871793,3.250911420122444,-0.9217396511769319,0.40494940739004887,-1.0,0.5435897435897435,344.15372407854,344.15372407854,385.60474592208857,-41.451021843548574,-0.1204433337298101,0.07506122240032793,335779.2293297271,2.3577922932972712,0.36443054802093044,0.23849156656322848,30.844117303908764,1312.5484078485301,5327,0.3240373950917883,0.44654481205909136,0.353313732628479,0.26851851851851855,0.3793103448275862,108,87
