label,sharpe,max_dd,total_return,n_pos_years,n_years
VIX standalone,0.19006077992632253,-0.2412724931934322,0.16427788893302608,7,13
Real-yield standalone,0.3450772846270324,-0.2532800563424981,0.6507771525290009,8,13
"Combined, fixed 50/50",0.4318022004208192,-0.15043489345706704,0.46629509519958257,11,13
"Combined, rolling risk-parity",0.3474919540059121,-0.15015095210730126,0.32225296020526195,7,13
