instrument,window,or_minutes,target,stop_mode,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,win_rate,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,dsr,oos_holds,gross_edge,not_concentrated,extreme_concentration,beats_bh,SURVIVOR
NAS100,in_regime,15,1R,or_range,816,816,PASS,578,238,1.1370885120236431,0.9595020267206392,-0.20575048269527677,-0.258598433701535,-0.33423234966715976,0.3590659711312946,0.059939605584622815,0.07911903596191139,-0.019179430377288566,-15.65041518786747,0.5269607843137255,1961,489,327,0.9117160695118448,1.0333050425288832,-0.7094909387351881,0.2542226274199065,11.975524148600126,,8,3,0.07337384442887379,False,True,False,False,False,False
NAS100,in_regime,15,2R,or_range,816,816,PASS,578,238,1.1337202666739237,0.985987603420919,-0.06625444462641814,0.8462459109427957,0.8156643792741671,0.3543934562174198,0.0710346255517074,0.07911903596191139,-0.008084410410203984,-6.596878894726451,0.41544117647058826,1961,489,327,0.9293714300073838,1.0711982613063913,-0.5298982410125976,0.5042263857872188,12.686245046396376,,8,4,0.1450904938110134,False,True,False,False,False,False
NAS100,in_regime,15,close,or_range,816,816,PASS,578,238,1.2060549986649705,1.056344231693078,0.2315929418830254,2.1852268557895247,8.964361199495704,0.2733192872801082,0.11259341198882329,0.07911903596191139,0.0334743760269119,27.315090837960113,0.39828431372549017,1961,489,327,1.0363488180374978,1.085276701063118,0.23089054481218937,0.5449157024757646,14.104036591645324,0.516345952327743,8,6,0.4081158670972046,True,True,True,False,False,False
NAS100,in_regime,30,1R,or_range,822,822,PASS,593,229,1.1742640209114643,1.0209074591860257,0.0989009100823554,-0.22008037526120627,0.03227799531626596,0.2546462713105288,0.06596372817237472,0.05751323577363464,0.008450492398740078,6.946304751764345,0.5401459854014599,1964,480,342,0.965450672731288,1.1018589768859235,-0.2582133678660234,0.721207926562064,17.776329644177185,2.559105924579835,8,2,0.2746113881179195,False,True,False,True,False,False
NAS100,in_regime,30,2R,or_range,822,822,PASS,593,229,1.174473302270577,1.0378058129424512,0.1667493785479077,0.7768941524287425,1.4808304685287852,0.30060363303720755,0.0748803832187403,0.05751323577363464,0.01736714744510566,14.275795199876853,0.4781021897810219,1964,480,342,0.9735415596214295,1.1279507496331516,-0.18634555090431693,0.8355488526074581,14.727609171716255,1.0316489530364858,8,4,0.3403195199394936,False,True,False,True,False,False
NAS100,in_regime,30,close,or_range,822,822,PASS,593,229,1.2006158331516983,1.0636168686489382,0.2633416663224915,1.618041276536462,7.233661757338901,0.25669787817880735,0.08707645710076645,0.05751323577363464,0.02956322132713182,24.300967930902356,0.4732360097323601,1964,480,342,1.0282595785732038,1.111868304811836,0.1832580164389909,0.7027095535182727,17.568189673779536,0.722941971847917,8,4,0.4434825828765685,True,True,False,False,False,False
US30,in_regime,15,1R,or_range,753,753,PASS,517,236,1.1749272393066506,0.9473039549333968,-0.26348324656348454,-0.31848092090248226,-0.1828038188847807,0.20494503286094565,0.07430009150596532,0.09904347620575285,-0.02474338469978753,-18.63176867894001,0.5312084993359893,1868,385,368,0.9728377371763607,0.9208141059924365,-0.21181614815158187,-0.6290893458942698,2.8559257922803796,,8,3,0.0576031610207575,False,True,False,False,False,False
US30,in_regime,15,2R,or_range,753,753,PASS,517,236,1.0831234702262622,0.9092032233244173,-0.43969557054140684,0.8253013396605895,0.9359813937315717,0.4157580499688231,0.04480675861118893,0.09904347620575285,-0.05423671759456391,-40.84024834870662,0.4050464807436919,1868,385,368,0.8911137976647361,0.9290779713500907,-0.8447695434204284,-0.5306364856540581,11.488526720144108,,8,4,0.021315730434413514,False,True,False,False,False,False
US30,in_regime,15,close,or_range,753,753,PASS,517,236,1.043173746156808,0.8783682889100007,-0.5326197022212663,2.5628631641428927,15.293956516050386,0.48007440481280234,0.02398441464211859,0.09904347620575285,-0.07505906156363426,-56.519473357416594,0.38114209827357237,1868,385,368,0.8542318045497999,0.9049949155607876,-1.0641305935370913,-0.6180325792793608,8.946091840605398,,8,1,0.013696372515079326,False,True,False,False,False,False
US30,in_regime,30,1R,or_range,754,754,PASS,528,226,1.1167027124911246,0.9341286167501118,-0.3224464470082249,-0.2632732836674452,0.07208320363385656,0.33893618120824376,0.04633533370401456,0.07474076165464658,-0.028405427950632015,-21.41769267477654,0.519893899204244,1865,386,368,1.0443761600090187,0.8268058556132225,0.3255275338205584,-1.4031131651313313,7.093779279174829,,8,3,0.04139258311015692,False,True,False,False,False,False
US30,in_regime,30,2R,or_range,754,754,PASS,528,226,1.082095826414011,0.9259145003446384,-0.3416932725493838,0.810719162526019,1.6011911960170213,0.3336254192058345,0.03765594884535538,0.07474076165464658,-0.03708481280929119,-27.96194885820556,0.4389920424403183,1865,386,368,0.9324951013991007,0.9188851390399542,-0.4917363225414003,-0.5848835235452169,4.4547929995288555,,8,3,0.038619546149222785,False,True,False,False,False,False
US30,in_regime,30,close,or_range,754,754,PASS,528,226,1.0636368587104632,0.9112103678078736,-0.37231764111937937,2.7022634509293586,19.493551792616596,0.4040682747692623,0.029611131742655842,0.07474076165464658,-0.045129629911990723,-34.02774095364101,0.43103448275862066,1865,386,368,0.867739871306011,0.9578015446875141,-0.9572961115219804,-0.2553542189721613,10.595788155375685,,8,2,0.03538176315091922,False,True,False,False,False,False
