instrument,window,or_minutes,target,stop_mode,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,win_rate,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,dsr,oos_holds,gross_edge,not_concentrated,extreme_concentration,beats_bh,SURVIVOR
NAS100,out_regime,15,1R,or_range,480,480,PASS,367,113,0.9134226739909472,0.615954257981816,-2.5343629896584003,-0.4058160761948804,-0.6372701342074123,0.6634370735955227,-0.041344810164668074,0.17755202006796372,-0.21889683023263182,-105.07047851166327,0.46875,978,246,234,0.5962662507698724,0.6386953990803683,-3.9311193548617887,-3.366286906853752,0.4358366167070633,,5,1,0.00012702422599277313,False,False,False,False,False,False
NAS100,out_regime,15,2R,or_range,480,480,PASS,367,113,1.0732927424304737,0.7860201223596379,-1.2319956013311406,0.606615552452064,0.14275859130583912,0.5462485705554657,0.03957576600232461,0.17755202006796372,-0.13797625406563915,-66.22860195150679,0.38958333333333334,978,246,234,0.7413129371471894,0.8422154723453706,-2.2339244280948485,-1.2301465732279713,1.3348891327025614,,5,1,0.16742227646038976,False,True,False,False,False,False
NAS100,out_regime,15,close,or_range,480,480,PASS,367,113,1.109503648582598,0.8276196056103825,-0.8408710668260068,2.57537086251442,14.066539453286227,0.5426898794663323,0.06159303246098382,0.17755202006796372,-0.11595898760697991,-55.660314051350355,0.35833333333333334,978,246,234,0.7874263297308239,0.8775848597946436,-1.589148215550873,-0.7857898178781904,1.3348891327025614,,5,1,0.41943383659525274,False,True,False,False,False,False
NAS100,out_regime,30,1R,or_range,498,498,PASS,392,106,0.8975073568190548,0.649024588659963,-2.2350120277392778,-0.3330709479257211,-0.4809466503077662,0.5939101891728572,-0.04384760430252127,0.12967444737459324,-0.1735220516771145,-86.41398173520302,0.4578313253012048,978,246,252,0.5884329620259903,0.717541385201873,-3.911913646873567,-2.4036076793326506,0.6944492337967991,,5,1,0.0012454496650514762,False,False,False,False,False,False
NAS100,out_regime,30,2R,or_range,498,498,PASS,392,106,0.9373435269389074,0.7045050886141427,-1.7370360281737853,0.536226020827937,0.6819867894915435,0.5753442618152869,-0.02916900092505225,0.12967444737459324,-0.1588434482996455,-79.10403725322345,0.40963855421686746,978,246,252,0.6603204736518494,0.7538921217723984,-2.950980515248298,-1.936144591944697,1.086515344792953,,5,1,0.027410866861113145,False,False,False,False,False,False
NAS100,out_regime,30,close,or_range,498,498,PASS,392,106,0.9472188479296412,0.718217442251975,-1.5397814877189384,1.5841262623334742,7.218825921390179,0.5874866740244865,-0.02507446096535469,0.12967444737459324,-0.15474890833994792,-77.06495635329406,0.39759036144578314,978,246,252,0.6507812506979765,0.7946412628056494,-2.8916549479673863,-1.4607592386745627,1.086515344792953,,5,1,0.07065213883063398,False,False,False,False,False,False
US30,out_regime,15,1R,or_range,496,496,PASS,353,143,1.0109405485897294,0.704045136710476,-1.8459930020945685,-0.41435260739794705,-0.613003662003897,0.5725727339484875,0.005049957679654567,0.16647122267799974,-0.16142126499834514,-80.06494743917919,0.49193548387096775,1026,242,254,0.6567096595112867,0.7523116194778185,-3.2149368581505944,-2.1567886094732938,-1.6646805949516548,,5,0,0.01067178306940983,False,True,False,False,False,False
US30,out_regime,15,2R,or_range,496,496,PASS,353,143,1.0213111809817617,0.7583034622901563,-1.3969649934425223,0.6337044903148024,0.3029840612716863,0.5659245012112397,0.011522285565806135,0.16647122267799974,-0.1549489371121936,-76.85467280764803,0.3911290322580645,1026,242,254,0.683590898416315,0.8348958503561366,-2.7740887730622266,-1.3125098488406033,3.2037054607301654,,5,1,0.09570287615020656,False,True,False,False,False,False
US30,out_regime,15,close,or_range,496,496,PASS,353,143,1.0548681354877167,0.8008377887899919,-0.9410187744831692,3.270975922225237,21.9126344375936,0.5768237897351824,0.03128412347599619,0.16647122267799974,-0.13518709920200356,-67.05280120419377,0.3528225806451613,1026,242,254,0.7070356234968911,0.8939639268388421,-2.2176477674412576,-0.6591930089183661,-0.7090828741769865,,5,0,0.34983622512032275,False,True,False,False,False,False
US30,out_regime,30,1R,or_range,497,497,PASS,369,128,0.8790034711835472,0.6462968479133636,-2.1940778628044506,-0.37133009364307706,-0.28928027704532244,0.5971673647916057,-0.052182088443949295,0.12453252432222378,-0.1767146127661731,-87.82716254478802,0.4567404426559356,1028,234,263,0.5924115068274713,0.6990271550188399,-3.8466602751692416,-2.5951823499070867,-0.5049109314880107,,5,0,0.0012538829027925488,False,False,False,False,False,False
US30,out_regime,30,2R,or_range,497,497,PASS,369,128,0.9198725574896174,0.6981589469356191,-1.710450847995436,0.5808594705102715,1.121845228937267,0.5696108617884963,-0.03681891794436454,0.12453252432222378,-0.16135144226658832,-80.1916668064944,0.40643863179074446,1028,234,263,0.6282984424635036,0.7654097072870836,-3.221630653563879,-1.8272139148204785,-0.39497207395427714,,5,0,0.027915928980781744,False,False,False,False,False,False
US30,out_regime,30,close,or_range,497,497,PASS,369,128,0.9819947248895506,0.7581964013943576,-1.1624192719912454,3.1422867501601996,27.509331743692247,0.5284212145330549,-0.008527099807703732,0.12453252432222378,-0.13305962412992753,-66.13063319257398,0.39235412474849096,1028,234,263,0.6370894057926637,0.8740313832320075,-2.955854193179275,-0.7719482499101828,-0.39497207395427714,,5,0,0.2192947726742448,False,False,False,False,False,False
