n_obs,years,sharpe,cagr_pct,maxDD_pct,recovery_days,total_return_pct,top_year_share_pct,variant,N,first_exec,guard_pass,spy_sharpe,spy_cagr_pct,spy_maxDD_pct,beats_spy_sharpe,dsr,e_max_sr
6832,27.11111111111111,0.5576353111093619,7.699261187506745,31.765213025715767,513,647.0036800640383,13.44505164189465,LONG-ONLY,6,1999-07-01,True,0.5184546449634225,8.42649867013554,55.18944351494353,True,0.3745467458643072,0.6190802509750223
6832,27.11111111111111,0.5193803644513406,6.812776164702816,30.227837836993427,416,497.0446831019677,16.923229284058642,LONG-SHORT,6,1999-07-01,True,0.5184546449634225,8.42649867013554,55.18944351494353,True,0.3018867157541737,0.6190802509750223
6704,26.603174603174605,0.6302780553890328,9.177696297751226,37.50441273871103,801,933.9118147580646,14.028762070891837,LONG-ONLY,12,2000-01-03,True,0.5111490855955526,8.359518324151093,55.189443514943505,True,0.523019579167533,0.6190802509750223
6704,26.603174603174605,0.5750577404623269,7.968570005530395,32.62966070522369,1148,668.8032300943171,15.48515823430075,LONG-SHORT,12,2000-01-03,True,0.5111490855955526,8.359518324151093,55.189443514943505,True,0.41021730697579334,0.6190802509750223
