opt_type,entry_date,exp_date,exit_date,exit_reason,days_held,dte_at_entry,width,width_pct,contracts,net_credit,realized_pnl,realized_pnl_sized,ret_on_credit,ret_on_max_loss,win,loss_amount,cell
put,1994-01-27,1994-03-04,1994-02-02,early_50%,6,36,0.5372764968872055,0.02,39.538393327535424,3.1439048351542596,1.807041048361826,71.44749972913183,0.5747760009005366,0.03572374986456592,True,0.0,2pct_UNFILTERED_early50pct
call,1994-01-27,1994-03-04,1994-02-10,early_50%,14,36,0.5372764968872055,0.02,39.34528712963671,2.8956404213766462,1.527426920731786,60.09705076572897,0.5274919183527685,0.030048525382864486,True,0.0,2pct_UNFILTERED_early50pct
call,1994-02-11,1994-03-18,1994-02-23,early_50%,12,35,0.5305955505371109,0.02,39.997339726501274,3.177431188812887,1.7294049259811834,69.17159634915419,0.544277695790889,0.03466983343903199,True,0.0,2pct_UNFILTERED_early50pct
put,1994-02-03,1994-03-11,1994-03-09,early_50%,34,36,0.5407924270629891,0.02,39.33612938053268,3.2365929650140526,2.301692074989224,90.53965725592283,0.7111465976319423,0.0452708914012446,True,0.0,2pct_UNFILTERED_early50pct
call,1994-02-24,1994-03-31,1994-03-09,early_50%,13,35,0.5242664718627914,0.02,40.648612471543245,3.206090003330362,1.647840159587801,66.9824160621305,0.5139718965706167,0.03347869780228034,True,0.0,2pct_UNFILTERED_early50pct
put,1994-03-10,1994-04-15,1994-03-15,early_50%,5,36,0.5242664718627914,0.02,41.26950487062995,3.7911045332905804,2.0319992407972363,83.8596025651979,0.535991351057132,0.04178012889247312,True,0.0,2pct_UNFILTERED_early50pct
call,1994-03-10,1994-04-15,1994-03-22,early_50%,12,36,0.5242664718627914,0.02,40.8022227714934,3.234112366691957,1.6172900274235984,65.98902798505233,0.5000723054894531,0.03287673695521044,True,0.0,2pct_UNFILTERED_early50pct
put,1994-03-16,1994-04-22,1994-03-23,early_50%,7,37,0.5316501998901373,0.02,40.60254405781096,3.6734717195768414,1.9187833808255002,77.90748675736283,0.5223351443267762,0.03876992027768971,True,0.0,2pct_UNFILTERED_early50pct
call,1994-03-23,1994-04-29,1994-03-25,early_50%,2,37,0.5311806488037121,0.02,40.18332064001789,3.0670399686056258,1.6378252390700614,65.81325673386623,0.5340084432661205,0.032723110904469305,True,0.0,2pct_UNFILTERED_early50pct
call,1994-03-28,1994-05-04,1994-04-05,early_50%,8,37,0.5205712890624987,0.02,41.13155005284897,3.157260787748718,1.720260214380251,70.756969111706,0.5448584485182426,0.03517924036546419,True,0.0,2pct_UNFILTERED_early50pct
call,1994-04-06,1994-05-13,1994-04-14,early_50%,8,37,0.5071326446533213,0.02,42.16367598954404,3.156837488412647,1.6936682120829332,71.41127772805515,0.5365078874980544,0.035613865879892945,True,0.0,2pct_UNFILTERED_early50pct
put,1994-03-24,1994-04-29,1994-04-25,early_50%,32,36,0.5248149871826158,0.02,41.06081402787382,3.490996361127695,2.8982715633883185,119.00538966656285,0.830213286860056,0.05915986617692397,True,0.0,2pct_UNFILTERED_early50pct
call,1994-04-15,1994-05-20,1994-04-28,early_50%,13,35,0.5046569442749025,0.02,42.37125988173347,3.0868931765824743,1.549672804108172,65.661589114522,0.5020169845410161,0.0327081471711672,True,0.0,2pct_UNFILTERED_early50pct
call,1994-04-29,1994-06-03,1994-05-09,early_50%,10,35,0.5103155899047849,0.02,42.03198673701974,3.018777560684791,1.6786249133457316,70.55594009417871,0.5560611471369709,0.03496204267607965,True,0.0,2pct_UNFILTERED_early50pct
