year,start_equity,end_equity,year_return_pct
2000,1.0,0.9493460596581065,-5.065394034189352
2001,0.9493460596581065,0.8620185574562402,-9.198700654355275
2002,0.8620185574562402,0.7865242923774945,-8.757846849785256
2003,0.7865242923774945,1.0244953525440819,30.25603436192057
2004,1.0244953525440819,1.1743542092093473,14.627577986872065
2005,1.1743542092093473,1.3864458496095498,18.060278469389267
2006,1.3864458496095498,1.8643845973248605,34.472226077196424
2007,1.8643845973248605,2.388144029518239,28.092885606591178
2008,2.388144029518239,2.7927072263731647,16.9404856597589
2009,2.7927072263731647,2.954543526532727,5.794961198626458
