instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
XAUUSD,M5,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",13560,PASS,0.9777238259397039,0.5561413061792744,-10.66520779424269,-0.2513101214303832,0.2490412006321594,1.0,-0.011515521571014731,0.30444408453890615,-0.31595960610992085,2.0251607142856756,2504,6463,4593,1601,10354,3206,0.52745887446335,0.6614455805753015,-12.45444790457979,-7.545630533439848,0.031578947368421054,95
XAUUSD,M5,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",11011,PASS,0.9784967170510396,0.5976085160426504,-9.145424842602848,-0.2946282314631376,0.2857269784559322,0.9999999999999775,-0.011386286072817246,0.2664510884210262,-0.27783737449384344,2.3120000000001255,3422,5566,2023,1601,8431,2580,0.5692363402353618,0.7016654952331347,-10.622982167452678,-6.377226264322764,0.021052631578947368,95
XAUUSD,M5,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",10741,PASS,1.0004243198438132,0.6774680600815736,-6.271230529452439,-0.015813886196460562,0.4143599652802292,0.9999999999967554,0.00024040614778111054,0.23322349945924994,-0.23298309331146885,2.56546428571437,1209,5753,3779,1601,8124,2617,0.6499555960466101,0.7717294431249848,-7.154568537400639,-4.106490092058355,0.07368421052631578,95
XAUUSD,M5,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",18107,PASS,0.9608252597300063,0.5073831509726645,-14.58770089386435,-0.5263705342978212,0.3108590246771019,1.0,-0.02401537073314906,0.41367822487584865,-0.43769359560899773,1.4411785714287362,4759,10839,2509,1601,13639,4468,0.4785141626647151,0.605845696662881,-16.71826987019935,-11.570949296398943,0.0,95
XAUUSD,M5,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",10427,PASS,0.9766527851936464,0.5622667197651842,-10.33316115606306,-0.31166185529150137,0.3714483588438089,1.0,-0.014908678483855641,0.3738660453165872,-0.38877472380044276,1.6086428571427405,3055,6577,795,1601,7819,2608,0.5356899209002107,0.6495422201172621,-12.18130908045999,-8.439276464511211,0.031578947368421054,95
XAUUSD,M5,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",16991,PASS,0.9612524733773852,0.5488790941387366,-13.087858072058319,-0.4012001997041434,0.21639381650957557,1.0,-0.020464352705685612,0.2999525591463245,-0.32041691185201004,1.9607499999999618,5079,8506,3406,1601,12841,4150,0.5179485976212608,0.6554424317617679,-15.116625831974195,-9.983748509399986,0.010526315789473684,95
XAUUSD,M5,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",6893,PASS,1.004351779149676,0.4818552228375709,-9.103748367554333,-1.0225614965315684,1.7764306017632854,0.9999999999998849,0.0024219565304650177,0.4208789560924857,-0.41845699956202065,1.4451785714284142,2385,3758,750,1601,5083,1810,0.44977533481716153,0.5827899406909549,-10.842387286128465,-7.359347387137471,0.010526315789473684,95
XAUUSD,M5,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",3245,PASS,0.9382957156991887,0.3773581657386774,-7.7202294938735605,-1.6096878292940289,3.493722839493184,0.999999222384506,-0.02882864002235511,0.39713430487439416,-0.42596294489674924,1.5755357142857065,1341,1453,451,1601,2287,958,0.3417313585206766,0.4732154018598348,-9.918281352479823,-7.812924309569186,0.0,95
XAUUSD,M5,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",14042,PASS,0.9909015864349134,0.5558266016499015,-10.341710803320892,-0.7823234880884903,0.7592541187913158,1.0,-0.0046252560105010734,0.2991419850801859,-0.30376724109068703,1.9889285714285734,3912,6789,3341,1601,10562,3480,0.5331762380134595,0.6310349467757403,-11.894979628515738,-8.303195031146021,0.010526315789473684,95
XAUUSD,M5,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",11091,PASS,0.9517661462521388,0.5979718410942126,-9.102309119599028,-0.5195215182513092,0.5956916484491921,0.9999999999999999,-0.02917455930829811,0.2915632600476864,-0.3207378193559845,2.0109999999999673,2774,6542,1775,1601,8470,2621,0.5665385123978421,0.7144965450067997,-10.366065505338792,-6.227953406881577,0.010526315789473684,95
XAUUSD,M5,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",7684,PASS,1.003339607463505,0.6522018612772795,-6.557059857226631,-0.42099079629650177,0.5919134037015006,0.9999999998970223,0.002100924050893766,0.2867782826069385,-0.2846773585560448,2.058892857142837,2283,4772,629,1601,5822,1862,0.6254908760531072,0.7461663311241771,-7.556517896327196,-4.3032623562912296,0.07368421052631578,95
XAUUSD,M5,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",20749,PASS,0.9986181408774014,0.509844351207349,-14.433318867991256,-0.6072324945953187,0.2502226165396908,1.0,-0.000757974476778939,0.3801602692700036,-0.38091824374678257,1.5342321428570358,6979,11055,2715,1601,15802,4947,0.48202617886892146,0.6110878854819505,-15.906893417575642,-10.977218181555262,0.021052631578947368,95
XAUUSD,M5,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",5886,PASS,0.9910149544224747,0.6250278040667707,-6.3423647474908345,-0.6250171566297694,0.8468677050020887,0.9999999855179122,-0.0053827802987414285,0.2907502855122018,-0.29613306581094323,2.060964285714249,1548,3428,910,1601,4506,1380,0.599088566771942,0.719425820155902,-7.373816797009598,-4.782134869768955,0.042105263157894736,95
XAUUSD,M5,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",3819,PASS,0.9906732230648483,0.6580162903470631,-4.613929171822388,-0.8354416654376934,1.8707107508390863,0.9999829352661569,-0.005823334353143418,0.26865694568690557,-0.274480280040049,2.208571428571304,1105,2345,369,1601,2941,878,0.6403929652366334,0.7237357068334179,-5.523446205119481,-3.7160535531127987,0.042105263157894736,95
XAUUSD,M5,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",7365,PASS,1.010174339162093,0.6096672887967176,-7.062080688986021,-0.6366281900839521,1.1525479331401614,0.9999999999998102,0.006987929250181235,0.38341850261021043,-0.3764305733600292,1.5621428571428169,1457,4996,912,1601,5671,1694,0.5863560999592076,0.6982006323646471,-8.14482860574098,-5.307410718269283,0.031578947368421054,95
