lookback,n_leg,n_months,gross_sharpe,net_sharpe,max_dd,cagr,avg_cost_bps_per_month,worst_month_ret,worst_month_date
1,2,192,-0.4052396437407774,-0.48885707183559707,-0.5068078810951748,-0.04050410143379435,5.450644298037452,-0.06508903373755358,2012-06-01
1,3,192,-0.2605170176816959,-0.33935665142776167,-0.37026935661951355,-0.02529387736122668,4.48797776465062,-0.055866657547517316,2011-10-01
3,2,192,-0.4170323322136713,-0.46309964628207734,-0.5530656242064973,-0.043757831052542495,3.402016672124006,-0.0771575987270983,2011-10-01
3,3,192,-0.4406801118745061,-0.48638603939187064,-0.5017781439747075,-0.037413304949609594,2.774024412525185,-0.059510290774989226,2011-10-01
12,2,192,-0.33556320158770403,-0.36405687329670533,-0.4440710699806939,-0.03337392971660369,1.9848007797847151,-0.08097878794405898,2022-11-01
12,3,192,-0.3319660211298376,-0.3633690999924445,-0.36230531741098937,-0.02521359480995644,1.6838513731155214,-0.052099586865595224,2022-11-01
