instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges
NAS100,M5,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",16324,PASS,0.9976245049096973,0.6173333596174213,-9.13105034641342,-0.36351684396003153,0.47131746689093257,1.0,-0.0012508269634164844,0.26549385384563173,-0.26674468080904823,20.635785714285703,0.37282528791962755,3124,8057,5143,2018,9517,6807,0.5830189762360253,0.6687596017470097,-10.905387276217485,-8.740137830863777,0.02127659574468085,94
NAS100,M5,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",13624,PASS,0.993160735236529,0.6470040683131194,-8.214759057006596,-0.4238894110550858,0.6206537933689518,0.9999999999999983,-0.0036809280148753813,0.2363442222938907,-0.24002515030876606,23.494187500001317,0.4083235466823253,4367,7071,2186,2018,7889,5735,0.6185211958669642,0.6882571312553409,-9.68582826787631,-7.949432111487466,0.0425531914893617,94
NAS100,M5,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",13367,PASS,1.0303932246611434,0.7377185525716256,-5.268896361336631,-0.01737034474329386,0.30221644771262257,0.9999999999979345,0.017589602029788133,0.20588195274780263,-0.1882923507180145,25.646357142857596,0.34966709059624446,1614,7390,4363,2018,7879,5488,0.7148776456416033,0.7719372992727428,-6.2449476736151,-4.722698134693604,0.10638297872340426,94
NAS100,M5,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",22597,PASS,1.0252418979893863,0.5973305915310942,-11.352861803000845,-0.4229240851457049,0.43342380113153656,1.0,0.015012891021761536,0.34423995354371345,-0.32922706252195194,15.346571428570314,0.3560207107138116,6064,13067,3466,2018,13140,9457,0.5924776323702389,0.6041461417603423,-12.721969771979264,-12.157286381504116,0.0,94
NAS100,M5,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",13521,PASS,1.0154828277027996,0.6392617725573985,-8.216933974546137,-0.21909189223485498,0.48670321481767287,1.0,0.009738604719033152,0.3099997617763624,-0.3002611570573292,17.077500000001237,0.3493824421270616,4043,8407,1071,2018,7818,5703,0.6479855348623872,0.6274796544326781,-8.80390203202202,-9.272870171486089,0.010638297872340425,94
NAS100,M5,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",21274,PASS,1.0179597544892136,0.6342498847489516,-9.95634010729071,-0.4101450386032954,0.29975989729931873,1.0,0.009218622676384496,0.2510090059702541,-0.24179038329386965,20.778250000001208,0.4089498918868102,6493,10318,4463,2018,12387,8887,0.6250677053748328,0.64718120765813,-11.271122926780738,-10.538829852118283,0.031914893617021274,94
NAS100,M5,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",9594,PASS,0.9235053303167464,0.4926227492187095,-9.322216849644258,-1.3522131846755583,4.577711507605539,1.0,-0.04432622436192785,0.36670398306299545,-0.4110302074249233,14.019169642856468,0.37825724411090267,3199,5466,929,2018,5840,3754,0.46401755822111646,0.539982005798856,-10.737555776403,-9.479579275914622,0.0,94
NAS100,M5,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",4543,PASS,0.9315208683786025,0.41207501984385425,-7.4163625920002465,-1.6938154121949283,5.132567610490675,0.9999999900294765,-0.03219556292271435,0.36628713252215633,-0.3984826954448707,14.208892857142928,0.43649570768214835,1869,2046,628,2018,2800,1743,0.395076508149201,0.44044463035548154,-8.773556367949372,-8.689389318557419,0.0,94
NAS100,M5,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",18487,PASS,0.9536767548168045,0.5840593865245925,-9.733670632248437,-0.7817436351992022,1.2068095811197357,1.0,-0.024252194050401302,0.25876261015043783,-0.2830148042008392,19.730928571427285,0.3964948342078217,5261,9208,4018,2018,10893,7594,0.5604232822696964,0.6193699541238972,-10.915408494094327,-9.823137936224558,0.0,94
NAS100,M5,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",13265,PASS,1.0372617901971013,0.7005340219298585,-6.245097687037666,-0.4179683303815154,0.593509478509783,0.9999999999999766,0.02209452310654221,0.24720448204150625,-0.22510995893496397,20.730714285715294,0.36404070863173765,3573,7666,2026,2018,7738,5527,0.7047255590607949,0.6946078536973299,-6.6462341529552615,-6.942171360330723,0.07446808510638298,94
NAS100,M5,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",9244,PASS,1.046789051971103,0.7289416748591733,-4.91246488586185,-0.49707248185839226,0.6941675576959834,0.999999998918851,0.02915251696102744,0.24004008975510271,-0.2108875727940753,21.30289285714207,0.3580700995240156,2823,5695,726,2018,5492,3752,0.7027693563551433,0.7692349852129412,-5.91865508622284,-4.366643103181032,0.06382978723404255,94
