label,n_trades,n_obs,win_rate,pct_expired_worthless,ret_on_prem_mean,ret_on_prem_std,worst_trade_ret_on_prem,n_catastrophic_trades_gt1x_prem,worst_day,worst_day_date,worst_month,worst_month_date,sharpe,max_dd,pf,total_ret,top_year_share,skew,ekurt,kill_on_tail_risk,put_n,call_n,put_win_rate,call_win_rate,put_worst_trade,call_worst_trade
FILTERED (IV rank top-tercile),362,4760,0.9668508287292817,0.9640883977900553,0.6933093833515552,2.480077722391585,-40.33993469555465,12,-0.6953737098302593,2020-03-16 00:00:00,-0.9097496601556159,2008-10,0.38275983940496144,0.9703035879984913,1.2216901306705787,3.7389268937872,0.22707512576546632,0.2016214056368824,99.7717128004835,True,181,181,0.9392265193370166,0.994475138121547,-40.33993469555465,-1.2578065477781233
"UNFILTERED (control, no IV condition)",616,8141,0.9724025974025974,0.9707792207792207,0.6002146139531284,5.35368430248022,-126.75422395292358,15,-0.7491761885067525,2008-10-15 00:00:00,-0.93325731843718,2008-10,0.5327466480490661,0.9801577889026776,1.25435530787581,71.87623051141094,0.17953446909597748,1.8037487746991163,192.042534533685,True,308,308,0.9545454545454546,0.9902597402597403,-126.75422395292358,-2.2500830525406252
