n_obs,years,sharpe,cagr_pct,maxDD_pct,recovery_days,total_return_pct,top_year_share_pct,variant,N,beats_spy_sharpe,dsr,e_max_sr
2515,9.98015873015873,0.8163654797002085,13.013542591817862,31.765213025715937,513,239.03982219746305,22.089663832002785,LONG-ONLY,6,True,0.4357198855280532,0.8676253039058335
2515,9.98015873015873,0.8764174437601677,12.723408757870857,24.856379144524034,468,230.45255010071642,25.307521481794602,LONG-SHORT,6,True,0.5110710022331025,0.8676253039058335
2515,9.98015873015873,0.7042354732471662,11.466040941027366,37.50441273871103,801,195.45435265327268,27.340110743300805,LONG-ONLY,12,True,0.30295605088171407,0.8676253039058335
2515,9.98015873015873,0.6733168048562751,9.825880642777985,32.62966070522369,1148,154.8234027747057,26.616385905936035,LONG-SHORT,12,True,0.26974921249463146,0.8676253039058335
