label,delta,dte,is_baseline,n_trades,win_rate,avg_days_held,sharpe,max_dd,total_return,worst_day,worst_month,top_year_share
delta0.05_dte21,0.05,21,False,2806,0.9900213827512472,6.987170349251604,1.0920302032853118,0.0499015536840611,0.9402892087626976,-0.0143229230424875,-0.0232030875362135,0.0621484928812275
delta0.05_dte37,0.05,37,False,1824,0.9923245614035088,11.43969298245614,0.9918342918847628,0.0304264456661452,0.699461807078775,-0.0120741610046884,-0.017181561740075,0.0489178684352989
delta0.05_dte45,0.05,45,False,1549,0.9877340219496448,13.734021949644932,0.7068082338245055,0.0372363940588887,0.4473038927232253,-0.011465237145477,-0.0164058139425664,0.062890711563124
delta0.10_dte21,0.1,21,False,2393,0.9749268700376096,8.442958629335562,1.5249348656798312,0.0494172746525733,2.273526987330107,-0.0186303901856346,-0.0205588351875904,0.0537859038057957
"delta0.10_dte37 [BASELINE=§38-best, repro-only]",0.1,37,True,1518,0.9815546772068512,14.09552042160738,1.318679911684692,0.0331313911323623,1.4525033412351958,-0.0178283607017315,-0.0179177604087776,0.0494345428316436
delta0.10_dte45,0.1,45,False,1296,0.9799382716049384,16.766975308641975,1.1400246628425734,0.0406279756362509,1.012533936968412,-0.0124887875751623,-0.017223496876416,0.058630167705552
delta0.16_dte21,0.16,21,False,2102,0.9481446241674596,9.81779257849667,1.643276028951779,0.0501375717676342,3.658476061785145,-0.0169692570377508,-0.0225162038865173,0.0526775688180593
delta0.16_dte37,0.16,37,False,1298,0.9537750385208013,16.720338983050848,1.3308090092989595,0.0441322660335938,1.79768047310628,-0.015635007849196,-0.0198473155532562,0.0549822211288696
delta0.16_dte45,0.16,45,False,1092,0.9505494505494504,20.12545787545788,1.1866085686184693,0.0549618717458277,1.2774264391374597,-0.0102460707144085,-0.0178694010008518,0.063791078221128
delta0.20_dte21 [boundary-check ext],0.2,21,False,1941,0.9160226687274601,10.7403400309119,1.4066215997162714,0.09231057816435943,3.0584675936459327,-0.015359604731371306,-0.021131030115549176,0.062332673775123165
delta0.16_dte14 [boundary-check ext],0.16,14,False,2876,0.9471488178025035,6.8247566063977745,2.0965617939634242,0.04428474862876288,8.453145646849224,-0.01948939797908646,-0.029699393209086322,0.057196213706206284
delta0.20_dte14 [boundary-check ext],0.2,14,False,2712,0.9214601769911505,7.307890855457227,2.011919116973592,0.05592418094166076,9.237836285118867,-0.019198960968539916,-0.028238033521832073,0.06287842869075684
