name,max_first,max_last,max_days,max_roi,w19_first,w19_last,w19_days,w19_roi,w22_first,w22_last,w22_days,w22_roi
C|Turtle Sys1 US30,2013-09-30,2025-12-31,4476,-0.11465321606111756,2019-01-01,2025-12-31,2557,-0.181098749731897,2022-01-01,2025-12-31,1461,-0.17832194074016028
C|Turtle Sys1 XAUUSD,2017-01-02,2025-12-31,3286,0.8350485951388247,2019-01-01,2025-12-31,2557,0.6714014775595303,2022-01-01,2025-12-31,1461,0.4814924633120332
C|Turtle Sys2 BTCUSDT,2018-01-01,2026-08-31,3165,0.9232950874214754,2019-01-01,2026-08-31,2800,0.8349110838920086,2022-01-01,2026-08-31,1704,0.23865672057374043
C|Turtle Sys2 ETHUSDT,2018-01-01,2026-08-31,3165,1.0353804827043542,2019-01-01,2026-08-31,2800,0.9058990072086197,2022-01-01,2026-08-31,1704,0.32387640696676856
C|Turtle Sys2 EURUSD,2013-01-01,2025-12-30,4747,-0.1687359507843773,2019-01-01,2025-12-30,2556,-0.3074414245770637,2022-01-01,2025-12-30,1460,-0.10887562652890992
C|Turtle Sys2 NAS100,2013-09-30,2025-12-31,4476,0.15010890619540396,2019-01-01,2025-12-31,2557,0.25072623209379663,2022-01-01,2025-12-31,1461,0.19888605204293786
C|Turtle Sys2 SPX500,2017-01-03,2025-12-31,3285,0.37450097032662555,2019-01-01,2025-12-31,2557,0.16512945162299175,2022-01-01,2025-12-31,1461,0.08120344384231348
C|Turtle Sys2 US30,2013-09-30,2025-12-31,4476,-0.0718860966848669,2019-01-01,2025-12-31,2557,-0.14906728711488937,2022-01-01,2025-12-31,1461,-0.16024501271810232
C|Turtle Sys2 XAUUSD,2017-01-02,2025-12-31,3286,0.9071850815828317,2019-01-01,2025-12-31,2557,0.804282251129963,2022-01-01,2025-12-31,1461,0.5910620817748342
D|Credit-spread FILTERED 1pct (SPY),1993-01-29,2026-06-16,12192,0.3838683063781545,2019-01-01,2026-06-16,2724,0.07697641906701058,2022-01-01,2026-06-16,1628,0.04996387079318554
D|On-chain active-address surge H20 (BTCUSDT),2018-01-03,2026-08-31,3163,1.2076199009805904,2019-01-01,2026-08-31,2800,4.411843218213137,2022-01-01,2026-08-31,1704,0.2842226911032071
"ORB gold RETEST (XAUUSD RETEST OR30/1R, sec 33)",2017-01-10,2025-12-29,3276,0.8995056587577719,2019-01-01,2025-12-29,2555,0.7034043784508526,2022-01-01,2025-12-29,1459,0.4305660853339004
Tail-hedge OTM SPY puts 1% alloc (sec 34.2),1993-01-29,2026-06-16,12192,7.594241261099164,2019-01-01,2026-06-16,2724,1.2245911120938802,2022-01-01,2026-06-16,1628,0.3741521861970374
Tail-hedge OTM SPY puts 2% alloc (sec 34.2),1993-01-29,2026-06-16,12192,1.0820413412966037,2019-01-01,2026-06-16,2724,0.46284346246403674,2022-01-01,2026-06-16,1628,0.11758810938254083
"MomoRot LONG-ONLY N=6 (sec 34.1 re-run, live from 1999-07-01)",1999-07-01,2026-08-28,9921,6.470036800640384,2019-01-01,2026-08-28,2797,0.6099408344309045,2022-01-01,2026-08-28,1701,0.18891173748088352
MomoRot LONG-SHORT N=6 (sec 34.1),1999-07-01,2026-08-28,9921,4.970446831019677,2019-01-01,2026-08-28,2797,0.4769580538603162,2022-01-01,2026-08-28,1701,0.05704907641705459
"MomoRot LONG-ONLY N=12 (sec 34.1 re-run, live from 2000-01-03)",2000-01-03,2026-08-28,9735,9.339118147580646,2019-01-01,2026-08-28,2797,1.1243174092388086,2022-01-01,2026-08-28,1701,0.6858705592090271
MomoRot LONG-SHORT N=12 (sec 34.1),2000-01-03,2026-08-28,9735,6.688032300943171,2019-01-01,2026-08-28,2797,0.7917749898703885,2022-01-01,2026-08-28,1701,0.5306100660470718
