entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
1993-02-01,1993-03-03,24.113264083862305,22.90760087966919,24.764982223510746,0.02,0.0,-0.02,-1.0,True
1993-04-01,1993-04-30,24.91638946533203,23.670569992065428,24.278833389282227,0.020260440104472144,0.0,-0.020260440104472144,-1.0,True
1993-05-03,1993-06-02,24.278833389282227,23.064891719818114,25.14039802551269,0.019364630876610445,0.0,-0.019364630876610445,-1.0,True
1993-07-01,1993-07-30,25.02357292175293,23.77239427566528,24.90209197998047,0.01956596418211105,0.0,-0.01956596418211105,-1.0,True
1993-08-02,1993-09-01,24.90209197998047,23.656987380981445,25.82182502746582,0.019094050478827018,0.0,-0.019094050478827018,-1.0,True
1993-10-01,1993-10-29,25.66839599609375,24.38497619628906,26.174781799316406,0.019291249813740925,0.0,-0.019291249813740925,-1.0,True
1993-11-01,1993-12-01,26.174781799316406,24.866042709350584,25.93031883239746,0.01928078419472123,0.0,-0.01928078419472123,-1.0,True
1994-01-03,1994-02-02,26.21332359313965,24.902657413482665,27.162696838378903,0.018932835402089482,0.0,-0.018932835402089482,-1.0,True
1994-03-01,1994-03-31,26.336387634277344,25.019568252563474,25.23284721374512,0.01864451605407941,0.0,-0.01864451605407941,-1.0,True
1994-04-04,1994-05-04,25.23284721374512,23.971204853057863,25.60418128967285,0.017510110787426533,0.0,-0.017510110787426533,-1.0,True
1994-06-01,1994-07-01,25.92246437072754,24.62634115219116,25.38188362121582,0.017631183588310492,0.0,-0.017631183588310492,-1.0,True
1994-08-01,1994-08-31,26.14725875854492,24.83989582061767,27.144018173217773,0.017442946747086328,0.0,-0.017442946747086328,-1.0,True
1994-09-01,1994-09-30,27.144018173217773,25.786817264556884,26.45849227905273,0.017749455874750217,0.0,-0.017749455874750217,-1.0,True
1994-10-03,1994-11-02,26.45849227905273,25.135567665100094,26.75396728515625,0.016956641173853433,0.0,-0.016956641173853433,-1.0,True
1994-12-01,1994-12-30,26.12720489501953,24.820844650268555,26.317472457885746,0.016417887668661025,0.0,-0.016417887668661025,-1.0,True
1995-01-03,1995-02-02,26.317472457885746,25.00159883499146,27.35536766052246,0.01620823942978411,0.0,-0.01620823942978411,-1.0,True
1995-03-01,1995-03-31,28.312049865722656,26.896447372436523,29.10048484802246,0.017092155818530658,0.0,-0.017092155818530658,-1.0,True
1995-04-03,1995-05-03,29.10048484802246,27.645460605621338,30.36176300048828,0.017224763412194193,0.0,-0.017224763412194193,-1.0,True
1995-06-01,1995-06-30,31.15121459960937,29.593653869628902,31.78137969970703,0.018073853197030372,0.0,-0.018073853197030372,-1.0,True
1995-07-03,1995-08-02,31.78137969970703,30.19231071472168,32.675872802734375,0.018072176469873816,0.0,-0.018072176469873816,-1.0,True
1995-09-01,1995-09-29,32.949668884277344,31.302185440063475,34.345951080322266,0.018368266328243673,0.0,-0.018368266328243673,-1.0,True
1995-10-02,1995-11-01,34.345951080322266,32.62865352630615,34.52030563354492,0.018769313923579875,0.0,-0.018769313923579875,-1.0,True
