label,N,k_atr,R,H,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,n_targets,top_year_share
N96_k1.25_R6.0,96,1.25,6.0,192,163,PASS,1.8547219519945364,1.795904476597172,0.7092459757307639,0.24513359406642732,0.26380368098159507,37,0.5614231370169912
N96_k1.25_R7.0,96,1.25,7.0,192,165,PASS,1.5332923596390395,1.484933621968782,0.27235323498331665,0.27028044876813734,0.21818181818181817,29,0.9275461095764851
N96_k1.25_R8.0,96,1.25,8.0,192,165,PASS,1.6773950594068687,1.6252159283263157,0.35361572402667363,0.2737008289197148,0.21818181818181817,28,0.7718481624962075
N96_k1.25_R10.0,96,1.25,10.0,192,159,PASS,1.749760807446844,1.6956358467461934,0.2903068667899823,0.2674188606339398,0.22012578616352202,20,0.9648630520536595
N96_k1.5_R6.0,96,1.5,6.0,192,147,PASS,1.5319885086486613,1.4895670577236957,0.38762280099321333,0.17380990071827201,0.23809523809523808,29,0.42912614812517946
N96_k1.5_R7.0,96,1.5,7.0,192,146,PASS,1.5320354370209543,1.48986609086179,0.20102582619852966,0.19934275171188473,0.22602739726027396,25,0.6744189292219255
N96_k1.5_R8.0,96,1.5,8.0,192,140,PASS,1.5404097382832314,1.4983162218557053,0.125355700746144,0.20277486829148014,0.22857142857142856,21,1.2018852956032051
N96_k1.5_R10.0,96,1.5,10.0,192,138,PASS,1.598582756757297,1.5551928766394774,0.16892595932702423,0.23165495742175424,0.2318840579710145,16,0.8627338865690459
