label,k_atr,R,H,is_baseline,n_trades,gross_pf,net_pf,sharpe,max_dd,win_rate
k_atr1.0_R2.0,1.0,2.0,48,False,194,1.1423682006928961,1.0794389164286744,0.0279929259977684,0.2535131716005632,0.3711340206185567
k_atr1.0_R3.0,1.0,3.0,48,False,194,1.3366199898233142,1.2706350306951457,0.3466026605993804,0.17452169377873286,0.3247422680412371
k_atr1.0_R4.0,1.0,4.0,48,False,193,1.4608230691097723,1.392261879942638,0.4730744403329269,0.11878437044519354,0.3005181347150259
k_atr1.5_R2.0,1.5,2.0,48,False,192,1.317626936321237,1.266733731938445,0.3802246086966769,0.1271859791159778,0.4166666666666667
k_atr1.5_R3.0 [BASELINE repro],1.5,3.0,48,True,190,1.5146209862653552,1.4609888066803185,0.5591463865075629,0.1247456118467946,0.38421052631578945
k_atr1.5_R4.0,1.5,4.0,48,False,190,1.4813283325164057,1.4297003143248264,0.2867039813513129,0.13957419848527303,0.3631578947368421
k_atr2.0_R2.0,2.0,2.0,48,False,172,1.464849119846458,1.4206847010617463,0.5992615727979906,0.08814977980080912,0.45930232558139533
k_atr2.0_R3.0,2.0,3.0,48,False,170,1.4425461491022524,1.4004108940089381,0.3048785626604239,0.12469717233386077,0.4176470588235294
k_atr2.0_R4.0,2.0,4.0,48,False,170,1.3520400481230965,1.3122443999412496,0.13812991653088244,0.11547200623795888,0.4
k_atr2.5_R2.0,2.5,2.0,48,False,149,1.4480068483462285,1.4107172043630987,0.49034143533025903,0.0592796931172389,0.48322147651006714
k_atr3.0_R2.0,3.0,2.0,48,False,137,1.4307118070075926,1.3954542203828006,0.2668077574765827,0.062161276070300454,0.5182481751824818
k_atr2.0_R1.5,2.0,1.5,48,False,174,1.35080578787829,1.3066998434836572,0.4891538157597177,0.0802590004064958,0.4885057471264368
k_atr2.5_R1.5,2.5,1.5,48,False,154,1.5091839916108698,1.468634778453226,0.6655170967439717,0.04990903151379267,0.5324675324675324
k_atr2.0_R2.5,2.0,2.5,48,False,171,1.4685219383767847,1.4258218589543172,0.5262543982791726,0.13047486310984938,0.4269005847953216
k_atr3.0_R1.5,3.0,1.5,48,False,140,1.5446511002713887,1.5061331619301774,0.5820256826734015,0.053603239938763446,0.55
k_atr2.5_R1.0,2.5,1.0,48,False,160,1.6183171745217697,1.5678573987347222,0.9484687256756364,0.06131751099747939,0.61875
k_atr2.5_R1.25,2.5,1.25,48,False,156,1.4399485648717258,1.398846785303037,0.5600557328833113,0.06294650072532527,0.5512820512820513
k_atr3.5_R1.5,3.5,1.5,48,False,133,1.2623041348803863,1.2322119037099992,0.2257628365642451,0.04474524452087013,0.518796992481203
k_atr2.5_R1.75,2.5,1.75,48,False,152,1.565124154987847,1.524186698305754,0.6588974039698992,0.04522264554731008,0.5197368421052632
k_atr2.5_R0.75,2.5,0.75,48,False,163,1.3568825501498019,1.3078498239484384,0.5315663701379086,0.04266679613105813,0.6380368098159509
k_atr2.5_R0.5,2.5,0.5,48,False,172,1.1831332188873545,1.1297158978891892,0.26552743128035466,0.03882825338576803,0.6918604651162791
k_atr2.0_R1.0,2.0,1.0,48,False,178,1.2492488781497304,1.200722526343627,0.34472861841332153,0.0992406726803393,0.5561797752808989
k_atr3.0_R1.0,3.0,1.0,48,False,143,1.4860778613894399,1.4454297929665427,0.7079907119998375,0.05070143896475294,0.6013986013986014
k_atr2.25_R1.0,2.25,1.0,48,False,167,1.4189396010036466,1.3699043050039867,0.7023900024927344,0.047108414854895,0.5868263473053892
k_atr2.5_R1.0_H24 [H-extension],2.5,1.0,24,False,177,1.5679032412885783,1.5056534417018401,0.8160610915031764,0.041323141584740666,0.5819209039548022
k_atr2.5_R1.0_H48 [dup of extension cell],2.5,1.0,48,True,160,1.6183171745217697,1.5678573987347222,0.9484687256756364,0.06131751099747939,0.61875
k_atr2.5_R1.0_H72 [H-extension],2.5,1.0,72,False,159,1.6424592467416939,1.593631184581772,0.9989303201510246,0.06131751099747924,0.6226415094339622
k_atr2.5_R1.0_H96 [H-extension],2.5,1.0,96,False,159,1.6243415202220663,1.5765282503150444,0.9838493634082262,0.07078836591259824,0.6163522012578616
