entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,or_minutes,target
2013-10-28 13:45:00+00:00,2013-10-28 14:33:00+00:00,long,stop,3384.9535,3377.435,7.518500000000131,-1.0,0.4077228266941473,-1.4077228266941473,-0.014077228266941473,NAS100,15,1R
2013-10-29 13:51:00+00:00,2013-10-29 19:59:00+00:00,short,time,3387.2955,3390.497,12.23949999999968,-0.2615711426120146,0.09600183361248668,-0.35757297622450124,-0.0035757297622450125,NAS100,15,1R
2013-10-30 13:50:00+00:00,2013-10-30 14:01:00+00:00,long,stop,3407.6545,3399.9120000000003,7.742499999999836,-1.0,0.3944202528253231,-1.3944202528253231,-0.013944202528253232,NAS100,15,1R
2013-10-31 13:45:00+00:00,2013-10-31 13:53:00+00:00,long,stop,3388.2255,3374.383,13.8425000000002,-1.0,0.21890792793931413,-1.218907927939314,-0.01218907927939314,NAS100,15,1R
2013-11-01 14:04:00+00:00,2013-11-01 14:07:00+00:00,short,stop,3387.9695,3394.041,6.0715000000000146,-1.0,0.1752734633121959,-1.175273463312196,-0.01175273463312196,NAS100,15,1R
2013-11-04 14:46:00+00:00,2013-11-04 20:59:00+00:00,short,time,3380.752,3384.875,10.574500000000171,-0.38990023168943977,0.09026211357510847,-0.48016234526454826,-0.004801623452645482,NAS100,15,1R
2013-11-05 14:56:00+00:00,2013-11-05 15:40:00+00:00,short,stop,3366.1324999999997,3376.916,10.783500000000458,-1.0,0.1070191623777021,-1.1070191623777021,-0.011070191623777021,NAS100,15,1R
2013-11-06 14:55:00+00:00,2013-11-06 15:28:00+00:00,long,stop,3399.3855,3388.7055,10.679999999999836,-1.0,0.28210258356742,-1.28210258356742,-0.0128210258356742,NAS100,15,1R
2013-11-07 14:50:00+00:00,2013-11-07 15:06:00+00:00,short,target,3379.9875,3369.7575000000006,10.229999999999563,1.0,0.0973897421798673,0.9026102578201327,0.009026102578201326,NAS100,15,1R
2013-11-08 14:58:00+00:00,2013-11-08 15:13:00+00:00,short,stop,3329.1255,3341.6594999999998,12.53399999999965,-1.0,0.24496126475986005,-1.24496126475986,-0.0124496126475986,NAS100,15,1R
2013-11-11 14:49:00+00:00,2013-11-11 16:03:00+00:00,long,stop,3363.5545,3352.8265,10.728000000000065,-1.0,0.27427622180275746,-1.2742762218027575,-0.012742762218027575,NAS100,15,1R
2013-11-12 14:46:00+00:00,2013-11-12 20:59:00+00:00,long,time,3361.3435,3366.0095,12.748000000000047,0.3660181989331778,0.07812329169281428,0.2878949072403635,0.0028789490724036347,NAS100,15,1R
2013-11-13 14:46:00+00:00,2013-11-13 15:27:00+00:00,long,target,3354.4955,3364.942,10.446500000000015,1.0,0.29208887593930943,0.7079111240606906,0.007079111240606906,NAS100,15,1R
2013-11-14 14:56:00+00:00,2013-11-14 16:23:00+00:00,long,target,3402.2664999999997,3414.6399999999994,12.373499999999694,1.0,0.10947045116580058,0.8905295488341994,0.008905295488341994,NAS100,15,1R
2013-11-15 16:19:00+00:00,2013-11-15 20:59:00+00:00,long,time,3419.2395,3422.4215,10.864000000000033,0.2928939617083744,0.23133749700846762,0.06155646469990678,0.0006155646469990678,NAS100,15,1R
2013-11-18 14:49:00+00:00,2013-11-18 15:03:00+00:00,short,target,3419.1975,3409.0690000000004,10.128499999999804,1.0,0.3109553648121698,0.6890446351878302,0.006890446351878302,NAS100,15,1R
2013-11-19 14:45:00+00:00,2013-11-19 14:52:00+00:00,short,stop,3381.0145,3391.4305000000004,10.416000000000167,-1.0,0.08184892545122757,-1.0818489254512276,-0.010818489254512276,NAS100,15,1R
2013-11-20 14:46:00+00:00,2013-11-20 15:20:00+00:00,short,stop,3384.006,3394.5015000000003,10.495500000000447,-1.0,0.2955782392453783,-1.2955782392453783,-0.012955782392453784,NAS100,15,1R
2013-11-21 14:45:00+00:00,2013-11-21 18:51:00+00:00,long,target,3388.7105,3397.5135,8.802999999999884,1.0,0.3321989057707644,0.6678010942292356,0.006678010942292356,NAS100,15,1R
2013-11-22 14:45:00+00:00,2013-11-22 14:52:00+00:00,short,stop,3406.038,3413.9575000000004,7.919500000000426,-1.0,0.39401716396235015,-1.3940171639623502,-0.013940171639623503,NAS100,15,1R
2013-11-25 14:49:00+00:00,2013-11-25 15:00:00+00:00,short,target,3431.138,3424.6525,6.4854999999997744,1.0,0.45521816822143285,0.5447818317785671,0.005447818317785671,NAS100,15,1R
2013-11-26 14:46:00+00:00,2013-11-26 15:21:00+00:00,short,stop,3427.576,3434.652,7.076000000000022,-1.0,0.15170723007348738,-1.1517072300734874,-0.011517072300734874,NAS100,15,1R
2013-11-27 14:45:00+00:00,2013-11-27 14:55:00+00:00,long,target,3459.3594999999996,3467.256999999999,7.897499999999582,1.0,0.38505216619185323,0.6149478338081468,0.006149478338081468,NAS100,15,1R
