year,start_equity,end_equity,year_return_pct
2000,1.0,1.164973443721971,16.497344372197098
2001,1.164973443721971,1.036586591935729,-11.020581840566168
2002,1.036586591935729,0.9368453143253374,-9.622088341325563
2003,0.9368453143253374,1.2159062593294525,29.787302208484533
2004,1.2159062593294525,1.344961407151588,10.61390603362029
2005,1.344961407151588,1.5600038659489828,15.988745673589255
2006,1.5600038659489828,2.0388378979017734,30.6944131616947
2007,2.0388378979017734,2.649048986995336,29.929357783742816
2008,2.649048986995336,3.137718550121895,18.446980993010207
2009,3.137718550121895,3.3596653991310674,7.0735104332589005
