decision_date,incumbent,sharpe_trend,sharpe_breakout,sharpe_meanrev,sharpe_momentum,sharpe_macross,circuit_breaker,challenger,action,new_active,instrument,lookback_months
2018-04-01 00:00:00+00:00,CASH,-2.080162734954751,-0.6543135908864515,-2.4585444367873013,2.1892356789456158,1.6603341638971583,False,momentum,switch_from_cash,momentum,BTCUSDT,3
2018-07-01 00:00:00+00:00,momentum,-1.8746475050219513,0.33723891917294985,-3.972608520092283,1.8241360441671872,1.769423890407302,False,momentum,hold,momentum,BTCUSDT,3
2018-10-01 00:00:00+00:00,momentum,-0.6163195275321391,0.6710951025708896,-2.9725725405960994,0.7611118766127469,-3.8064901388412977,False,momentum,hold,momentum,BTCUSDT,3
2019-01-01 00:00:00+00:00,momentum,-1.872681078610781,-0.603776920950035,-2.413055748937804,1.3107528510705357,-0.04528500071888497,False,momentum,hold,momentum,BTCUSDT,3
2019-04-01 00:00:00+00:00,momentum,-1.0355237454487909,-1.6447556615087295,0.08326591158024069,-3.338692984585845,0.027330194325809052,False,meanrev,switch_family,meanrev,BTCUSDT,3
2019-07-01 00:00:00+00:00,meanrev,2.1879163280200093,1.9149750516103865,-4.51571380641494,-2.7357300572624954,2.6287845183147724,False,macross,switch_family,macross,BTCUSDT,3
2019-10-01 00:00:00+00:00,macross,0.5063713584639269,0.43244185192934964,-3.6498953994361005,-1.218581444977125,1.4141182574038622,False,macross,hold,macross,BTCUSDT,3
2020-01-01 00:00:00+00:00,macross,1.2497635751373022,-0.7358482657207355,-1.312007954749474,1.06097862204496,2.2572570134865666,False,macross,hold,macross,BTCUSDT,3
2020-04-01 00:00:00+00:00,macross,-1.5784728780231783,2.3683322152077544,-2.97541323301917,-0.2674752484867791,2.2751290025851794,False,breakout,hold,macross,BTCUSDT,3
2020-07-01 00:00:00+00:00,macross,-0.9028587452897195,1.824473927737015,2.6331517758277863,-1.300516796894368,-1.9175199519367516,False,meanrev,switch_family,meanrev,BTCUSDT,3
2020-10-01 00:00:00+00:00,meanrev,-2.2451643070893805,-0.7624509495458711,-2.6325523334798366,0.2529162878983681,0.36846812948504576,False,macross,switch_family,macross,BTCUSDT,3
2021-01-01 00:00:00+00:00,macross,2.332275097285773,0.19586624261702545,-3.7797740122461683,-3.982685820111647,2.225201320496797,False,trend,hold,macross,BTCUSDT,3
2021-04-01 00:00:00+00:00,macross,1.9378065710363133,-2.351669139263653,-0.6285078752277763,-5.024415340720274,0.061556941350657146,False,trend,switch_family,trend,BTCUSDT,3
2021-07-01 00:00:00+00:00,trend,-1.7214217973263943,-0.9540070533356749,-4.025730407873503,0.0915799135464536,1.137879426496038,False,macross,switch_family,macross,BTCUSDT,3
2021-10-01 00:00:00+00:00,macross,1.06306118297072,-3.866289339001524,-1.9482091136620023,-1.1404283720143111,1.0678038443230606,False,macross,hold,macross,BTCUSDT,3
2022-01-01 00:00:00+00:00,macross,1.34830247806999,-0.05722462342616964,-0.14544683426255048,-0.4585211241442533,-0.15464225532619608,False,trend,switch_family,trend,BTCUSDT,3
2022-04-01 00:00:00+00:00,trend,-2.8464212688554693,0.8177582732631825,-2.478908309517225,1.008395809823748,0.13699434868040516,False,momentum,switch_family,momentum,BTCUSDT,3
2022-07-01 00:00:00+00:00,momentum,0.445061677663388,0.4103655091020259,-1.1500636629938445,-2.0780802811299366,0.4393873774708862,False,trend,switch_family,trend,BTCUSDT,3
2022-10-01 00:00:00+00:00,trend,-1.6272038849895465,-0.23360863357942988,0.14257062946173932,2.52464674492621,0.9240028085363543,False,momentum,switch_family,momentum,BTCUSDT,3
2023-01-01 00:00:00+00:00,momentum,-2.6714272903556715,-1.8633331211691904,0.3514231491798533,-1.1887674932155354,-2.364449945645546,False,meanrev,switch_family,meanrev,BTCUSDT,3
2023-04-01 00:00:00+00:00,meanrev,-1.0737355219342934,0.16491593897580395,-4.079662007159133,0.38783656060721416,-1.058215784965124,False,momentum,switch_family,momentum,BTCUSDT,3
2023-07-01 00:00:00+00:00,momentum,-0.5577575817888509,0.01635695902382547,1.680912743486963,-0.3183330049974806,-0.2064837202332066,False,meanrev,switch_family,meanrev,BTCUSDT,3
2023-10-01 00:00:00+00:00,meanrev,-3.1095491515282228,-2.621583287681763,3.400373027038181,-1.807182081028237,-0.4851200323633164,False,meanrev,hold,meanrev,BTCUSDT,3
2024-01-01 00:00:00+00:00,meanrev,0.06544808754547776,0.7254444254531349,-1.1947855902373332,-0.7875975986452969,0.6750755677367414,False,breakout,switch_family,breakout,BTCUSDT,3
2024-04-01 00:00:00+00:00,breakout,1.9291288081430995,3.3394862140992867,-1.992292502031731,0.47545858157562504,3.384795191917978,False,macross,hold,breakout,BTCUSDT,3
2024-07-01 00:00:00+00:00,breakout,-0.31045910872474936,-2.7486803042345542,1.1400123438130172,3.0865104433706967,1.766656824188079,False,momentum,switch_family,momentum,BTCUSDT,3
2024-10-01 00:00:00+00:00,momentum,0.3297638241912131,-1.663515075686827,1.0733523896816164,0.20548337176891512,-1.9219787662584096,False,meanrev,switch_family,meanrev,BTCUSDT,3
2025-01-01 00:00:00+00:00,meanrev,-0.18221124360937968,1.3252013881924303,-1.0350938095938689,0.1661669027287511,0.8187311240849635,False,breakout,switch_family,breakout,BTCUSDT,3
2025-04-01 00:00:00+00:00,breakout,-1.4153023605023765,1.9423222833584954,0.18378488652738298,1.2279367872999962,1.9279842256105348,False,breakout,hold,breakout,BTCUSDT,3
2025-07-01 00:00:00+00:00,breakout,-2.0290008472727616,-2.8045415071024675,0.30526326808132387,-0.12965275963471498,0.5798978433362099,False,macross,switch_family,macross,BTCUSDT,3
2025-10-01 00:00:00+00:00,macross,-1.2369286854077552,-2.4451913378552366,0.2703901355325112,1.0958213287610752,-0.44232389564204894,False,momentum,switch_family,momentum,BTCUSDT,3
2026-01-01 00:00:00+00:00,momentum,0.5864846009665976,-1.5375509028604013,-0.7163732601506717,-0.4266485209833673,-1.9919591889100838,False,trend,switch_family,trend,BTCUSDT,3
2026-04-01 00:00:00+00:00,trend,0.6741017508209919,-1.7296763446967298,-1.4533379858291002,-0.06259074922273312,0.06751637594315228,False,trend,hold,trend,BTCUSDT,3
2026-07-01 00:00:00+00:00,trend,0.17220305617991832,-0.7632445310089836,-1.7274325525817757,-3.0961505187805645,3.1001836646654697,False,macross,switch_family,macross,BTCUSDT,3
2018-07-01 00:00:00+00:00,CASH,-1.9667554097148228,-0.13023761097372938,-3.239020644421444,1.9491850000079427,1.702807724484081,False,momentum,switch_from_cash,momentum,BTCUSDT,6
2019-01-01 00:00:00+00:00,momentum,-1.2734311741495012,0.023908331681240503,-2.703062830165632,1.032223601866088,-1.504446995349517,False,momentum,hold,momentum,BTCUSDT,6
2019-07-01 00:00:00+00:00,momentum,0.664893606813238,0.4488250892611382,-2.494993933978657,-3.0395710498854034,1.3388436569053972,False,macross,switch_family,macross,BTCUSDT,6
2020-01-01 00:00:00+00:00,macross,0.8457734953204135,-0.07246367613220243,-2.620933731665715,-0.17158019382924708,1.874871553104497,False,macross,hold,macross,BTCUSDT,6
2020-07-01 00:00:00+00:00,macross,-1.242869778422252,2.1098273105810796,-0.2880146031332729,-0.769142629136231,0.311410254968181,False,breakout,switch_family,breakout,BTCUSDT,6
2021-01-01 00:00:00+00:00,breakout,0.40380271656157724,-0.29290940916222524,-3.1932495490257287,-1.698171791449152,1.2009205282372375,False,macross,switch_family,macross,BTCUSDT,6
