pair,sharpe_fixed,maxdd_fixed,sharpe_insample_rp,maxdd_insample_rp,sharpe_rolling_rp,maxdd_rolling_rp,years_pos,years_total
§48 US30 macross+breakout,1.7071386950809246,0.033900624537244996,1.823874938179543,0.03008884071085576,1.7550503828738746,0.03212908789039106,8,8
§49 ORB gold+US30 breakout,1.6872824800301143,0.044934325263511626,1.8999079448733072,0.02813803255075569,1.7929485139139982,0.030897098879573835,9,9
