timeframe,family,variant,n_members,n_trades,cagr,ann_vol,mean_member_corr,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,n_obs,is_pf,oos_pf,is_sharpe,oos_sharpe,oos_trades,cost_R_mean,ftmo_pass_rate,dsr,oos_holds
H4,trend,0,5,2383,-0.008976562750144246,0.042840957395807955,0.1367153879490807,1.034136981109512,0.973078542706806,-0.14967267805655451,0.6027033759195918,3.8326130491303174,0.15577829211429703,2472,0.9170638095073111,1.0239206743865763,-0.4591543592202839,0.13366243415054174,1261,0.02830623944543383,0.0,0.0005483062083711051,False
H4,trend,1,5,1825,-0.010152267781778246,0.03686120431992246,0.11874087096931814,1.0080183509870828,0.9617304891835707,-0.20657269145356846,0.41052642946714574,3.383509200780233,0.14549980772308788,2472,0.9196976018591866,0.9996476014989986,-0.4305967635798433,-0.0019157887014818336,962,0.023729532874607804,0.0,0.00028807453125628856,False
H4,trend,2,5,1909,-0.0016805531812080776,0.04445000886552989,0.1150338970385908,1.0394207388280443,0.998233428826167,-0.00860134503120299,1.5571217766355063,7.362154196950852,0.11063730945907956,2472,0.9689134276952501,1.0255471415462893,-0.15131343625433866,0.12447483081099123,987,0.021925796166184147,0.0,0.002320637853248208,False
H4,macross,0,5,934,0.02960325325620694,0.0311032493544366,0.08790662104526314,1.2784718373958128,1.2224483916970135,0.7773272809140762,1.6945235844046966,9.343684995955568,0.08009639276148847,2461,1.055594512976607,1.3833752904692804,0.20676963771958287,1.271797460690889,492,0.026532190902433823,0.0,0.3502290789390683,True
H4,macross,1,5,638,0.015202508825442163,0.025920019865849884,0.0714854440268248,1.2063503163057798,1.156242155980191,0.4858836067059009,2.144525613780191,13.839933833706404,0.05857773599568042,2466,1.154602399140336,1.157625230425982,0.4684732129105685,0.5022961208564994,345,0.025926528295201607,0.0,0.09283985508943887,True
H4,macross,2,5,1166,0.056597546848728975,0.04387949618867672,0.08922784884713955,1.3628935020302142,1.2924568077383007,1.0418236758204789,2.4510605246585704,12.06459192844401,0.056859493148424575,2469,1.1809550882031783,1.3925189279721808,0.6596465078825865,1.3761780217413275,619,0.03564782242848322,0.0,0.6897106468474299,True
H8,trend,0,5,1203,-0.001565540934329479,0.02977111425934324,0.11586635784758756,1.0347124644670747,0.9932038957848996,-0.027913915088859105,0.8780016494709935,7.638562369534721,0.1260347083305795,2470,0.971370578394778,1.0135910877497323,-0.11932729599741497,0.05513766519470865,629,0.01941386936605744,0.0,0.001931101520507992,False
H8,trend,1,5,949,0.0019097504753524674,0.026333275050043414,0.11033625978837244,1.0540715080912568,1.0187299059456545,0.0720153289637706,0.40819345654348704,6.685618987588513,0.10176954042122487,2468,1.046572903947293,0.9940505667610403,0.17523131457452168,-0.023340735778639956,498,0.017291540763741772,0.0,0.004941772057038634,False
H8,trend,2,5,1003,-0.00306069659151742,0.03165488798753092,0.10632606677765036,1.0098357469195618,0.9828159320989376,-0.06286076567065997,1.84368036316076,12.132107469599896,0.14643195736502906,2462,1.0042093764592288,0.9656849214703028,0.01441408166981655,-0.13292213966734062,538,0.014854148403545969,0.0,0.0014177531685398666,False
H8,macross,0,5,488,0.008624330345722075,0.021244284351323205,0.08308259722532778,1.1639860874617372,1.1281492456117268,0.33885215323055884,2.656019276014651,21.844037718238475,0.044179284211528544,2463,1.0741391732488592,1.1725810293464223,0.19400206239446982,0.4625333066789137,266,0.017339550712645032,0.0,0.036751812429102665,True
