entry_date,exp_date,S0,K,S_exit,prem_paid_total,payoff,realized_pnl,ret_on_prem,expired_worthless
1993-02-01,1993-03-03,24.113264083862305,22.90760087966919,24.764982223510746,0.01,0.0,-0.01,-1.0,True
1993-04-01,1993-04-30,24.91638946533203,23.670569992065428,24.278833389282227,0.0102316418939474,0.0,-0.0102316418939474,-1.0,True
1993-05-03,1993-06-02,24.278833389282227,23.064891719818114,25.14039802551269,0.009874544716014467,0.0,-0.009874544716014467,-1.0,True
1993-07-01,1993-07-30,25.02357292175293,23.77239427566528,24.90209197998047,0.01007732538981127,0.0,-0.01007732538981127,-1.0,True
1993-08-02,1993-09-01,24.90209197998047,23.656987380981445,25.82182502746582,0.009931336319438516,0.0,-0.009931336319438516,-1.0,True
1993-10-01,1993-10-29,25.66839599609375,24.38497619628906,26.174781799316406,0.010135427594120337,0.0,-0.010135427594120337,-1.0,True
1993-11-01,1993-12-01,26.174781799316406,24.866042709350584,25.93031883239746,0.010232654124909037,0.0,-0.010232654124909037,-1.0,True
1994-01-03,1994-02-02,26.21332359313965,24.902657413482665,27.162696838378903,0.010147856506993867,0.0,-0.010147856506993867,-1.0,True
1994-03-01,1994-03-31,26.336387634277344,25.019568252563474,25.23284721374512,0.010094408651498212,0.0,-0.010094408651498212,-1.0,True
1994-04-04,1994-05-04,25.23284721374512,23.971204853057863,25.60418128967285,0.009575830368637617,0.0,-0.009575830368637617,-1.0,True
1994-06-01,1994-07-01,25.92246437072754,24.62634115219116,25.38188362121582,0.009739790548205271,0.0,-0.009739790548205271,-1.0,True
1994-08-01,1994-08-31,26.14725875854492,24.83989582061767,27.144018173217773,0.00973002854973594,0.0,-0.00973002854973594,-1.0,True
1994-09-01,1994-09-30,27.144018173217773,25.786817264556884,26.45849227905273,0.010000976210811056,0.0,-0.010000976210811056,-1.0,True
1994-10-03,1994-11-02,26.45849227905273,25.135567665100094,26.75396728515625,0.00965133146601567,0.0,-0.00965133146601567,-1.0,True
1994-12-01,1994-12-30,26.12720489501953,24.820844650268555,26.317472457885746,0.009437586122773584,0.0,-0.009437586122773584,-1.0,True
1995-01-03,1995-02-02,26.317472457885746,25.00159883499146,27.35536766052246,0.00941169341130183,0.0,-0.00941169341130183,-1.0,True
1995-03-01,1995-03-31,28.312049865722656,26.896447372436523,29.10048484802246,0.010024978637137114,0.0,-0.010024978637137114,-1.0,True
1995-04-03,1995-05-03,29.10048484802246,27.645460605621338,30.36176300048828,0.010203455461832307,0.0,-0.010203455461832307,-1.0,True
1995-06-01,1995-06-30,31.15121459960937,29.593653869628902,31.78137969970703,0.01081446568215014,0.0,-0.01081446568215014,-1.0,True
1995-07-03,1995-08-02,31.78137969970703,30.19231071472168,32.675872802734375,0.010923348207874961,0.0,-0.010923348207874961,-1.0,True
1995-09-01,1995-09-29,32.949668884277344,31.302185440063475,34.345951080322266,0.011213602975663872,0.0,-0.011213602975663872,-1.0,True
1995-10-02,1995-11-01,34.345951080322266,32.62865352630615,34.52030563354492,0.01157361532858661,0.0,-0.01157361532858661,-1.0,True
1995-12-01,1995-12-29,35.76825714111328,33.97984428405761,36.33100128173828,0.011933702078533257,0.0,-0.011933702078533257,-1.0,True
1996-01-02,1996-02-01,36.33100128173828,34.51445121765136,37.7620849609375,0.012002251599385866,0.0,-0.012002251599385866,-1.0,True
1996-03-01,1996-03-29,37.74359893798828,35.856418991088866,38.39347839355469,0.012348416128727807,0.0,-0.012348416128727807,-1.0,True
1996-04-01,1996-05-01,38.39347839355469,36.47380447387695,38.89427185058594,0.012440566397881287,0.0,-0.012440566397881287,-1.0,True
1996-06-03,1996-07-03,39.69182586669922,37.70723457336425,40.15385818481445,0.012735479388690692,0.0,-0.012735479388690692,-1.0,True
1996-08-01,1996-08-30,38.24264907836914,36.33051662445068,38.97915649414063,0.012148899237041216,0.0,-0.012148899237041216,-1.0,True
1996-09-03,1996-10-03,38.97915649414063,37.0301986694336,41.62556076049805,0.012263597672457278,0.0,-0.012263597672457278,-1.0,True
1996-11-01,1996-11-29,42.48768615722656,40.363301849365236,45.58945846557617,0.013237805535902012,0.0,-0.013237805535902012,-1.0,True
1996-12-02,1996-12-31,45.58945846557617,43.30998554229736,44.50454711914063,0.014064547178873859,0.0,-0.014064547178873859,-1.0,True
1997-01-02,1997-01-31,44.50454711914063,42.2793197631836,47.254302978515625,0.013597527464640267,0.0,-0.013597527464640267,-1.0,True
1997-02-03,1997-03-05,47.254302978515625,44.891587829589845,48.57264709472656,0.014296842035988045,0.0,-0.014296842035988045,-1.0,True
1997-04-01,1997-05-01,45.601375579833984,43.32130680084229,48.39948272705078,0.01366325858442422,0.0,-0.01366325858442422,-1.0,True
1997-06-02,1997-07-02,51.51897430419922,48.94302558898926,55.154884338378906,0.015286014579308093,0.0,-0.015286014579308093,-1.0,True
1997-08-01,1997-08-29,57.88798904418945,54.993589591979976,54.8891830444336,0.017008473802354932,0.005344284801265124,-0.011664189001089807,-0.6857869281296024,False
