n_obs,sharpe_net,pf_net,max_dd,total_ret,cagr,skew,ekurt,volmageddon_feb2018,covid_2020,worst_day,worst_day_date,worst_week,worst_week_date,top_year_share,structure,threshold,param,extra,dsr,breach_week_hard,breach_week_soft,breach_day_hard
3747,0.425042725815437,1.1193776526012422,0.9306851931239732,0.9806010694331857,0.047033862549789474,-7.360753053085095,181.6392594560459,-0.908097793575851,-0.11387846464289919,-0.8295739372998041,2018-02-06,-0.9212624306083763,2018-02-08,1.424085595784103,naked_sec20,1.2,f=1.0,,,True,True,True
3747,0.4250427258154371,1.119377652601242,0.15322569165389735,0.32067331416240874,0.018882141532628793,-7.360753053085096,181.63925945604583,-0.12889881540065806,-0.010920963562392472,-0.08295739372998041,2018-02-06,-0.1429246438868106,2018-02-08,0.38734454793045,A_fixed_fraction,1.2,f=0.10,"worst DAY is exactly f x the naked sleeve's worst day (0.10 x -83.0% = -8.3%); worst WEEK is the daily-rebalanced compound, not a clean f-scaling",0.14787880838214262,False,False,False
3747,0.4250427258154371,1.119377652601242,0.2902155141059396,0.6860478789162194,0.03575696826584074,-7.360753053085096,181.63925945604583,-0.24887788410850997,-0.021956769719514213,-0.16591478745996083,2018-02-06,-0.2727381848554532,2018-02-08,0.4081581002995117,A_fixed_fraction,1.2,f=0.20,"worst DAY is exactly f x the naked sleeve's worst day (0.20 x -83.0% = -16.6%); worst WEEK is the daily-rebalanced compound, not a clean f-scaling",0.14787880838214262,True,True,True
3747,0.5374817319932691,1.1390543189345101,0.48869414622830754,5.633163268484478,0.1357005634502746,-1.4587426952773643,14.891949684395762,-0.1330122833829126,-0.09585750175195806,-0.26445431622627125,2016-06-24,-0.2648220890681581,2016-06-30,0.3773315346296796,B_vol_of_vol_breaker,1.2,"b=+20%/1d, cd=3d","triggers=80, true_pos(SVXY fwd5d<=-15%)=25, false_alarm_rate=69%",0.23974986496153267,True,True,True
3747,0.5804535978916429,1.1506732194488607,0.4876863338397996,7.939472347685189,0.15872223857864687,-1.9921890042910055,20.71069336571594,-0.31166946724637445,-0.05230598135448705,-0.3198863566989083,2018-02-05,-0.4100099385610185,2018-02-08,0.32593004744274945,B_vol_of_vol_breaker,1.2,"b=+30%/1d, cd=3d","triggers=32, true_pos(SVXY fwd5d<=-15%)=15, false_alarm_rate=53%",0.2949206785764595,True,True,True
3747,-0.015907993664317114,0.9926016888381686,0.9013899301209815,-0.7353307678824628,-0.08551915713943192,-29.27682404982981,1371.0670797156029,-0.8752606014216334,0.006925544865507005,-0.8458041523821305,2018-02-06,-0.8867291176519454,2018-02-08,,C_paired_hedge,1.2,h=0.5xVIXY,"ann hedge drag -35.5%/yr on ordinary on-days, 59% of those days hedge loses, hedge P&L Feb2018 +32%",0.0018521375338543785,True,True,True
3747,-0.6625554903042168,0.7714494282680973,0.9897730118188828,-0.9893974661933869,-0.26345159975247145,-21.480496672490567,984.5931083318407,-0.8434693777603316,0.1184370415181013,-0.8620343674644567,2018-02-06,-0.858609247890757,2018-02-06,,C_paired_hedge,1.2,h=1.0xVIXY,"ann hedge drag -71.0%/yr on ordinary on-days, 59% of those days hedge loses, hedge P&L Feb2018 +67%",1.1344727486139587e-13,True,True,True
3747,0.08671558843666201,1.03241945877919,0.9184339210839708,-0.6985737031771118,-0.07748603157056588,-12.273465441515418,401.44929011079864,-0.8482240947988859,-0.004281230359287624,-0.830073937299804,2018-02-06,-0.8526649747208126,2018-02-08,,naked_sec20,1.5,f=1.0,,,True,True,True
3747,0.08671558843666198,1.0324194587791902,0.14031669846819644,0.03870223338280776,0.0025570305252178294,-12.27346544151541,401.4492901107984,-0.09248222391989769,-0.0003851727697918861,-0.08300739372998041,2018-02-06,-0.09520938703609849,2018-02-08,1.5782827373786692,A_fixed_fraction,1.5,f=0.10,"worst DAY is exactly f x the naked sleeve's worst day (0.10 x -83.0% = -8.3%); worst WEEK is the daily-rebalanced compound, not a clean f-scaling",0.008605427633604812,False,False,False
3747,0.08671558843666198,1.0324194587791902,0.2677094596998769,0.05457540880786382,0.0035801414934308884,-12.27346544151541,401.4492901107984,-0.18331377745899735,-0.0007798938762952901,-0.16601478745996082,2018-02-06,-0.1882074856197693,2018-02-08,2.217942543112621,A_fixed_fraction,1.5,f=0.20,"worst DAY is exactly f x the naked sleeve's worst day (0.20 x -83.0% = -16.6%); worst WEEK is the daily-rebalanced compound, not a clean f-scaling",0.008605427633604812,False,True,True
