instrument,timeframe,family,variant,params,n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,ftmo_pass_rate,ftmo_n_challenges,dsr,oos_holds,dsr_survives,ftmo_clears,SURVIVOR
US30,H1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1174,PASS,0.9849782547239097,0.9160686452730455,-0.527659088530875,0.3159254654044432,0.9792140753553028,0.6097249409010362,-0.0086332654353539,0.0418194772846291,-0.0504527427199831,148.242000000002,0.3730834752981261,279,653,242,1914,605,569,0.9587548100722788,0.8755712159412622,-0.3315120649007165,-1.1103402125739177,0.0425531914893617,94,0.0,False,False,False,False
US30,H1,momentum,1,"{'N': 48, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",798,PASS,1.125987104733105,1.056196225385079,0.1744086698191966,0.5047983672603226,2.331472593884384,0.2632149426905687,0.0754045214867873,0.0403368758349584,0.0350676456518288,155.90178571428442,0.3847117794486215,249,472,77,1909,393,405,1.1449682212981145,0.9802895654472336,1.0447143741928504,-0.1607178421961529,0.0319148936170212,94,0.0,False,False,False,False
US30,H1,momentum,2,"{'N': 12, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",2255,PASS,1.0090264753621012,0.9020239672732904,-0.8497797806773179,-0.3791408850795568,0.4024712861571942,0.816052608744841,0.0049998133565292,0.0629329506087159,-0.0579331372521867,106.04528571428092,0.412860310421286,789,1217,249,1921,1155,1100,0.9087359322027774,0.8953244328811616,-0.8723098542216549,-1.036786252258026,0.0638297872340425,94,0.0,False,False,False,False
US30,H1,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",567,PASS,1.0821560969370536,1.003591210711846,-0.0285676457772775,0.828669531772383,3.7747014708173774,0.23167000789738,0.045357206298353,0.0432784083398926,0.0020787979584604,150.00035714285696,0.3862433862433862,142,301,124,1910,296,271,1.083248325935002,0.9291569372887462,0.6084292789947549,-0.5575979438723309,0.0106382978723404,94,0.0,False,False,False,False
US30,H1,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",373,PASS,1.2731196315374769,1.1973979123852807,0.5096141768386798,1.1274383931348222,5.307162641426356,0.1844550699840093,0.1537100488339925,0.038105882019709,0.1156041668142835,166.000214285712,0.4101876675603217,120,206,47,1913,210,163,1.1574025669280226,1.2482596941840685,1.0827816742315544,1.6748737794574715,0.0,94,0.0,True,False,False,False
US30,H1,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",710,PASS,1.0875681554055845,1.0007494524733018,-0.1392667361447599,1.0214652093069718,3.792998726596476,0.4675312831325414,0.0568916881037503,0.0563752374509325,0.0005164506528178,113.30432142857173,0.3126760563380282,137,452,121,1910,362,348,1.1736585314170618,0.8477638179450923,1.2138685963888685,-1.1696906684329773,0.0851063829787234,94,0.0,False,False,False,False
US30,H4,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",389,PASS,1.220394127476639,1.1675068853352732,-0.0407238500859735,1.3666325697165935,8.605663270865005,0.1891301152459405,0.0927944274243344,0.0203989544672923,0.072395472957042,326.94982142857043,0.4884318766066838,48,150,191,1906,215,174,1.0693703015028562,1.29647327184245,0.4606655093715387,1.792188773188398,0.0,94,0.0,True,False,False,False
US30,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",298,PASS,1.2016525295135636,1.1605360726253475,0.2907300219495994,1.0157462672433728,6.195968746023864,0.1603860584107954,0.094663125123168,0.0177254397788119,0.076937685344356,387.3457678571394,0.4697986577181208,91,129,78,1907,164,134,1.0130801437884334,1.3629785570059412,0.0957175167414553,2.297427403444986,0.0,94,0.0,True,False,False,False
US30,H4,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",323,PASS,1.1453582116350924,1.113020044656551,-0.2992557111643336,2.825181205156616,16.392007811186936,0.2614763578202747,0.0766266784810254,0.0159790723501312,0.0606476061308942,386.8489642857167,0.4024767801857585,29,156,138,1909,178,145,1.0593160266144606,1.1800739765682222,0.377653856911463,1.112176573836998,0.0,94,0.0,True,False,False,False
US30,H4,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",510,PASS,1.1743449499288734,1.120271880336141,0.2069961354011944,1.4813334173665131,5.033824510202809,0.3487994442773628,0.0913680422589146,0.0264414181132519,0.0649266241456627,229.50221428571604,0.4235294117647059,120,249,141,1916,291,219,1.092320857744153,1.158704016150616,0.6284261839163988,1.0488187645911369,0.0,94,0.0,True,False,False,False
US30,H4,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",320,PASS,0.9865871233724848,0.946779609729858,-0.2524382175469318,1.6865902344563497,8.005436738846223,0.3830279427322107,-0.0083352931716844,0.0256095198231868,-0.0339448129948712,247.296928571428,0.353125,89,196,35,1899,187,133,0.7633015000421443,1.2504753490494958,-1.9995176146592808,1.6886163495051594,0.0212765957446808,94,0.0,False,False,False,False
US30,H4,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",484,PASS,1.231666063536375,1.182868536522817,0.3998473243178564,0.9342455275294684,3.821709179797905,0.2413958803942789,0.1005158185410296,0.0192977014434665,0.0812181170975631,313.3346428571458,0.4793388429752066,133,184,167,1916,278,206,1.1565259243393635,1.2194863950271138,1.083963618791841,1.428612160059955,0.0,94,0.0,True,False,False,False
