label,k_atr,R,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share
k_atr1.5_R1.5,1.5,1.5,False,187,PASS,1.3476162325509233,1.2899358202179465,0.49880430707125567,0.13267529910312748,0.48128342245989303,0.635961854240139
k_atr1.5_R2.0,1.5,2.0,False,187,PASS,1.4565392279550513,1.3998237953714938,0.5186195121153485,0.1326369472016062,0.4385026737967914,0.716095829508785
k_atr1.5_R3.0,1.5,3.0,False,186,PASS,1.6727571986657541,1.6118246966937837,0.7247437088636847,0.11895016554627787,0.41935483870967744,0.5133102446025298
k_atr2.0_R1.5,2.0,1.5,False,177,PASS,1.332703085082776,1.288972468789611,0.33452922591747486,0.14303162709079992,0.4858757062146893,0.7715319596290191
"k_atr2.0_R2.0 [BASELINE, repro-only]",2.0,2.0,True,177,PASS,1.5153670343596095,1.4690292721137477,0.6685644328947276,0.1370800864990763,0.4745762711864407,0.4373793558047588
k_atr2.0_R3.0,2.0,3.0,False,175,PASS,1.4815244686639482,1.437322695627644,0.31507525503253825,0.12147313216994778,0.44571428571428573,0.5294946042271406
k_atr3.0_R1.5,3.0,1.5,False,154,PASS,1.4527799385009366,1.4163853167174003,0.48875192677256174,0.055080264674160516,0.551948051948052,0.5341708374522536
k_atr3.0_R2.0,3.0,2.0,False,154,PASS,1.4518363258309734,1.4163674554903865,0.39642884761642455,0.07604867388718477,0.538961038961039,0.5860885928173557
k_atr3.0_R3.0,3.0,3.0,False,154,PASS,1.4575161458717516,1.4219733292119807,0.2997042040348415,0.08147824235547683,0.538961038961039,0.7146896631658072
