inst,label,regime,start,end,bh_ending,n,win_rate,gross_pf,net_pf,sharpe,max_dd,ending_cap,top_year,ruin_trade,skew,ekurt,n_obs
XAUUSD,XAUUSD in-regime 2018-2025,in,2018-01-01,2025-12-31,331603.89707604144,149,0.28187919463087246,0.7837172693509105,0.520414922957134,-5.165665852677404,0.5125289202733838,50790.232092661965,,,0.9563936879842228,-1.016934817056843,149
XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,2017-01-01,2017-12-31,113176.59424759158,29,0.41379310344827586,1.4074760269631321,0.8382232017820743,-1.3637915905387803,0.0936982205663791,95940.53402706776,,,0.36165346169465,-1.9509354102513543,29
EURUSD,EURUSD in-regime 2018-2025,in,2018-01-01,2025-12-31,97793.64319463813,120,0.325,0.9676746589132896,0.7464981471829079,-2.2329255119603877,0.3049502385292798,77195.72034008465,,,0.6419556259517756,-1.2755785152771886,120
EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,2013-01-01,2017-12-31,90953.8676042677,74,0.40540540540540543,1.3608056204819354,1.0931336218385397,0.6814599429952515,0.13121313504840243,103976.53821819872,1.115638857332569,,0.39293771518521486,-1.8757638494973141,74
SPX500,SPX500 in-regime 2018-2025,in,2018-01-01,2025-12-31,255640.1328556501,230,0.4043478260869565,1.3501259054092882,0.9090342248612424,-0.7424506641851768,0.23816359061019585,83295.56324069934,,,0.39834558996116615,-1.7993312109638129,230
SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,2017-01-01,2017-12-31,118830.84013800269,36,0.3611111111111111,1.1171594153043058,0.6408910427090134,-3.478364713909005,0.1515422074666221,88636.26300338145,,,0.5921369202805483,-1.6803968022973454,36
BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,2018-01-01,2025-12-31,639396.7866751484,126,0.23015873015873015,0.9595991341505024,0.14850089025754865,-13.81484648845624,0.8617439441175796,14306.72728805795,,,0.30659493198476356,-0.29496276324444315,126
