n_trades,guard,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,risk_med,win_rate,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,net_win,net_loss,gross_win,gross_loss,is_win,is_loss,oos_win,oos_loss,ftmo_pass_rate,instrument,timeframe,family,variant,params,dsr,oos_holds
199,PASS,1.0079225965033494,0.912967320204213,-0.2829806711039168,1.0871225245768648,6.746378667653088,0.16670841037686765,0.003566858625894366,0.04504688352014882,-0.04148002489425444,42.95400000000063,0.4271356783919598,961,119,80,0.8303783821314803,1.054489625786763,-1.287916739195591,0.35571109173263077,86.58944599264628,94.8439709466029,90.30225934191662,89.59245447536362,49.733269696245486,59.89229821781515,36.85617629640078,34.95167272878773,0.0,NAS100,H4,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.0036583257659821623,False
146,PASS,1.014945049933034,0.9428896716860939,-0.17175715783180626,0.6758513616939283,5.612581288040992,0.13559085907710083,0.0075274172669459035,0.03761063602632648,-0.03008321875938057,50.98101785714334,0.4452054794520548,961,83,63,0.8466284246447668,1.0847679386231652,-1.2411853059438147,0.6059200791497473,72.51425330798618,76.90640324685576,74.63525244162,73.5362495206459,38.79178446282095,45.81913781018801,33.722468845165245,31.08726543666775,0.0,NAS100,H4,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.006526323589831075,False
168,PASS,1.0746351391779896,1.006084945763162,0.017210305485887773,2.3004258468816396,12.636212410920988,0.16988632037920826,0.04018785115712786,0.03677882881428553,0.003409022342842339,51.23546428571444,0.4166666666666667,957,92,76,0.8856607516080859,1.1706902587929053,-0.818065381815984,1.068049163518727,94.69282394991409,94.12010819631656,97.21242057725574,90.46086158285826,48.139751490349454,54.35461761508858,46.55307245956463,39.765490581227986,0.0,NAS100,H4,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.01696656313930546,False
93,PASS,1.0143277782397058,0.9561748582707931,-0.10062480994514961,1.5003634133454749,13.302287855959623,0.19597115403132878,0.00881793269352811,0.036804955382658454,-0.027987022689130354,44.883071428571384,0.3655913978494624,968,57,36,0.7350784237623355,1.4139046228426968,-2.2777697584553356,2.5223564629151887,56.78761630767445,59.390409417763564,58.05627888072231,57.2362111402242,29.437474830433686,40.0467132197467,27.35014147724077,19.343696198016882,0.0,NAS100,H4,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.00938717286037238,False
57,PASS,1.3058355409215772,1.2259844973527307,0.36811111612105557,2.9064328000459074,21.363311886500167,0.12064515973819932,0.1781087752093593,0.040363655052169406,0.13774512015718993,42.540857142857476,0.40350877192982454,968,34,23,0.9351411616349075,1.7546920995503215,-0.49089678450666907,4.199281558796943,42.594880980714315,34.7434091317545,43.347165547537955,33.19496536060447,20.959900059435054,22.413621514414846,21.63498092127927,12.329787617339651,0.0,NAS100,H4,macross,1,"{'fast': 20, 'slow': 50, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 96}",0.0679366996691513,False
108,PASS,1.152127058676637,1.0771744606134528,0.17058334580970672,2.879247659015446,16.223891523326365,0.18898525352852935,0.10274746203772196,0.04800184302519693,0.05474561901252502,33.647437499999796,0.3148148148148148,968,67,41,0.8415895065367204,1.5351936342504569,-1.197561559889204,3.0013737803738936,82.52500728217018,76.61248042881748,84.04052693458486,72.94380103451088,42.5766830971966,50.59079606684579,39.94832418497359,26.021684361971687,0.0,NAS100,H4,macross,2,"{'fast': 10, 'slow': 30, 'ema_trend': 100, 'k_atr': 1.5, 'R': 3.0, 'H': 48}",0.03156744350995625,False
109,PASS,0.8836362923023823,0.8316485712612508,-0.4464624265303548,1.4115716415412483,12.748542551631715,0.1597453215219561,-0.06139044869459005,0.030432797556144506,-0.09182324625073458,62.483357142856676,0.41284403669724773,954,63,46,0.7448303882976598,0.961041313909791,-2.102496845548511,-0.2827249705439152,49.44270008063449,59.45143392196456,50.81399020300537,57.50554911071569,26.50037401306756,35.5790720000499,22.942326067566924,23.872361921914656,0.0,NAS100,H8,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.0015645547175969854,False
85,PASS,0.8096950648791971,0.7690310325256057,-0.5791906741245075,0.6968890762588087,11.909633564567288,0.17544107650915253,-0.10532643828749715,0.026400187697734084,-0.13172662598523124,78.03583928571516,0.4117647058823529,954,47,38,0.58810742859344,1.043399913211928,-3.9419336879873046,0.31071338883332045,37.280585636770496,48.47734884551515,38.09147284817947,47.04422010261672,17.180662081424035,29.21347571227682,20.099923555346457,19.263873133238324,0.0,NAS100,H8,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.0006250950770027769,False
85,PASS,1.1633845201629553,1.1103948168930196,0.21152865882628472,3.2861032042792813,27.898651238468013,0.13417663858655332,0.08008162998439489,0.024489338155121776,0.055592291829273124,76.03389285714184,0.43529411764705883,952,46,39,0.8390022767879015,1.4539923138338915,-1.1759662422889787,2.5301544380008756,47.529390669954864,42.80404586446666,48.46901609362402,41.662077544950456,20.064570666699723,23.91479882929092,27.46482000325514,18.889247035175735,0.0,NAS100,H8,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.03811052077796047,False
49,PASS,1.8020299586739228,1.7294050186879086,0.888948122129185,3.5369766524716466,25.750249138752622,0.04971957089645364,0.3777039880209261,0.024616825428071854,0.3530871625928543,63.08135714285709,0.5102040816326531,970,29,20,1.3801617318884585,2.421579765889861,2.3242490502668876,6.594503414439274,41.02097473077262,23.719703763722762,41.58331098932341,23.075815576298034,21.75854742591838,15.765215715803413,19.26242730485424,7.954488047919352,0.0,NAS100,H8,macross,0,"{'fast': 10, 'slow': 30, 'ema_trend': 200, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.32086957816314854,True
