window_days,z_threshold,sharpe,max_dd,total_return,n_switches,beats_bh_sharpe
20,1.0,-0.37142220468118853,-0.5337749268931958,-0.4163947353261416,771,False
20,1.25,-0.17720331996528985,-0.4243636714885135,-0.21046523688438667,584,False
20,1.5,-0.2936885335816945,-0.3725285607132344,-0.23596152406215243,476,False
20,1.75,-0.09461965276060443,-0.24506772225873197,-0.07850079100101837,352,False
20,2.0,-0.04580679730280508,-0.21796813076771107,-0.03881880323274345,268,False
20,2.5,-0.1683457044700735,-0.1886651835154351,-0.06953223013853216,132,False
30,1.0,-0.2758270891713397,-0.4850472557761778,-0.35306681907836324,637,False
30,1.25,-0.4923001094813164,-0.49154571725639024,-0.42032227229345454,549,False
30,1.5,-0.6345114367245723,-0.49435539488285235,-0.4284939216355146,403,False
30,1.75,-0.3021384488140511,-0.34637155047233115,-0.19975938939960514,280,False
30,2.0,-0.17475142904549104,-0.25028721971597634,-0.10901799776054477,210,False
30,2.5,-0.2823828449306253,-0.2300982570459718,-0.11941548709663719,154,False
40,1.0,-0.10987522857944348,-0.329343497499061,-0.18066031360267076,580,False
40,1.25,0.039169391886592034,-0.237559867686921,-0.005581527942397191,481,False
40,1.5,0.09644171234235914,-0.22454884953770313,0.05506193957013861,352,False
40,1.75,-0.38308883409755984,-0.30958034992136585,-0.25243434897918227,230,False
40,2.0,-0.2120798879260287,-0.24856023866669152,-0.1319378308433663,190,False
40,2.5,-0.08898528998657024,-0.16385733604276329,-0.044170898181318474,130,False
60,1.0,0.061509808339633404,-0.2717358928287854,0.01197524987392029,498,False
60,1.25,0.0023240418864206563,-0.24176555788515056,-0.04117540905822714,386,False
60,1.5,0.21446974256458992,-0.1640458408325999,0.17464878961857444,266,False
60,1.75,0.2558998983285348,-0.12291545203317475,0.19288737701816094,200,False
60,2.0,-0.21863541648831175,-0.22943194735326072,-0.14261933052200337,150,False
60,2.5,-0.06030405526216941,-0.17299099098588414,-0.04144971562253341,118,False
90,1.0,0.2278671539134383,-0.2216359088021027,0.24426784016274294,469,False
90,1.25,0.11064552854120538,-0.2554577849537389,0.07267796250769365,334,False
90,1.5,0.009862361829431914,-0.27179816423557357,-0.020920000705792585,228,False
90,1.75,-0.1924406612519848,-0.258313428480705,-0.15367814814609737,168,False
90,2.0,-0.2863795234955359,-0.275802170223927,-0.19819317511812984,130,False
90,2.5,-0.11380922145445052,-0.1641891453561677,-0.07666685649116578,82,False
120,1.0,0.20161939906250775,-0.20193738706157352,0.2002151331165405,444,False
120,1.25,0.19006077992632253,-0.2412724931934322,0.16427788893302608,334,False
120,1.5,-0.1450726807364129,-0.3277727974585693,-0.1263395130762136,212,False
120,1.75,-0.012276117672408092,-0.24632466338221487,-0.027206342749695578,140,False
120,2.0,-0.0798155997717019,-0.23271014015907457,-0.06589352841642637,100,False
120,2.5,-0.025029121174491947,-0.14792485393875598,-0.028465027769241757,70,False
180,1.0,0.0885207089562067,-0.37266967905968634,0.04822982126863029,412,False
180,1.25,0.34597243489591645,-0.17993973209810882,0.36000557555930146,290,False
180,1.5,0.22965302655658063,-0.1803964741421872,0.1829544973014121,178,False
180,1.75,-0.0363337897770263,-0.2087404762335426,-0.04361943499732668,136,False
180,2.0,-0.005575385588353078,-0.2011790371256528,-0.01949172435505675,76,False
180,2.5,0.00964004951698882,-0.15338533742099114,-0.007869609451257142,54,False
252,1.0,0.16795185216195552,-0.3309056856548153,0.15010114930782925,358,False
252,1.25,0.02953910387082735,-0.3063025631033778,-0.011588537390379239,272,False
252,1.5,0.27090255835358135,-0.12269573852967795,0.21391127339863036,172,False
252,1.75,0.21075505499498118,-0.12269573852967787,0.14328073168592415,128,False
252,2.0,0.015831160708743502,-0.18775448288830354,-0.0075925327147765564,80,False
252,2.5,0.20902200790200015,-0.12383882534321884,0.1133469398681839,52,False
