pair,w_a,w_b,sharpe_fixed,maxdd_fixed,sharpe_rp,maxdd_rp
§44 NAS100+US30 macross,0.28062623996577707,0.7193737600342229,1.1349530418903744,0.057353851795480894,1.2302953884704848,0.03626216993666699
§47 NAS100+US30 breakout,0.2717753608669756,0.7282246391330244,0.9668660531303126,0.05013578766321697,1.3824639579157725,0.03871640170933727
§48 US30 macross+breakout,0.40476213241421505,0.595237867585785,1.7071386950809246,0.033900624537244996,1.823874938179543,0.03008884071085576
§49 ORB gold+US30 breakout,0.277405566264297,0.722594433735703,1.6872824800301143,0.044934325263511626,1.8999079448733072,0.02813803255075569
§50 NAS100 macross+breakout,0.41569083525886635,0.5843091647411336,1.0542947118038744,0.053686260949594306,1.016405026919822,0.04907817913816725
