instrument,lookback_months,n_decisions,n_switches,switch_freq_per_year,pct_time_cash,switch_cost_drag_total,causal_ok,sharpe,pf,max_dd,total_ret,n_obs,skew,ekurt,top_year_R,top_year_share,n_years,n_pos_years,regime_a_sharpe,regime_b_sharpe,regime_holds,dsr,switch_rate
BTCUSDT,3,34,22,2.5396649810366623,0.0284360189573459,0.044,True,-0.6025185300818336,0.8345492288123342,0.490976131956094,-0.4204348337157021,3165,0.9338888910236076,8.581462440933358,0.1233556053327965,,9,1,-0.0786822527089411,-0.9544249961888692,False,0.08543007948012621,
BTCUSDT,6,17,13,1.5007111251580276,0.0571879936808846,0.026,True,-0.6276945049510209,0.8295047296983724,0.4731382382532288,-0.4311197468388152,3165,0.9581961556883186,7.705313881288826,0.0594012041563144,,9,2,0.1425833550863267,-1.169757141782602,False,0.07479067800443111,
ETHUSDT,3,34,27,3.116861567635904,0.1052132701421801,0.054,True,-0.2583305792778338,0.923042032769382,0.3744311488472004,-0.2208641589949526,3165,1.741632692132092,11.677872379973618,0.0897157659389916,,9,3,0.3047863903080944,-0.8380166660270045,False,0.35448984334157696,
ETHUSDT,6,17,14,1.616150442477876,0.1725118483412322,0.028,True,-0.1100889555552747,0.9677586370007656,0.3587221905337185,-0.1275489916105788,3165,1.6814645051823731,10.116719655802925,0.1206776577286568,,9,3,0.4187141969465276,-0.6153001581874873,False,0.5233365682030755,
BTCUSDT,12,8,5,0.5771965865992414,0.23096366508688784,,True,-0.37024572947002604,0.8659558237444083,0.261859198062207,-0.2352631121150205,3165,1.324023550245813,15.245375624252478,0.07050653061881629,,9,3,-0.07343044846698157,-0.5976093863012379,False,0.24523905226809684,0.625
BTCUSDT,24,4,3,0.34631795195954485,0.46161137440758293,,True,-0.19481080567444078,0.9111590063873247,0.2616276138275352,-0.11488243642140328,3165,1.6019829618284565,24.305546462703383,0.07050653061881629,,9,2,0.5561320262229531,-0.7274064239216592,False,0.42827954711231625,0.75
ETHUSDT,12,8,5,0.5771965865992414,0.19210110584518167,,True,-0.12257329090424755,0.9629258273259051,0.27331395388905094,-0.12741762663040146,3165,1.6397564877614283,10.408829078542876,0.13383946877306038,,9,3,0.40414458386209323,-0.6392092929132591,False,0.5120737851267324,0.625
ETHUSDT,24,4,4,0.46175726927939315,0.3074249605055292,,True,-0.3475887489688998,0.8949753543314904,0.40242138478926076,-0.2646929442836987,3165,1.5967023797564852,11.216554068123159,0.13663250531956328,,9,1,0.2686576536140807,-0.9691595283207908,False,0.26669010079196126,1.0
