window,basket,thr,insufficient,n_trades,n_members,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,cost_R_mean,net_R_total,win_rate,n_obs,top_year_share,n_years,n_pos_years,bh_sharpe,per_member_n
in,NAS100 + US30 + SPX500,1.2,False,421,3.0,1.044827824860701,0.9245642720160157,-0.2150158743698999,-0.3301101958051007,12.824479780011966,0.38801066284116464,0.05425073764857262,-14.632380847155718,0.498812351543943,2221.0,,8.0,4.0,0.6770603138357142,"{'NAS100': 148, 'US30': 99, 'SPX500': 174}"
in,NAS100 + US30 + SPX500,1.5,False,160,3.0,1.2116417513740925,1.0915833487651043,0.1537410289890499,-0.04265004663132854,34.1356256213729,0.1783736179736856,0.047627132433216444,6.358239608479435,0.54375,2208.0,1.326520564190476,7.0,5.0,0.6770603138357142,"{'NAS100': 41, 'US30': 49, 'SPX500': 70}"
in,NAS100 + US30 + SPX500,2.0,False,41,3.0,1.1644282623554743,1.07862681090027,0.08141040340604606,-1.5972314474612757,96.45243988539437,0.05684029251666632,0.036359649038585413,1.4689631118165347,0.5609756097560976,1848.0,1.3215372918328496,4.0,2.0,0.6770603138357142,"{'NAS100': 10, 'US30': 17, 'SPX500': 14}"
out,NAS100 + US30,1.2,False,135,2.0,0.9935516220333588,0.8043897197484685,-0.5678401644402794,-1.1792688026928502,15.543426940412498,0.1763305238840644,0.08462110975159502,-11.77416253920909,0.5037037037037037,980.0,,4.0,1.0,1.1269068061303575,"{'NAS100': 83, 'US30': 52}"
out,NAS100 + US30,1.5,False,29,2.0,0.6241910749649641,0.5209981460733135,-0.8288942958505647,-4.0788114528066926,52.580461101342166,0.08629172404910068,0.08599271291082235,-8.519200934353854,0.41379310344827586,943.0,,3.0,0.0,1.1269068061303575,"{'NAS100': 19, 'US30': 10}"
out,NAS100 + US30,2.0,True,0,,,,,,,,,,,,,,,,
