instrument,window,or_minutes,target,stop_mode,n_cands,n_trades,guard,or_entry_min,or_entry_legal_min,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,gross_R_total,win_rate,risk_med,risk_med_bps,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years
NAS100,out_regime,15,1R,or_range,974,974,PASS,585,585,493,481,0.8913410839471282,0.6067436665720993,-3.710828085494015,0.058135251449972634,-1.8031573146707027,0.8951645753217846,-0.05253256388889217,0.1748487305864289,-0.22738129447532107,-221.46938081896272,-51.16671722778098,0.4589322381930185,14.405999999999949,31.58342458376602,400,449,125,1015,514,460,0.5731178405108313,0.6479717458603411,-4.234543872006627,-3.284042143556633,-10.878793354229419,,5,0
NAS100,out_regime,15,1R,moderate,974,974,PASS,585,585,493,481,0.9543822630751981,0.6133271238400025,-3.674943113199145,0.009829438696938652,-1.8898213335940857,0.9004346190391037,-0.022371019720553782,0.20907897421784472,-0.23144999393839852,-225.43229409600016,-21.789373207819384,0.4815195071868583,11.121509374999732,24.999999999999982,445,467,62,1015,514,460,0.5506029281935133,0.695318131467471,-4.611698567171567,-2.775313561463269,-12.236717572243048,,5,0
NAS100,out_regime,15,2R,or_range,974,974,PASS,585,585,493,481,1.021713534162115,0.7502166436942701,-2.0533883687558285,0.6572206523953626,-1.1761781366191777,0.8167647101903918,0.011821376249576661,0.1748487305864289,-0.16302735433685223,-158.78864312409408,11.514020467087668,0.3737166324435318,14.405999999999949,31.58342458376602,204,503,267,1015,514,460,0.7083787546197026,0.8037439295967068,-2.5487533912573186,-1.5693699735418725,-9.674810118482242,,5,0
NAS100,out_regime,15,2R,moderate,974,974,PASS,585,585,493,481,0.9881147789115428,0.7049439509310329,-2.575633120822588,0.6981873847414353,-1.2691643628262694,0.8910312009186557,-0.007104448057966526,0.20907897421784472,-0.21618342227581128,-210.56265329664018,-6.919732408459396,0.35523613963039014,11.121509374999732,24.999999999999982,243,565,166,1015,514,460,0.6624068739244258,0.762449512465796,-3.168126593825597,-1.9890804558734154,-10.734121158190439,,5,0
NAS100,out_regime,15,close,or_range,974,974,PASS,585,585,493,481,1.0643564534016232,0.7978369430226199,-1.3726092161092789,2.3639614382988805,10.523626524038269,0.805688977467075,0.03661177801260389,0.1748487305864289,-0.13823695257382498,-134.64279180690554,35.659871784276184,0.34188911704312114,14.405999999999949,31.58342458376602,0,525,449,1015,514,460,0.7417987644452122,0.8692080173947772,-1.983400062298573,-0.8080193263842987,-1.8058730077281642,,5,0
NAS100,out_regime,15,close,moderate,974,974,PASS,585,585,493,481,1.0722149821422138,0.7945616390448639,-1.357327169793391,2.5546755703454638,9.249154649926195,0.8472706298656928,0.04652808372376465,0.20907897421784472,-0.16255089049408009,-158.324567341234,45.31835354694677,0.29774127310061604,11.121509374999732,24.999999999999982,0,607,367,1015,514,460,0.7317571489398899,0.8835672166593206,-1.959261690243465,-0.7097742526125475,-3.87884959376835,,5,0
NAS100,out_regime,30,1R,or_range,970,970,PASS,600,600,526,444,0.9180384317101324,0.6663134486170269,-2.902070666821275,0.015311421335890626,-1.6459724980839805,0.8033392840390008,-0.03457710411980822,0.1293785504436282,-0.1639556545634364,-159.0369849265333,-33.53979099621397,0.45670103092783504,18.54925000000003,41.329087148154144,324,358,288,1018,512,458,0.6007893180064839,0.7504963983531626,-3.7448239971009056,-2.096711735824156,-4.316785143371935,,5,0
NAS100,out_regime,30,1R,moderate,970,970,PASS,600,600,526,444,0.9596100354956553,0.6273561082421847,-3.4840726017950705,-0.0012802196808710138,-1.8645874765233819,0.8859287958036014,-0.019506563290562468,0.19873758593307073,-0.21824414922363322,-211.69682474692422,-18.921366391845595,0.4814432989690722,11.123506249999991,24.999999999999996,435,451,84,1018,512,458,0.5625770860209883,0.7122224195900192,-4.431603601839142,-2.587944130970517,-15.16591256483537,,5,0
NAS100,out_regime,30,2R,or_range,970,970,PASS,600,600,526,444,0.9652099436254045,0.7304397271757316,-2.133121183935952,0.6490562204440194,-0.8118123754952644,0.7904257315706665,-0.016092686325410083,0.1293785504436282,-0.14547123676903825,-141.1070996659671,-15.609905735647779,0.40309278350515465,18.54925000000003,41.329087148154144,111,393,466,1018,512,458,0.7060575148370307,0.7607639017828156,-2.4504918487414837,-1.876729619405074,-2.214119102523271,,5,0
NAS100,out_regime,30,2R,moderate,970,970,PASS,600,600,526,444,1.0152833953036597,0.7311687802854353,-2.2853657822612257,0.6677612317623898,-1.271771423263546,0.8677549576149247,0.008893638832999397,0.19873758593307073,-0.18984394710007133,-184.1486286870692,8.626829668009416,0.37010309278350517,11.123506249999991,24.999999999999996,230,543,197,1018,512,458,0.6992487964713299,0.7723749859645394,-2.7208401289212096,-1.8948813413546604,-11.769577652219247,,5,0
NAS100,out_regime,30,close,or_range,970,970,PASS,600,600,526,444,0.98453659870589,0.7525191781282947,-1.7007753358236364,2.708562689078686,19.872462838472522,0.7740680600021674,-0.007311775312563512,0.1293785504436282,-0.1366903257561917,-132.58961598350595,-7.092422053186606,0.3907216494845361,18.54925000000003,41.329087148154144,0,401,569,1018,512,458,0.6695957467258715,0.8580195469752984,-2.695382418337251,-0.8587045156098501,-4.762177078050929,,5,0
NAS100,out_regime,30,close,moderate,970,970,PASS,600,600,526,444,1.0486190198636056,0.7786983569078886,-1.496612042397395,2.4899008874886315,9.29984215067231,0.8607898982323906,0.03042203316514927,0.19873758593307073,-0.16831555276792146,-163.26608618488382,29.50937217019479,0.32268041237113404,11.123506249999991,24.999999999999996,0,584,386,1018,512,458,0.737701593820269,0.8326671657173489,-1.9396370257103765,-1.0706475450791564,-6.725987851785366,,5,0
US30,out_regime,15,1R,or_range,1025,1025,PASS,585,585,501,524,0.9236587186091048,0.6487936295739,-3.213647989824129,0.020913192554847918,-1.8144492847945988,0.87919611128698,-0.036717657299911596,0.16247181099272534,-0.19918946829263695,-204.16920499995288,-37.635598732409385,0.47024390243902436,42.00049999999828,23.026209502543697,436,469,120,1081,528,497,0.6749020624249226,0.622714997435941,-2.9963088221134657,-3.6226392625687693,-12.386480672738662,,5,0
US30,out_regime,15,1R,moderate,1025,1025,PASS,585,585,501,524,0.8806669428877332,0.6475641948618126,-3.205442740753534,0.08776306936411311,-1.7838659476456875,0.8681197202249848,-0.056052443201868044,0.13558067494780324,-0.19163311814967127,-196.42394610341304,-57.45375428191475,0.4497560975609756,44.54191374999937,24.999999999999996,398,444,183,1081,528,497,0.5982484466060165,0.709321047984201,-3.9535178096503514,-2.564404808171792,-13.164305552262084,,5,0
US30,out_regime,15,2R,or_range,1025,1025,PASS,585,585,501,524,0.9624248003643406,0.7207904871160542,-2.326753328538342,0.6966836080979676,-1.0867468691078712,0.864673930295054,-0.020833526233601983,0.16247181099272534,-0.18330533722632736,-187.88797065698554,-21.354364389442033,0.37853658536585366,42.00049999999828,23.026209502543697,206,535,284,1081,528,497,0.7444487857155976,0.6967839888035159,-2.147097573606621,-2.6459595821952426,-8.136468561650695,,5,0
US30,out_regime,15,2R,moderate,1025,1025,PASS,585,585,501,524,0.9127208556155884,0.7074483354644504,-2.4173972570483566,0.7833517222387554,-0.8894665805102488,0.8609243417096756,-0.0470354496120338,0.13558067494780324,-0.182616124559837,-187.18152767383293,-48.21133585233464,0.36585365853658536,44.54191374999937,24.999999999999996,181,510,334,1081,528,497,0.7126878926505881,0.7011187406170026,-2.4818567916782417,-2.4898456930069863,-9.86792285535284,,5,0
US30,out_regime,15,close,or_range,1025,1025,PASS,585,585,501,524,0.9870626416965302,0.7530720014849606,-1.719861267683222,2.245791568300195,7.89563250956844,0.854661310721419,-0.007496900110083342,0.16247181099272534,-0.1699687111028087,-174.2179288803789,-7.684322612835425,0.3463414634146341,42.00049999999828,23.026209502543697,0,559,466,1081,528,497,0.7927674333654982,0.713588854144403,-1.4878684873511108,-2.043794253302371,-4.717459524319298,,5,0
US30,out_regime,15,close,moderate,1025,1025,PASS,585,585,501,524,0.9012240186244818,0.7083007059354361,-2.08355280122032,2.2053022584130826,6.920094640084747,0.8765740000451068,-0.05597193849329918,0.13558067494780324,-0.19155261344110236,-196.34142877712992,-57.37123695563166,0.3326829268292683,44.54191374999937,24.999999999999996,0,536,489,1081,528,497,0.731714407323303,0.6796604458004859,-1.972226194641909,-2.356357956584433,-8.018138780448416,,5,0
US30,out_regime,30,1R,or_range,1016,1016,PASS,600,600,531,485,0.8924527186453481,0.666865643133412,-2.880544990709511,0.023732322827215716,-1.632922078181596,0.8243484271476663,-0.04631264108494477,0.11874144803310446,-0.16505408911804922,-167.69495454393802,-47.053643342303886,0.4547244094488189,52.110749999999825,28.491727127522875,342,383,291,1081,521,495,0.6607137727034808,0.6733317070011157,-3.0364823603534408,-2.906421430579075,-12.002432589134338,,5,0
US30,out_regime,30,1R,moderate,1016,1016,PASS,600,600,531,485,0.9703715403879647,0.7270352741788004,-2.3164763418859677,-0.001917797622936245,-1.736866395616352,0.7658212097482974,-0.012886427969372146,0.12383538910343683,-0.13672181707280895,-138.9093661459739,-13.0926108168821,0.46948818897637795,44.53833812499943,25.00000000000006,393,394,229,1081,521,495,0.6898147132507548,0.7732871976006638,-2.8392139423749962,-1.8881197264189247,-9.435197164846775,,5,0
US30,out_regime,30,2R,or_range,1016,1016,PASS,600,600,531,485,0.9473162212087497,0.7330201718967263,-2.0750261563516266,0.6814229540524259,-0.711426122330383,0.785960385086852,-0.02444043601048675,0.11874144803310446,-0.14318188404359122,-145.47279418828867,-24.83148298665454,0.4005905511811024,52.110749999999825,28.491727127522875,124,410,482,1081,521,495,0.741546121864877,0.7241417829382459,-2.065204862890125,-2.2193594151613123,-5.835919185508861,,5,0
US30,out_regime,30,2R,moderate,1016,1016,PASS,600,600,531,485,0.9838107198490635,0.7685949567184969,-1.789139279702511,0.7310796846868546,-0.8524883302820649,0.7600796422842908,-0.007998388576769334,0.12383538910343683,-0.13183377768020615,-133.94311812308945,-8.126362793997643,0.3799212598425197,44.53833812499943,25.00000000000006,169,445,402,1081,521,495,0.7497780864022,0.7925330153471035,-2.0770542534264127,-1.5809016800343723,-4.918803700414467,,5,0
US30,out_regime,30,close,or_range,1016,1016,PASS,600,600,531,485,0.9603032693179554,0.7505050363726532,-1.7029465885979704,2.1967531620542657,10.04627057208078,0.7911147204219532,-0.018952624973738504,0.11874144803310446,-0.13769407300684294,-139.89717817495244,-19.25586697331832,0.38484251968503935,52.110749999999825,28.491727127522875,0,423,593,1081,521,495,0.7377289432510127,0.7637982133904418,-1.927468398504561,-1.5964542182344155,-8.28460926518758,,5,0
