multiplier,sharpe,max_dd,funded_rate
1.0,1.2787413448699185,-0.041458320752114156,0.0
5.0,1.2787413448699183,-0.19348521199030466,0.07142857142857142
8.0,1.2787413448699185,-0.29400346910953784,0.2922077922077922
10.0,1.2787413448699183,-0.35540384963663746,0.2922077922077922
12.0,1.2787413448699183,-0.41596601601801886,0.3181818181818182
13.0,1.2787413448699185,-0.44485122394486987,0.3246753246753247
14.0,1.2787413448699185,-0.47280105304158965,0.34415584415584416
16.0,1.2787413448699185,-0.5258938860764452,0.33116883116883117
18.0,1.2787413448699188,-0.5752644420174694,0.33766233766233766
20.0,1.2787413448699183,-0.620964457229063,0.3246753246753247
