,A|MomoRot US-sector widened 27-univ §12.2 (N12/K5),"A|MomoRot US-sector §12 (N12/K5, headline)",A|MomoRot country-ETFs §17 (N12/K5),A|MomoRot crypto-sectors §17 (N12/K5),A|ORB §10 best cell 2018-2025 (NAS100 OR30 2R),A|ORB §10 same cell 2013-2017 (out-of-regime),A|Sneaky Pivot §9 best cell 2018-2025 (NAS100 swing/sneaky/session),A|Sneaky Pivot §9.4 same cell 2013-2017 (out-of-regime),A|VRP naked SVXY §20 (thr 1.2),A|VRP naked SVXY §20 (thr 1.5),A|VRP §21-A fixed 10% sizing (thr 1.2),A|VRP §21-A fixed 20% sizing (thr 1.2),A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),B|ICT-SMC EURUSD in-regime 2018-2025,B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),B|ICT-SMC SPX500 in-regime 2018-2025,"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",B|ICT-SMC XAUUSD in-regime 2018-2025,"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",C|Bollinger BTCUSDT,C|Bollinger ETHUSDT,C|Bollinger EURUSD,C|Bollinger NAS100,C|Bollinger SPX500,C|Bollinger US30,C|Bollinger XAUUSD,C|Ichimoku BTCUSDT,C|Ichimoku ETHUSDT,C|Ichimoku EURUSD,C|Ichimoku NAS100,C|Ichimoku SPX500,C|Ichimoku US30,C|Ichimoku XAUUSD,C|MACD BTCUSDT,C|MACD ETHUSDT,C|MACD EURUSD,C|MACD NAS100,C|MACD SPX500,C|MACD US30,C|MACD XAUUSD,C|MACD-slow-n3 BTCUSDT,C|MACD-slow-n3 ETHUSDT,C|Pairs GLD-SLV N1.5,C|Pairs GLD-SLV N2.0,C|Pairs NAS100-US30 N1.5,C|Pairs NAS100-US30 N2.0,C|Turtle Sys1 BTCUSDT,C|Turtle Sys1 ETHUSDT,C|Turtle Sys1 EURUSD,C|Turtle Sys1 NAS100,C|Turtle Sys1 SPX500,C|Turtle Sys1 US30,C|Turtle Sys1 XAUUSD,C|Turtle Sys2 BTCUSDT,C|Turtle Sys2 ETHUSDT,C|Turtle Sys2 EURUSD,C|Turtle Sys2 NAS100,C|Turtle Sys2 SPX500,C|Turtle Sys2 US30,C|Turtle Sys2 XAUUSD,D|Credit-spread FILTERED 1pct (SPY),D|On-chain active-address surge H20 (BTCUSDT)
A|VRP §21-A fixed 10% sizing (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP §21-A fixed 20% sizing (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP §21-B vol-of-vol breaker +20% (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
A|VRP §21-C paired VIXY hedge h=1.0 (thr 1.2),5443,5443,5443,2401,2920,1531,2830,1448,5443,5443,5443,5443,5443,5443,2921,2920,1823,2918,363,2921,361,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,3162,3162,5442,5442,4476,4476,3162,3162,4747,4476,3285,4476,3286,3162,3162,4747,4476,3285,4476,3286,5370,3160
B|ICT-SMC BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),2921,2921,2921,2160,2919,0,2830,0,2921,2921,2921,2921,2921,2921,2921,2920,0,2917,3,2920,0,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2919
B|ICT-SMC EURUSD in-regime 2018-2025,2920,2920,2920,2160,2919,0,2830,0,2920,2920,2920,2920,2920,2920,2920,2920,0,2917,2,2920,0,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2919
B|ICT-SMC EURUSD out-of-regime 2013-2017 (full 5yr),1823,1823,1823,0,0,1531,0,1448,1823,1823,1823,1823,1823,1823,0,0,1823,0,358,0,361,0,0,1823,1552,361,1552,362,0,0,1823,1552,361,1552,362,0,0,1823,1552,361,1552,362,0,0,1823,1823,1552,1552,0,0,1823,1552,361,1552,362,0,0,1823,1552,361,1552,362,1823,0
B|ICT-SMC SPX500 in-regime 2018-2025,2918,2918,2918,2161,2918,0,2830,0,2918,2918,2918,2918,2918,2918,2917,2917,0,2918,0,2918,0,2918,2918,2917,2918,2918,2918,2918,2918,2918,2917,2918,2918,2918,2918,2918,2918,2917,2918,2918,2918,2918,2918,2918,2918,2918,2918,2918,2918,2918,2917,2918,2918,2918,2918,2918,2918,2917,2918,2918,2918,2918,2918,2918
"B|ICT-SMC SPX500 out-of-regime 2017 (1yr, not a full regime test)",363,363,363,0,1,358,0,284,363,363,363,363,363,363,3,2,358,0,363,2,358,3,3,363,363,363,363,363,3,3,363,363,363,363,363,3,3,363,363,363,363,363,3,3,363,363,363,363,3,3,363,363,363,363,363,3,3,363,363,363,363,363,363,1
B|ICT-SMC XAUUSD in-regime 2018-2025,2921,2921,2921,2161,2920,0,2830,0,2921,2921,2921,2921,2921,2921,2920,2920,0,2918,2,2921,0,2921,2921,2920,2921,2921,2921,2921,2921,2921,2920,2921,2921,2921,2921,2921,2921,2920,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921,2920,2921,2921,2921,2921,2921,2921,2920,2921,2921,2921,2921,2921,2920
"B|ICT-SMC XAUUSD out-of-regime 2017 (1yr, not a full regime test)",361,361,361,0,0,361,0,287,361,361,361,361,361,361,0,0,361,0,358,0,361,0,0,361,361,361,361,361,0,0,361,361,361,361,361,0,0,361,361,361,361,361,0,0,361,361,361,361,0,0,361,361,361,361,361,0,0,361,361,361,361,361,361,0
C|Bollinger BTCUSDT,3162,3162,3162,2404,2920,0,2830,0,3162,3162,3162,3162,3162,3162,2921,2920,0,2918,3,2921,0,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,3161,3161,2922,2922,3165,3165,2921,2922,2922,2922,2922,3165,3165,2921,2922,2922,2922,2922,3089,3163
