instrument,target,stop,trigger,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,win_rate,risk_med,rr_med,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe
NAS100,range,sneaky,c3,104,104,PASS,48,56,1.0516304814962174,0.8125748425511321,-0.4123941342009555,6.020272629416132,73.87233502210216,0.2995029370755383,0.03219702306966186,0.16997079914219432,-0.13777377607253244,0.3173076923076923,11.618749999999864,1.0,17,63,24,1010,60,44,0.6828008544365468,1.0035170989982147,-2.56903384769286,0.019906180685274343
NAS100,range,sneaky,session,134,134,PASS,59,75,1.067693551011903,0.8145975973837805,-0.45655246095909885,5.296939840350257,55.69274306060383,0.3089705087467064,0.04076005886204052,0.17388574161765943,-0.13312568275561895,0.3283582089552239,10.743999999999915,1.0,20,78,36,1010,76,58,0.7412054176699633,0.9230415156495244,-1.9227766178459575,-0.456999476795192
NAS100,range,lod,c3,104,104,PASS,48,56,0.9693162433237739,0.7557686150311583,-0.5762436784787469,4.40281126361554,44.76918561903601,0.2911180536403348,-0.01862908365095475,0.15454556539913097,-0.17317464905008573,0.3173076923076923,12.71550000000002,1.0,17,61,26,1010,60,44,0.6713021189195192,0.8816251161060635,-2.63991623859709,-0.7722398107704322
NAS100,range,lod,session,134,134,PASS,59,75,0.9934612120981781,0.7657011542434432,-0.6079704680696595,4.271751417001959,39.245900510936195,0.3028009442937667,-0.0038495973107112815,0.1590914489365969,-0.16294104624730826,0.3283582089552239,12.100000000000819,1.0,20,76,38,1010,76,58,0.7287876612361318,0.8208980520287698,-1.9958415861267946,-1.213450384071439
NAS100,swing,sneaky,c3,87,87,PASS,32,55,1.546539599280177,1.2339006709450586,0.260937878242072,19.237503109484273,483.55931881161393,0.22179361489454158,0.3370439104445662,0.16785518802454827,0.16918872242001792,0.3218390804597701,11.827499999999418,1.0,3,52,32,968,52,35,0.7149638830470291,2.0854816083650425,-2.2548374041173562,2.6038740364064252
NAS100,swing,sneaky,session,111,111,PASS,37,74,1.3634229363497203,1.0642089980936134,0.08977312718765362,18.147908108399957,447.121446790368,0.27559647277929133,0.2209407481790316,0.1743995042441521,0.04654124393487952,0.3153153153153153,10.720499999999902,1.0,3,65,43,968,65,46,0.6683391270791637,1.7107696544052362,-2.748048995371995,1.8890375378534032
NAS100,swing,lod,c3,87,87,PASS,32,55,1.3420511423822996,1.0756027959828112,0.10667630206667358,14.165254300478987,299.87173885123724,0.21054094368210607,0.20439183078371737,0.15190228590712745,0.05248954487658987,0.3218390804597701,13.087500000000091,1.0,3,50,34,968,52,35,0.6919644247187177,1.7160020264005231,-2.453790054163006,2.2595879358182627
NAS100,swing,lod,session,111,111,PASS,37,74,1.1945787923050237,0.9363404770588457,-0.11170443579153938,12.866291736882738,263.44241063639817,0.2647575223730825,0.11523113302435174,0.15975484187072045,-0.04452370884636869,0.3153153153153153,12.293499999999767,1.0,3,63,45,968,65,46,0.6510434093320652,1.409603281018579,-2.908379097574061,1.4342246640823573
US30,range,sneaky,c3,117,117,PASS,55,62,1.05187082909198,0.8467566811684075,-0.37688435152712363,3.3173818961087878,27.457242041265054,0.19020973981926265,0.0318881318448843,0.1408585551028855,-0.10897042325800119,0.3504273504273504,30.7345000000023,1.0,12,69,36,1048,56,61,0.7650501797842947,0.9236057492021287,-1.7377575226802202,-0.5542085854965239
US30,range,sneaky,session,145,144,PASS,68,76,1.1443819280372722,0.9234048046130803,-0.19756838861170942,3.10778286086756,21.554184361598217,0.1695037761746762,0.084221591624134,0.1359141220485629,-0.05169253042442888,0.3611111111111111,30.88875000000189,1.0,14,80,50,1048,70,74,0.8426068223579307,1.0043116072638187,-1.100155640392885,0.029561347708322333
US30,range,lod,c3,117,117,PASS,55,62,1.0548755649549486,0.8560896117421019,-0.3553628860285371,2.756743340899117,22.410883569233597,0.18895916519142916,0.031051363646541087,0.12402410649468985,-0.09297274284814877,0.38461538461538464,34.393999999998414,1.0,12,62,43,1048,56,61,0.7504857157978577,0.9558766872120665,-1.9007011778346372,-0.314318572000469
US30,range,lod,session,145,144,PASS,68,76,1.1311157026386887,0.9230066016167499,-0.19922876115959215,2.7971824673215284,19.44628718777348,0.1732648054059101,0.07084844255779582,0.11824698866389907,-0.04739854610610322,0.3888888888888889,35.99250000000029,1.0,14,72,58,1048,70,74,0.8167754523625081,1.0321772207256277,-1.316088976797241,0.21625294865334552
US30,swing,sneaky,c3,100,100,PASS,39,61,1.1279605246448883,0.9175474996472057,-0.1657696702705995,5.535843682049214,52.59890857381323,0.1487224902843463,0.08105976042694313,0.1416260545723876,-0.06056629414544447,0.32,30.88875000000189,1.0,3,60,37,1031,48,52,0.8551874786681491,0.9734389185457872,-0.9289205749454789,-0.16963156268728888
US30,swing,sneaky,session,122,122,PASS,47,75,1.1523590762295053,0.9366526107522991,-0.13897214981513556,4.944981120832304,42.12642343307085,0.18786931054273648,0.09291959435468157,0.13769962213188894,-0.04478002777720733,0.32786885245901637,31.27375000000211,1.0,4,70,48,1031,57,65,0.8106385501027223,1.0552818941077506,-1.2476081076359387,0.33825404362412104
US30,swing,lod,c3,100,100,PASS,39,61,1.1388836410669974,0.9317730735410809,-0.13805731918428524,4.975824553094441,47.296850905266844,0.1491465201294366,0.0800603422512128,0.12508253154081717,-0.0450221892896044,0.36,34.53574999999819,1.0,3,54,43,1031,48,52,0.856573799098057,1.000598574066628,-0.9232112146924267,0.0038568134920953087
US30,swing,lod,session,122,122,PASS,47,75,1.1527877026599205,0.9458976638498052,-0.11908736809467514,4.5452785871793875,38.534871448541885,0.1817647325288253,0.08545681957059541,0.11999657916899649,-0.03453975959840108,0.36065573770491804,36.10924999999952,1.0,4,63,55,1031,57,65,0.8093121719937102,1.079933704147414,-1.2614568429414006,0.49003830988495706
