instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2018,yr_2019,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026
AAPL,D1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",0.9394588548008013,0.38515913353537373,115,70,PASS,57,13,1.7471190601742403,1.7176678144214488,0.6853486393828572,4.596971831657502,47.91630776870121,0.05247646253507184,0.3034657671686306,0.00937279238665604,0.29409297478197455,21.242603701804143,20.58650823473822,7.689710638281635,490.52271195326944,0.5571428571428572,0.5571428571428572,16,28,26,2034,0,1.2217796228249294,0.0344149459193707,40,30,1.7258367275545523,1.7065044145068808,3.7867529549213153,3.680389915577621,12.090973922725649,0.587325144451793,9,6,-1.860384367369308,4.420143005494543,0.7159263123143514,12.090973922725649,-3.3437148658334834,4.525999253537473,-1.3591362428278118,3.968477110087547,1.428224106609255
AAPL,D1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",0.9394588548008013,0.38515913353537373,115,57,PASS,46,11,1.3764864726080877,1.3558816925203054,0.3786216859611377,3.2384801611339786,43.249268983379146,0.059035258292447455,0.17497014526596655,0.00827465204083783,0.16669549322512875,9.973298280160094,9.501643113832339,8.469191991641026,569.9063443293144,0.5087719298245614,0.5087719298245614,23,25,9,2030,0,1.0954045335757414,0.02807881773399015,30,27,1.371778378012656,1.3382537395086884,2.344749107720208,2.128953914978463,5.727927277966926,0.6028354474425904,9,6,-1.5311839302938473,3.4673463066359274,1.7237370691611056,5.727927277966926,-4.168494090333682,2.912055480041495,-1.678066780015991,1.4818782343430694,1.5664435463273345
AAPL,D1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",0.9394588548008013,0.38515913353537373,207,74,PASS,53,21,1.3783211550256609,1.3620509074486962,0.38611029172861067,6.377279340975225,68.68656124369458,0.07132170360012643,0.21241689980469633,0.007528965268969495,0.20488793453572682,15.718850585547528,15.161707155643784,8.540699049745896,578.3212927941022,0.40540540540540543,0.40540540540540543,12,40,22,2120,0,1.1532273530545272,0.03490566037735849,41,33,1.3454823438543164,1.3822288598276562,1.9881824293182524,2.1371352450739702,6.108728448752734,0.4029050545590326,9,6,-0.06412118779230536,6.108728448752734,1.4473374571962143,5.068475096668646,-4.615944042035544,2.699353778189165,1.7922941776746406,2.9775741094774952,-0.2519906824872592
AAPL,D1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",0.9394588548008013,0.38515913353537373,197,123,PASS,80,43,1.5396912273403867,1.5043039490287058,0.7102016651480215,3.2965773783388053,23.16726906653028,0.07789630988395888,0.2757338411864336,0.014216197206203469,0.2615176439802302,33.915262465931335,32.166670209568316,3.928387443893655,292.53332331028605,0.4715447154471545,0.4715447154471545,42,61,20,2126,0,1.3628557838504625,0.057855126999059266,74,49,1.6199514457873183,1.340804739102046,3.529343292967172,2.131268079423005,15.694927236557831,0.4879251453229128,9,7,-3.69788865862689,15.694927236557831,8.78125511110452,1.2349801841471213,1.1475798922648583,2.8755907054088663,-0.8079217951361031,3.0365268945571593,3.901620639290952
AAPL,D1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.9394588548008013,0.38515913353537373,135,74,PASS,54,20,1.5832673655837444,1.5484970934819007,0.6153999164253868,4.1825597127368415,35.335876264012406,0.08442046694595579,0.32316164849910173,0.014749180607275559,0.30841246789182614,23.91396198893353,22.822522623995134,3.776020174417326,269.95099724404776,0.44594594594594594,0.44594594594594594,32,41,1,2051,0,1.2458717515428477,0.03607996099463676,43,31,1.8216544123145346,1.232988172156622,4.5098993130484795,1.550766863740917,9.879033789951892,0.43286335838989487,9,6,3.875539160795329,9.879033789951892,8.851250677353812,-2.126128967464926,-2.1556635071474632,-1.2181629436016341,2.8302813189843476,0.951555841629222,1.93481725349456
AAPL,D1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",0.9394588548008013,0.38515913353537373,197,112,PASS,73,39,1.56850630318394,1.5385041870872105,0.7296198022139029,2.3797976109221475,21.397457855404127,0.07487131437939716,0.24212345505535549,0.010229089901815357,0.23189436515354017,27.117826966199814,25.9721688971965,5.336327339371593,398.37486744124374,0.5446428571428571,0.5446428571428571,41,45,26,2125,0,1.2868904697517967,0.05270588235294118,66,46,1.8393463389991338,1.1979864917236016,4.540853462595753,1.3518532820596698,10.966493379166437,0.422240184197716,9,7,-1.8787718665230106,10.966493379166437,8.549052936314515,2.1761201038117495,1.6801655280235528,2.4831331714192904,-1.4696072731462786,1.2295986356155029,2.2359842825147367
AAPL,D1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",0.9394588548008013,0.38515913353537373,111,98,PASS,23,75,0.6138526339633621,0.5948217743079344,-0.8549474643857894,0.7072887318803847,22.455129771146414,0.24700267816133548,-0.2673138072917775,0.01828752680611046,-0.28560133409788796,-26.196753114594195,-27.98893074159302,3.0306210330002443,231.0683854658465,0.29591836734693877,0.29591836734693877,27,66,5,2091,0,0.750993857654882,0.0468675274988044,65,33,0.5055794801146964,0.7935222562644667,-5.334266422854383,-1.7770931373415413,3.3072543275797273,,9,3,-6.221243963390951,-7.963519373020948,-6.781516338655779,-5.909338225380661,3.3072543275797273,2.513734860585167,-5.2054012132039755,0.8616942005612924,-2.5905950166668914
AAPL,D1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",0.9394588548008013,0.38515913353537373,51,46,PASS,6,40,0.4058299696316949,0.38894567444430045,-1.0394823991683393,-3.0540365294165537,42.83108656532262,0.17825683721474153,-0.4038815295325405,0.02030971226999511,-0.4241912418025356,-18.578550358496862,-19.512797122916638,2.766671147588056,205.63033866243129,0.30434782608695654,0.30434782608695654,12,30,4,2024,0,0.8209139133745221,0.022727272727272728,29,17,0.4671656493130953,0.2740922953235808,-5.950457422629029,-10.555565781709708,-0.06442597663246663,,9,0,-1.0514152785764397,-2.222753876717371,-5.763102683794989,-0.06442597663246663,-1.019999775942136,-3.1354579850804596,-2.4964432260957605,-1.720045169245154,-2.039153150831863
AAPL,D1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",0.9394588548008013,0.38515913353537373,269,144,PASS,34,110,0.8237009559663305,0.8066904157311243,-0.42205742263963536,1.179846838629684,15.721024939004922,0.27956641583806524,-0.10546501449754153,0.011630163379501878,-0.11709517787704339,-15.18696208764598,-16.861705614294248,5.080951500146128,346.52304216417025,0.3611111111111111,0.3611111111111111,44,84,16,2134,0,0.8369226921714443,0.06747891283973759,83,61,0.6452807615670859,1.0639878860311647,-3.3190346882910076,0.46862517733708786,9.548568043418394,,9,3,0.043961028758794596,-12.79975320932169,-8.769646739976732,-3.2225296087682342,5.73464557869082,-5.718062562537609,-0.07710308561268397,9.548568043418394,-1.6017850589453058
AAPL,D1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",0.9394588548008013,0.38515913353537373,147,58,PASS,28,30,1.2613941568608928,1.2439793259640208,0.26345655775581056,4.74505963949161,53.50367118454148,0.09386511683181618,0.14967371925696407,0.008668676189215175,0.1410050430677489,8.681075716903916,8.178292497929435,7.605305365714386,466.38766946129215,0.39655172413793105,0.39655172413793105,20,32,6,2116,0,1.0790573339240677,0.027410207939508508,32,26,1.8953505161371023,0.6781054226373713,4.70337874977297,-2.7786996302192515,4.92869488809189,0.6026557364315019,9,6,1.9238217912742526,1.9694561048800816,4.633575691864297,0.49670422154454896,4.92869488809189,-3.0585329256871443,-2.6811471872966566,2.1872357831905695,-2.2215158699324036
