label,N,k_atr,R,H,is_baseline,n_trades,guard,gross_pf,net_pf,sharpe,max_dd,win_rate,top_year_share,n_pos_years,n_years
N10_katr1.0_R1.0,10,1.0,1.0,24,False,829,PASS,1.0766316314213933,1.0172135708569698,0.0788993707342133,0.26981254508890684,0.5186972255729795,2.656454953979919,5,8
N10_katr1.0_R1.5,10,1.0,1.5,24,False,738,PASS,1.1296081294575877,1.0754367400720362,0.2047211511139844,0.2987018290795088,0.45528455284552843,1.414333226331919,4,8
N10_katr1.0_R2.0,10,1.0,2.0,24,False,695,PASS,1.145966430093123,1.094093281497935,0.1086779142019884,0.2974902936993797,0.4244604316546763,2.4710287263030106,4,8
N10_katr1.5_R1.0,10,1.5,1.0,24,False,725,PASS,1.146699213865759,1.0968295416764904,0.37351978934467195,0.22062943066390184,0.5296551724137931,0.7293467447896663,5,8
N10_katr1.5_R1.5,10,1.5,1.5,24,False,641,PASS,1.1699324230727874,1.1237205805573767,0.2631762306139655,0.22174657085801938,0.48049921996879874,1.1109685733167405,5,8
N10_katr1.5_R2.0,10,1.5,2.0,24,False,615,PASS,1.1478556162957376,1.103140619944531,0.01746502127733104,0.2541503719780675,0.45691056910569106,16.376456340115276,3,8
N10_katr2.0_R1.0,10,2.0,1.0,24,False,646,PASS,1.2109594153878678,1.1648230402821507,0.5583673899996464,0.1776832079901719,0.5356037151702786,0.511624247175851,5,8
N10_katr2.0_R1.5,10,2.0,1.5,24,False,587,PASS,1.2227125927089526,1.1781514992950612,0.36843620376367237,0.22681094431724405,0.5008517887563884,0.890157214589781,5,8
N10_katr2.0_R2.0,10,2.0,2.0,24,False,560,PASS,1.1965331307148765,1.1544320992822257,0.12539870518974708,0.2543055813589975,0.46785714285714286,1.6442225660038492,4,8
N20_katr1.0_R1.0,20,1.0,1.0,24,False,605,PASS,1.1078532739521985,1.045492837446065,0.18624618632809242,0.22464558267479806,0.5239669421487604,0.9906468311239186,4,8
N20_katr1.0_R1.5,20,1.0,1.5,24,False,546,PASS,1.1739245727581906,1.1162361199127384,0.35683694518612685,0.243207920054093,0.4597069597069597,0.7000451447202047,5,8
N20_katr1.0_R2.0,20,1.0,2.0,24,False,510,PASS,1.1743449499288734,1.1202718803361407,0.20699613540119444,0.34879944427736287,0.4235294117647059,1.258083263660738,5,8
N20_katr1.5_R1.0,20,1.5,1.0,24,False,544,PASS,1.154157272762364,1.103176446925072,0.3430926411601008,0.10108260189999975,0.5220588235294118,0.38439147518675454,6,8
"N20_katr1.5_R1.5 [BASELINE, repro-only]",20,1.5,1.5,24,True,484,PASS,1.231666063536375,1.1828685365228173,0.3998473243178564,0.24139588039427895,0.4793388429752066,0.5318940278203939,6,8
N20_katr1.5_R2.0,20,1.5,2.0,24,False,456,PASS,1.2620659305540494,1.2121734051932733,0.2812220960082271,0.19429706727571275,0.4605263157894737,0.8875503580341855,4,8
N20_katr2.0_R1.0,20,2.0,1.0,24,False,500,PASS,1.1416003162378634,1.0985809549300583,0.24167302262281312,0.205735252903971,0.518,0.815379459718749,6,8
