instrument,timeframe,family,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,risk_med,risk_med_bps,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,n_ruin_days,equity_final,trades_per_day,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
AAPL,D1,trend,0,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 5, 'k_atr': 0.5, 'R': 2.0, 'H': 24}",1.0284800550112951,0.43797147945800985,127,73,PASS,57,16,1.6128276292100518,1.5790378972332424,0.6055410864819742,4.376180945522618,46.06349684003183,0.06494644276937533,0.25609772710888756,0.010844016473484822,0.24525371063540277,18.695134078948794,17.903520876384402,0.734242477197629,439.9264178580484,0.5205479452054794,0.5205479452054794,16,27,30,1977,0,1.1894576280731242,0.03692463328275165,58,15,1.423293354656864,2.3696628559487225,2.4504902600019993,5.991004800975542,8.632164513256441,0.4821489902940085,8,4,-0.2066504708294702,-0.38178518553797414,0.10828049613515067,8.632164513256441,5.413131131490482,-2.6310492532321974,-0.41039196809405853,7.379821613196027
AAPL,D1,trend,1,"{'ema_trend': 200, 'ema_fast': 50, 'ema_pull': 20, 'swing': 10, 'k_atr': 0.5, 'R': 1.5, 'H': 48}",1.0284800550112951,0.43797147945800985,127,59,PASS,48,11,1.3882019821791496,1.3629717346463945,0.39989451016289956,2.9607134372141846,39.995963354184724,0.051539477114356795,0.17863135977841396,0.009723872245364452,0.1689074875330495,10.539250226926423,9.96554176444992,0.8263573300486442,465.8026781194969,0.5084745762711864,0.5084745762711864,22,26,11,1971,0,1.100429585217437,0.029934043632673768,46,13,1.2687562475476262,1.7356434789089068,1.7672775440035928,4.080099019066164,5.164126030550199,0.5181982226969524,8,5,-1.322317545922836,0.6595245507974038,2.110904706532332,3.1950178613617255,3.0489517309941334,-1.8022732089294622,-1.088392360933575,5.164126030550199
AAPL,D1,trend,2,"{'ema_trend': 100, 'ema_fast': 30, 'ema_pull': 10, 'swing': 5, 'k_atr': 1.0, 'R': 3.0, 'H': 48}",1.0284800550112951,0.43797147945800985,191,62,PASS,51,11,1.60209791013805,1.5791376890222446,0.5217983195338783,7.2012992469046475,84.21755262127644,0.08363630576485588,0.2900894158389938,0.008400364019482942,0.2816890518195108,17.985543782017615,17.46472121280967,0.9125177574259435,511.1292397758682,0.46774193548387094,0.46774193548387094,10,27,25,1969,0,1.1824234753571738,0.03148806500761808,49,13,1.5219134081011725,1.7619988596849312,2.7236809287107326,3.6348849438010973,10.105573315376342,0.5786278058629593,8,5,0.6767439651849585,-2.3155339560406656,6.452029421932259,6.232655029556336,3.9905887883308067,-3.0488365591607667,-4.628498792369598,10.105573315376342
AAPL,D1,breakout,0,"{'N': 20, 'k_atr': 1.0, 'R': 2.0, 'H': 24}",1.0284800550112951,0.43797147945800985,174,111,PASS,77,34,1.419981446530566,1.3831053091093395,0.5669595994152433,3.2259784653623473,23.02566724135768,0.07876481892475005,0.2300846395444076,0.016641041391166265,0.21344359815324135,25.539394989429244,23.69223939500979,0.4656038232200572,245.45126030651505,0.43243243243243246,0.43243243243243246,39,60,12,1951,0,1.253224026381231,0.05689390056381343,78,33,1.3721647716059442,1.4123719193781177,2.3411037365653136,2.4935568879865664,9.7052489850698,0.4096383133421309,8,6,7.687322470936865,0.49559534642551256,9.7052489850698,-2.7043914129676137,1.7066654655505304,-0.137449621994705,3.078075539851604,3.8611726221378015
AAPL,D1,breakout,1,"{'N': 50, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",1.0284800550112951,0.43797147945800985,116,75,PASS,61,14,1.5209822190327111,1.4826516396119565,0.5711338951872283,4.019758192878304,33.31119532759169,0.04202242071316434,0.29229236740013403,0.016842125268025438,0.27545024213210856,21.92192755501005,20.658768159908142,0.47330204190663494,239.69637580762668,0.4266666666666667,0.4266666666666667,32,42,1,1949,0,1.2191937083487874,0.038481272447408926,55,20,1.511205626059804,1.4030680022095068,3.09578328449506,2.4368884120041825,6.765925926026489,0.32750868172076786,8,6,3.857637288398637,1.8760922853939885,6.765925926026489,-2.088925253167328,5.778484561053392,-0.08597637972218375,2.833358104827375,1.722171627097774
AAPL,D1,breakout,2,"{'N': 20, 'k_atr': 1.5, 'R': 1.5, 'H': 24}",1.0284800550112951,0.43797147945800985,174,107,PASS,74,33,1.4376109465544955,1.4068355760394498,0.6021402302919419,2.1804479964719667,19.22500520322611,0.04998139082104091,0.20699059945470813,0.012166340805521546,0.19482425864918654,22.14799414165377,20.84619567546296,0.6603465824845536,343.4247838813103,0.5046728971962616,0.5046728971962616,45,50,12,1951,0,1.222315311859929,0.0548436699128652,74,33,1.4771666305745346,1.2460685281729083,2.979019531612013,1.629062203440511,12.308951924634261,0.5904651436771519,8,6,3.4047331444257827,0.08828322934003979,12.308951924634261,-0.5098721561439974,-0.19795162381138565,1.91484874936318,3.2442425017765513,0.5929599058785322
AAPL,D1,meanrev,0,"{'N': 20, 'k_ext': 2.0, 'swing': 3, 'k_atr': 0.5, 'R': 1.5, 'H': 24}",1.0284800550112951,0.43797147945800985,121,105,PASS,20,85,0.7237098568356102,0.6970994119304477,-0.6435947310560036,0.959677298089561,18.842295808864034,0.23877893233485806,-0.18291504400214953,0.02226524042326365,-0.2051802844254131,-19.2060796202257,-21.543929864668378,0.4011063318854937,197.65826304591312,0.3238095238095238,0.3238095238095238,33,69,3,1947,0,0.8003640727139135,0.053929121725731895,71,34,0.6811407690023112,0.7325749006942398,-2.9914331490986164,-2.3585009792698894,1.3287583123713653,,8,2,-2.28588044793607,-1.1685235783362775,-6.357522318770423,1.3287583123713653,-7.8569962888118985,0.6978582436474915,-3.3040462812509404,-2.597577505581632
AAPL,D1,meanrev,1,"{'N': 20, 'k_ext': 2.5, 'swing': 3, 'k_atr': 0.5, 'R': 1.0, 'H': 12}",1.0284800550112951,0.43797147945800985,77,68,PASS,7,61,0.513985585211317,0.4903669465281425,-1.0060613008626942,-1.9433290021404208,26.47643508844741,0.2192667273278735,-0.3092518263487812,0.023154476784780692,-0.3324063031335619,-21.02912419171712,-22.603628613082208,0.3576279896539134,173.0087993014336,0.3382352941176471,0.3382352941176471,21,42,5,1938,0,0.7950594306655004,0.03508771929824561,50,18,0.5279965195400909,0.3927524211267508,-5.062687681350248,-7.234904007961075,0.783814613975716,,8,1,0.783814613975716,-2.1685235783362793,-5.0815880708533445,-0.309750381873388,-7.708943406936154,-0.6249199807293464,-3.130937284164832,-4.362780524164579
AAPL,D1,meanrev,2,"{'N': 50, 'k_ext': 2.0, 'swing': 5, 'k_atr': 1.0, 'R': 1.5, 'H': 24}",1.0284800550112951,0.43797147945800985,254,126,PASS,25,101,0.9116207053082254,0.8898857830226766,-0.2224806992952867,1.3439622191799023,17.079448669106707,0.13496738715823386,-0.0496013188724502,0.013090181726531534,-0.06269150059898174,-6.249766177928725,-7.8991290754716985,0.6114854565771299,317.41857836118993,0.3968253968253968,0.3968253968253968,38,67,21,1969,0,0.9166439379610913,0.06399187404773997,89,37,0.8654495595684452,0.9527123335997523,-1.0852593328002136,-0.360831072647865,2.8771387449809858,,8,3,-1.1558107680595193,2.8771387449809858,-4.478095129690841,-2.3610100062883412,-4.145365618525251,2.313937506988841,1.8470789155957745,-2.797002720473346
AAPL,D1,momentum,0,"{'N': 24, 'k_atr': 2.0, 'R': 2.0, 'H': 48}",1.0284800550112951,0.43797147945800985,154,65,PASS,34,31,0.828428733860485,0.8150312658486959,-0.2710532821129444,3.4637194863580065,46.211314867497784,0.10249619069339991,-0.11297926207940079,0.010074295258793546,-0.12305355733819436,-7.3436520351610515,-7.9984812269826335,0.772438534968968,389.23916523001935,0.3076923076923077,0.3076923076923077,16,41,8,1969,0,0.9180288114321651,0.033011681056373796,50,15,0.8776252909442654,0.6126781417254984,-0.9528710611244461,-3.40351118274462,1.0607102600894225,,8,3,-3.0696161542721025,-0.23837494850099405,0.09895331219006298,0.220811406263973,-2.1140672334516393,1.0607102600894225,-1.1647860774355192,-2.7921117918658362
