book,multiplier,sharpe,max_dd,n_challenges,funded_rate
Headline,1.0,1.613355290682952,0.033884328167362435,154,0.0
Headline,3.0,1.6133552906829518,0.09915648736858076,154,0.012987012987012988
Headline,5.0,1.613355290682952,0.1611657456952923,154,0.19480519480519481
Headline,6.0,1.6133552906829518,0.19097233514020673,154,0.2727272727272727
Headline,7.0,1.613355290682952,0.21999429190345002,154,0.2987012987012987
Headline,8.0,1.613355290682952,0.24824240933355626,154,0.2792207792207792
Headline,10.0,1.613355290682952,0.3024611980203105,154,0.3246753246753247
Headline,14.0,1.613355290682952,0.4021062374021092,154,0.33116883116883117
New book,1.0,1.1817203232357438,0.07008250201042614,154,0.0
New book,3.0,1.181720323235744,0.19855882768199556,154,0.18181818181818182
New book,5.0,1.181720323235744,0.31244472740034573,154,0.34415584415584416
New book,6.0,1.181720323235744,0.36690598992885265,154,0.35714285714285715
New book,7.0,1.181720323235744,0.42028521769696814,154,0.35714285714285715
New book,8.0,1.1817203232357438,0.47099977849002306,154,0.3181818181818182
New book,10.0,1.181720323235744,0.564112396321736,154,0.24025974025974026
New book,14.0,1.181720323235744,0.7164955480654622,154,0.2012987012987013
