n_leg,n_months,gross_sharpe,net_sharpe,max_dd,cagr,avg_turnover,avg_cost_bps_per_month,worst_month_ret,worst_month_date
1,192,0.03224394934424037,0.024018482619479618,-0.3058809526589752,-0.0029575427814987343,0.19791666666666666,0.7138744464938281,-0.10576043362284615,2020-03-01
2,192,0.23217306772575222,0.22832708684418282,-0.1818933980634222,0.014641083934928023,0.19791666666666666,0.24673702507569986,-0.06387712305584972,2014-09-01
3,192,0.0009693301808601211,-0.0012657658535465241,-0.2572473587079934,-0.002543316430172804,0.09722222222222221,0.13073394406916797,-0.056069481702622735,2011-09-01
