instrument,variant,params,bh_sharpe,bh_max_dd,n_cands,n_trades,guard,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,gross_R_total,net_R_total,win_rate,gross_win_rate,n_targets,n_stops,n_time,n_obs,equity_final,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,yr_2020,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,yr_2026,dsr,oos_holds,gross_edge,not_concentrated,beats_bh,SURVIVOR
BTCUSDT,0,"{'funding_bar': 5, 'oi_bar': 70, 'k_atr': 1.0, 'R': 1.5, 'H': 48}",0.8103099637613073,0.7660925282853773,450,419,PASS,121,298,1.0423146672384969,0.5979611930948782,-2.129073886580116,-0.9864207226184872,6.69148896518506,0.757294984166115,0.024876457344175994,0.34343856633218617,-0.31856210898801024,10.423235627209742,-133.4775236659763,0.4081145584725537,0.4105011933174224,171,246,2,2117,0.25430092462445025,201,218,0.7221594266447686,0.501839596432141,-3.4090854701690176,-7.015018735081564,3.2378156379490397,,7,1,3.2378156379490397,-18.10803284887155,-25.373975486409403,-40.294718600965325,-15.316900132014352,-10.044454295871578,-27.57725793979312,0.05424019684675764,False,True,False,False,False
BTCUSDT,1,"{'funding_bar': 5, 'oi_bar': 70, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.8103099637613073,0.7660925282853773,450,414,PASS,120,294,1.054594964270593,0.6550374986577268,-1.7443482396321188,-0.18713429301965642,5.644701836188197,0.7415824902751538,0.0355440609840211,0.33802515451528375,-0.3024810935312626,14.715241247384736,-125.22717272194274,0.34299516908212563,0.34541062801932365,142,269,3,2117,0.2733103042384076,199,215,0.779929582166733,0.5582338507697739,-2.5316974348921746,-5.93427246688899,3.23781563794903,,7,1,3.23781563794903,-19.879188265111647,-18.24234380185438,-44.913201745612554,-11.80854231164853,-9.544454295871576,-24.07725793979308,0.2706438539630963,False,True,False,False,False
BTCUSDT,2,"{'funding_bar': 10, 'oi_bar': 70, 'k_atr': 1.0, 'R': 1.5, 'H': 48}",0.8103099637613073,0.7660925282853773,583,541,PASS,196,345,1.0324874970499682,0.5889592920514531,-2.4428850068236803,-0.8370050612330995,5.034015738384319,0.8353832072074244,0.019175836868996116,0.34647795543470095,-0.3273021185657049,10.374127746126899,-177.07044614404634,0.4066543438077634,0.40850277264325324,219,319,3,2118,0.16252167005696086,255,286,0.6818478089314304,0.5169046857189026,-3.921750155543174,-6.6733462026355905,-2.9747437218237582,,7,0,-2.9747437218237582,-23.864327824942176,-33.03291954140645,-45.45621862575637,-19.023691391173227,-10.921258794855422,-41.79728624408894,0.008452951077157841,False,True,False,False,False
BTCUSDT,3,"{'funding_bar': 10, 'oi_bar': 70, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.8103099637613073,0.7660925282853773,583,531,PASS,194,337,1.035357166169568,0.6402569431675803,-2.0730038939644952,-0.3136038067442964,4.380844202607324,0.822775813196771,0.023140950439814602,0.3405348131873374,-0.3173938627475228,12.287844683541554,-168.5361411189346,0.3408662900188324,0.3427495291902072,179,347,5,2118,0.17496860633192113,252,279,0.7423901279448932,0.561115839072739,-3.080743815980047,-5.852067539236845,-3.4747437218237756,,7,0,-3.4747437218237756,-20.6354832411823,-28.57987292191801,-52.07470177040352,-15.347862382013549,-6.635822121847831,-41.787654959745616,0.07880324592752225,False,True,False,False,False
ETHUSDT,0,"{'funding_bar': 5, 'oi_bar': 70, 'k_atr': 1.0, 'R': 1.5, 'H': 48}",0.5017205618635823,0.7926762425576249,413,392,PASS,115,277,0.9705882352941174,0.6512444025581308,-1.7563535174118639,-0.787255231320661,6.774169470357771,0.6723653248019726,-0.01785714285714299,0.24814804085512027,-0.2660051837122632,-7.000000000000053,-104.27403201520718,0.39285714285714285,0.39285714285714285,154,238,0,2045,0.34144286701516846,199,193,0.7682428756237518,0.5486550620722966,-2.7537964782711355,-5.8199194835175065,-2.7728080728581066,,6,0,,-2.7728080728581066,-29.60012707693742,-48.4618085589072,-3.618640880423169,-12.885076607444914,-6.935570818636386,0.25911019706131677,False,False,False,False,False
ETHUSDT,1,"{'funding_bar': 5, 'oi_bar': 70, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.5017205618635823,0.7926762425576249,413,381,PASS,112,269,0.9779257710544782,0.6858455018794322,-1.5186786966492805,-0.033393708143743886,5.85644504978532,0.67628176189392,-0.014774090239128778,0.24901307571690756,-0.2637871659560363,-5.628928381108064,-100.50291022924984,0.33070866141732286,0.33070866141732286,124,255,2,2045,0.3519060223784336,190,191,0.8446911967055544,0.5530815559720734,-1.70371964317059,-5.764144114142649,2.8038770180241057,,6,1,,2.8038770180241057,-25.42476777676948,-45.81589566708569,-7.745476377337442,-10.385076607444912,-13.935570818636425,0.4738635247886992,False,False,False,False,False
ETHUSDT,2,"{'funding_bar': 10, 'oi_bar': 70, 'k_atr': 1.0, 'R': 1.5, 'H': 48}",0.5017205618635823,0.7926762425576249,539,508,PASS,202,306,0.9820846905537463,0.6567488794901323,-1.9297452000903956,-0.49577927443527214,5.185786222474299,0.7633424756030361,-0.0108267716535431,0.25000248904275363,-0.26082926069629675,-5.499999999999895,-132.50126443371875,0.3956692913385827,0.3956692913385827,201,307,0,2035,0.25465229297166514,248,260,0.7933861235950611,0.5469738020595662,-2.347834240370026,-5.970907058716535,-9.860334026810538,,6,0,,-9.860334026810538,-25.670784274183738,-54.51734192465918,-12.244190129542476,-17.47637347901623,-12.732240599506596,0.14612699173119842,False,False,False,False,False
ETHUSDT,3,"{'funding_bar': 10, 'oi_bar': 70, 'k_atr': 1.0, 'R': 2.0, 'H': 48}",0.5017205618635823,0.7926762425576249,539,494,PASS,197,297,0.980356214851379,0.6854949603372836,-1.7331120679195895,0.042262870806997754,4.420665318258289,0.7691196012839933,-0.013162131344521351,0.25136798652502024,-0.2645301178695416,-6.502092884193548,-130.67787822755355,0.3299595141700405,0.3299595141700405,162,331,1,2035,0.2571169793089346,237,257,0.8321787085407929,0.5702312199263442,-1.8250303555800569,-5.663910697714236,-4.742675917291777,,6,0,,-4.742675917291777,-25.940477661865238,-48.77079876262333,-19.19324129667142,-16.47637347901621,-15.554311110085571,0.2852791583602338,False,False,False,False,False
