section,strategy,config,window,win_rate,avg_win_R,avg_loss_R,net_pf,net_sharpe,net_R_mean,n_trades,kill_code
14,"Individual US stocks, 5-family sweep",XOM D1 meanrev v1,OOS 2010-17,73.33333333333333,0.9727684803423385,-0.60245340967013,4.440365475574574,0.9134274939353552,0.5527093096723469,15,DSR + B&H
6,Index trend/macross single-instrument config,US30 D1 macross v1,OOS 2013-17,66.66666666666666,1.5936488159425293,-1.00909338488094,3.1585754892854814,0.8505513785639572,0.7260680823347061,9,OOS-INV(family) + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 macross v1,OOS 2010-17,63.1578947368421,1.9894284308911334,-1.0097646738136223,3.377468856966567,0.8263090717840773,0.8844625502104337,19,DSR + B&H
14,"Individual US stocks, 5-family sweep",WMT D1 macross v0,in 2018-25,62.5,1.622620427425057,-1.011660130142204,2.673197547739301,0.8140851577280768,0.6347652183373341,32,DSR + B&H
2,Index trend/macross single-instrument config,NAS100 D1 macross v1,in 2018-25,62.5,1.8753133937672497,-1.0086305427841742,3.098778185239045,0.735273687644425,0.7938344175604657,16,OOS-INV(family) + DSR
14,"Individual US stocks, 5-family sweep",CAT D1 meanrev v1,OOS 2010-17,61.76470588235294,0.8791970909016109,-0.9894086320320217,1.4354447783788955,0.3793979882835241,0.1647301968387514,34,DSR + B&H
2,Index trend/macross single-instrument config,NAS100 D1 trend v0,in 2018-25,60.0,1.2717545178252183,-0.8488576824831587,2.2472928219927777,1.074349460019686,0.4235096377018674,80,OOS-INV(family) + DSR
2,Index trend/macross single-instrument config,NAS100 D1 trend v1,in 2018-25,58.2089552238806,1.267698267210416,-0.9895745652692443,1.7843249497739788,0.7820423121907577,0.3243603670696626,67,OOS-INV(family) + DSR
6,Index trend/macross single-instrument config,NAS100 D1 trend v1,OOS 2013-17,57.14285714285714,1.2165599931693964,-0.8868032376514088,1.8291317871012869,0.8399606133485062,0.3151186085319085,35,OOS-INV(family) + DSR
6,Index trend/macross single-instrument config,NAS100 D1 macross v0,OOS 2013-17,57.14285714285714,1.4753122935346255,-1.0116184620774125,1.94449106237806,0.7398385489491551,0.4094848268437519,14,OOS-INV(family) + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 trend v0,in 2018-25,55.714285714285715,1.2633794009858061,-0.9253318839905881,1.7176678144214488,0.6853486393828572,0.2940929747819745,70,DSR + B&H
14,"Individual US stocks, 5-family sweep",CAT D1 momentum v1,in 2018-25,55.00000000000001,1.937886203096511,-1.0081254809037004,2.349437273859218,0.8403335874176847,0.6121809452964161,40,DSR + B&H
14,"Individual US stocks, 5-family sweep",CAT D1 momentum v2,OOS 2010-17,54.95495495495496,1.3252619681741047,-1.0134709357217502,1.5953290264026951,0.8409417934700655,0.271778678130927,111,DSR + B&H
14,"Individual US stocks, 5-family sweep",CAT D1 breakout v1,in 2018-25,54.6875,1.8036561776887312,-1.012586814606734,2.1497676939373336,0.9734459403329364,0.5275460718048486,64,DSR + B&H
14,"Individual US stocks, 5-family sweep",AAPL D1 macross v1,in 2018-25,54.54545454545454,1.9907650091736069,-1.0085639455398894,2.3686331655743733,0.6328545371101649,0.6274336661220176,22,DSR + B&H
2,Index trend/macross single-instrument config,US30 D1 macross v0,in 2018-25,54.54545454545454,1.3085251673180247,-1.0080597715851891,1.5576756905122982,0.3491457556132541,0.2555320132711091,22,OOS-INV(family) + DSR
14,"Individual US stocks, 5-family sweep",AAPL D1 breakout v2,in 2018-25,54.46428571428571,1.2164324064797527,-0.9456903509425179,1.5385041870872105,0.7296198022139029,0.2318943651535401,112,DSR + B&H
14,"Individual US stocks, 5-family sweep",XOM D1 momentum v1,OOS 2010-17,54.054054054054056,1.9324304415127225,-1.0139405736664586,2.242190161134754,0.8159417249093888,0.5786924075114771,37,DSR + B&H
10.4,ORB trend-filtered variant (daily 50-SMA gate),NAS100 OR30 1R,in 2018-25,54.01459854014598,0.7639342511919349,-0.8789431290408857,1.0209074591860257,0.0989009100823554,0.00845049239874,822,OOS-INV + CONC + DSR
6,Index trend/macross single-instrument config,SPX500 D1 macross v0,OOS 2013-17,53.333333333333336,1.0880391976100794,-1.010369613730518,1.2307113672055543,0.2325421062059525,0.1087817523178006,15,OOS-INV(family) + DSR
10.4,ORB trend-filtered variant (daily 50-SMA gate),US30 OR15 1R,in 2018-25,53.12084993359893,0.8373469078493485,-1.0016162374466837,0.9473039549333968,-0.2634832465634845,-0.0247433846997875,753,OOS-INV + CONC + DSR
10,ORB @ US cash open (OR-range stop),NAS100 OR30 1R,in 2018-25,52.827843380981975,0.7916925481477018,-0.8743939504384998,1.013973401378088,0.0921741076094599,0.0057636156263053,1609,OOS-INV + CONC + B&H + DSR
2,Index trend/macross single-instrument config,GER40 D1 macross v0,in 2018-25,52.77777777777778,1.5636966697002737,-0.9605608376370659,1.8194172771834232,0.5169516552498227,0.3716861801243077,36,OOS-INV(family) + DSR
10.4,ORB trend-filtered variant (daily 50-SMA gate),NAS100 OR15 1R,in 2018-25,52.69607843137255,0.8623230891541384,-1.001164102394163,0.9595020267206392,-0.2057504826952767,-0.0191794303772885,816,OOS-INV + CONC + DSR
14,"Individual US stocks, 5-family sweep",JNJ D1 meanrev v1,in 2018-25,52.63157894736842,0.8838298156551287,-1.0219247134555474,0.9609642624113092,-0.0316583129049264,-0.0188960139236126,19,DSR + B&H
14,"Individual US stocks, 5-family sweep",XOM D1 meanrev v0,OOS 2010-17,52.5,1.3590951508320568,-0.9843284338838871,1.5260737641814983,0.45156844639495,0.2459689480919834,40,DSR + B&H
