entry_time,exit_time,side,reason,entry_mid,exit_mid,risk_price,gross_R,cost_R,net_R,ret_frac,instrument,or_minutes,target
2018-01-03 14:51:00+00:00,2018-01-03 15:45:00+00:00,long,target,6541.6005000000005,6565.201000000001,23.600500000000466,1.0,0.11013648513802457,0.8898635148619755,0.008898635148619756,NAS100,15,1R
2018-01-04 14:46:00+00:00,2018-01-04 20:59:00+00:00,short,time,6581.4995,6586.7,24.70049999999992,-0.21054229671463884,0.10561131890042745,-0.3161536156150663,-0.0031615361561506627,NAS100,15,1R
2018-01-17 14:45:00+00:00,2018-01-17 16:09:00+00:00,short,stop,6748.4,6773.1345,24.73450000000048,-1.0,0.1037366431502537,-1.1037366431502538,-0.011037366431502538,NAS100,15,1R
2018-01-18 15:01:00+00:00,2018-01-18 16:19:00+00:00,short,stop,6798.5,6815.4,16.899999999999636,-1.0,0.15784896449704483,-1.1578489644970449,-0.01157848964497045,NAS100,15,1R
2018-01-19 14:52:00+00:00,2018-01-19 15:04:00+00:00,short,target,6828.6,6812.1,16.5,1.0,0.16161945454545457,0.8383805454545454,0.008383805454545454,NAS100,15,1R
2018-01-22 14:45:00+00:00,2018-01-22 15:09:00+00:00,long,target,6837.1,6850.800000000001,13.700000000000728,1.0,0.19479697080290934,0.8052030291970906,0.008052030291970906,NAS100,15,1R
2018-01-23 14:45:00+00:00,2018-01-23 15:56:00+00:00,long,target,6944.1005000000005,6963.401000000001,19.300500000000284,1.0,0.1395748098494837,0.8604251901505163,0.008604251901505164,NAS100,15,1R
2018-01-25 14:50:00+00:00,2018-01-25 14:56:00+00:00,short,target,6943.9,6921.699499999999,22.20050000000083,1.0,0.1213403526947546,0.8786596473052454,0.008786596473052454,NAS100,15,1R
2018-01-29 15:37:00+00:00,2018-01-29 18:07:00+00:00,short,stop,6982.7645,7010.39,27.625500000000102,-1.0,0.07289930290854436,-1.0728993029085443,-0.010728993029085443,NAS100,15,1R
2018-02-01 14:55:00+00:00,2018-02-01 20:30:00+00:00,long,stop,6934.8005,6901.1,33.70049999999992,-1.0,0.07719998568270518,-1.0771999856827053,-0.010771999856827053,NAS100,15,1R
2018-02-06 14:48:00+00:00,2018-02-06 20:59:00+00:00,long,time,6539.495,6666.505,166.9949999999999,0.7605616934638779,0.015562030749423646,0.7449996627144543,0.007449996627144543,NAS100,15,1R
