period,n_years,pos_years,win_rate_abs,beat_spy_years,beat_spy_rate,avg_year,worst_year,best_year,cum_return,cum_spy,avg_within_year_sharpe
"last 3 calendar years (2024-2026, 2026 partial to Aug)",3,3,100.0,1,33.33333333333333,15.322040949416383,10.559825201706484,18.170440058473105,53.16751305905787,67.12495047579581,1.3739404867463147
"last 4 calendar years (2023-2026, 2026 partial to Aug)",4,4,100.0,1,25.0,13.253383999731088,7.047413150675208,18.170440058473105,63.96186051694408,110.8711886144894,1.1894073194116408
last 3 COMPLETE years (2023-2025),3,3,100.0,1,33.33333333333333,14.151236932405956,7.047413150675208,18.170440058473105,48.301483127176056,85.49753187761885,1.2455619074247677
