variant,vlabel,is_new_trial,inst,label,regime,n,win_rate,gross_pf,net_pf,sharpe,ending_cap,bh_ending,top_year,ruin_trade
baseline,"baseline (sec 28, unfiltered)",False,XAUUSD,XAUUSD in-regime 2018-2025,in,2196,0.3410746812386157,1.0314183699310797,0.6737823284290079,-3.09043224325478,165.42010923467578,331603.89707604144,,1487.0
baseline,"baseline (sec 28, unfiltered)",False,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,355,0.3323943661971831,0.9918709511009975,0.5820730434095355,-4.2936315040225725,24172.6067566618,113176.59424759158,,
baseline,"baseline (sec 28, unfiltered)",False,EURUSD,EURUSD in-regime 2018-2025,in,1764,0.3378684807256236,1.0198878804320428,0.8080084639965994,-1.6448345043774426,6159.124361624958,97793.64319463813,,
baseline,"baseline (sec 28, unfiltered)",False,EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,1174,0.3373083475298126,1.0160343988034963,0.824545301318746,-1.4853452588281761,18603.240598278262,90953.8676042677,,
baseline,"baseline (sec 28, unfiltered)",False,SPX500,SPX500 in-regime 2018-2025,in,3469,0.33900259440761027,1.0128121054250416,0.7040645749233917,-2.7426240085379456,14.264444405109014,255640.1328556501,,1786.0
baseline,"baseline (sec 28, unfiltered)",False,SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,311,0.40514469453376206,1.3653655195338956,0.7810428904940282,-1.9378664490365238,54304.41807794388,118830.84013800269,,
baseline,"baseline (sec 28, unfiltered)",False,BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,5381,0.25348448243820854,1.0366343220295473,0.1730403924522925,-12.310040169217297,1.5085265475476016e-28,639396.7866751484,,321.0
F1,F1 sweep-quality ONLY,True,XAUUSD,XAUUSD in-regime 2018-2025,in,913,0.3307776560788609,0.9843295946487011,0.6387232954220033,-3.5281279015004787,5028.175671764671,331603.89707604144,,
F1,F1 sweep-quality ONLY,True,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,171,0.3157894736842105,0.914189411770739,0.5288812840369308,-5.073624305588534,45156.346501197855,113176.59424759158,,
F1,F1 sweep-quality ONLY,True,EURUSD,EURUSD in-regime 2018-2025,in,1240,0.3370967741935484,1.016300874612366,0.8089773696800826,-1.6343092615852095,14298.674141740354,97793.64319463813,,
F1,F1 sweep-quality ONLY,True,EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,805,0.33043478260869563,0.9853216150017831,0.8025029201394224,-1.694177835240034,27299.63229429109,90953.8676042677,,
F1,F1 sweep-quality ONLY,True,SPX500,SPX500 in-regime 2018-2025,in,1807,0.34366353071389044,1.0357883693924357,0.713012611968774,-2.644551447746895,1154.4372658320542,255640.1328556501,,
F1,F1 sweep-quality ONLY,True,SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,205,0.44390243902439025,1.5929038906105675,0.900178965708313,-0.8220741407512638,83069.69036133212,118830.84013800269,,
F1,F1 sweep-quality ONLY,True,BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,921,0.252985884907709,1.088291121218438,0.15077781352121736,-12.997477766458273,0.0845603024988124,639396.7866751484,,361.0
F2,F2 HTF-context ONLY,True,XAUUSD,XAUUSD in-regime 2018-2025,in,1867,0.339046598821639,1.0223678700961947,0.675943196811932,-3.0616450721095694,453.2308785026824,331603.89707604144,,1558.0
F2,F2 HTF-context ONLY,True,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,347,0.3314121037463977,0.987484146035592,0.5799001476558855,-4.323116478195899,24744.043773466365,113176.59424759158,,
F2,F2 HTF-context ONLY,True,EURUSD,EURUSD in-regime 2018-2025,in,1195,0.33556485355648535,1.00958444429898,0.797885303532102,-1.7420003484048163,13679.440739681859,97793.64319463813,,
F2,F2 HTF-context ONLY,True,EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,694,0.3357348703170029,1.0078631088387338,0.8091944420766678,-1.6323656049822757,33674.81622301812,90953.8676042677,,
F2,F2 HTF-context ONLY,True,SPX500,SPX500 in-regime 2018-2025,in,2868,0.34205020920502094,1.0276280966325833,0.7128732907710832,-2.645354281285352,82.81413129155959,255640.1328556501,,1678.0
F2,F2 HTF-context ONLY,True,SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,312,0.40384615384615385,1.3577129094833993,0.7756849946982121,-1.9920353619447493,53390.073785355315,118830.84013800269,,
F2,F2 HTF-context ONLY,True,BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,4266,0.2587904360056259,1.032771069093543,0.18281007553282805,-12.005608209721355,9.43692926464256e-21,639396.7866751484,,367.0
F3,F3 selectivity-cap ONLY,True,XAUUSD,XAUUSD in-regime 2018-2025,in,247,0.3157894736842105,0.9200575867870339,0.5858160772865681,-4.212839697624338,38452.28672914346,331603.89707604144,,
F3,F3 selectivity-cap ONLY,True,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,35,0.4,1.3169134662605642,0.8109686071911852,-1.6253692493530534,94309.21245240704,113176.59424759158,,
F3,F3 selectivity-cap ONLY,True,EURUSD,EURUSD in-regime 2018-2025,in,224,0.3125,0.9084353495683352,0.7258734477694162,-2.474003274864935,59913.24661324857,97793.64319463813,,
F3,F3 selectivity-cap ONLY,True,EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,140,0.35714285714285715,1.109111768528683,0.8982849319678988,-0.8222999704417377,88666.3843016171,90953.8676042677,,
F3,F3 selectivity-cap ONLY,True,SPX500,SPX500 in-regime 2018-2025,in,319,0.32601880877742945,0.9600619259250479,0.6501837462065007,-3.369812189430131,37427.63919026515,255640.1328556501,,
F3,F3 selectivity-cap ONLY,True,SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,44,0.4318181818181818,1.5529187721536544,0.8621105338600974,-1.148139190450652,94740.2605962521,118830.84013800269,,
F3,F3 selectivity-cap ONLY,True,BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,314,0.22929936305732485,1.063829194465215,0.13878381592029376,-13.655207257408419,644.5155238817537,639396.7866751484,,300.0
F4,F4 level-significance ONLY,True,XAUUSD,XAUUSD in-regime 2018-2025,in,2196,0.3410746812386157,1.0314183699310797,0.6737823284290079,-3.09043224325478,165.42010923467578,331603.89707604144,,1487.0
F4,F4 level-significance ONLY,True,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,355,0.3323943661971831,0.9918709511009975,0.5820730434095355,-4.2936315040225725,24172.6067566618,113176.59424759158,,
F4,F4 level-significance ONLY,True,EURUSD,EURUSD in-regime 2018-2025,in,1764,0.3378684807256236,1.0198878804320428,0.8080084639965994,-1.6448345043774426,6159.124361624958,97793.64319463813,,
F4,F4 level-significance ONLY,True,EURUSD,EURUSD out-of-regime 2013-2017 (full 5yr),out,1174,0.3373083475298126,1.0160343988034963,0.824545301318746,-1.4853452588281761,18603.240598278262,90953.8676042677,,
F4,F4 level-significance ONLY,True,SPX500,SPX500 in-regime 2018-2025,in,3469,0.33900259440761027,1.0128121054250416,0.7040645749233917,-2.7426240085379456,14.264444405109014,255640.1328556501,,1786.0
F4,F4 level-significance ONLY,True,SPX500,"SPX500 out-of-regime 2017 (1yr, not a full regime test)",out,311,0.40514469453376206,1.3653655195338956,0.7810428904940282,-1.9378664490365238,54304.41807794388,118830.84013800269,,
F4,F4 level-significance ONLY,True,BTCUSDT,BTCUSDT in-regime 2018-2025 (no out-of-regime window -- see docstring),in,5357,0.2536867649803995,1.0383819875955322,0.17289956119762112,-12.314782024472679,1.9355997882593e-28,639396.7866751484,,321.0
ALL4,"ALL FOUR (sec 29, reference)",False,XAUUSD,XAUUSD in-regime 2018-2025,in,149,0.28187919463087246,0.7837172693509105,0.520414922957134,-5.165665852677404,50790.232092661965,331603.89707604144,,
ALL4,"ALL FOUR (sec 29, reference)",False,XAUUSD,"XAUUSD out-of-regime 2017 (1yr, not a full regime test)",out,29,0.41379310344827586,1.4074760269631321,0.8382232017820743,-1.3637915905387803,95940.53402706776,113176.59424759158,,
ALL4,"ALL FOUR (sec 29, reference)",False,EURUSD,EURUSD in-regime 2018-2025,in,120,0.325,0.9676746589132896,0.7464981471829079,-2.2329255119603877,77195.72034008465,97793.64319463813,,
