N_months,K_holdings,full_gross_cagr_pct,full_net_cagr_pct,full_gross_sharpe,full_net_sharpe,full_dsr,full_maxDD_pct,full_top_year,full_top_year_share_pct,full_cost_pct_of_gross,full_vs_spy_bh_sharpe,full_beats_spy_bh,look_ahead_guard_pass,stress_gross_sharpe,stress_net_sharpe,stress_dsr,stress_maxDD_pct,stress_net_cagr_pct,stress_top_year_share_pct,stress_vs_spy_bh_sharpe,stress_beats_spy_bh
6,3,6.912317096386844,6.70447256564255,0.5496451977061295,0.5356793561948331,0.48667821150395224,33.862283990237664,2013,12.357492127842747,7.070132003841834,-0.11431220617977722,False,True,0.7040527306682088,0.6956286803966087,0.48893799230272933,33.86228399023779,11.452890986487807,24.7733601302956,0.6245457025536965,True
6,5,6.1077634397048275,5.926995938081037,0.5364938475275063,0.5228451104946525,0.4571123816085044,31.98252938113011,2003,13.727527934769393,6.440552334230065,-0.12714645187995777,False,True,0.6926475549197144,0.6840517635680887,0.47437027216753086,31.98252938113008,10.047100294516254,28.08651244689287,0.6129687857251764,True
12,3,6.618874264482644,6.450680522571206,0.5255341436957252,0.514286070759819,0.43751584929771337,44.56735432352126,2013,13.44242585430018,5.8381556776403665,-0.13570549161479128,False,True,0.5682908859818588,0.5625323423402784,0.32704975697095684,44.56735432352126,9.001712601468759,32.09048419905478,0.49144936449736615,True
12,5,6.487916398118587,6.3459984106024825,0.5517367210055962,0.5413696596853981,0.4998197210619535,39.02938862524964,2013,13.827149266104533,4.979343805929426,-0.10862190268921224,False,True,0.6168884274999515,0.6103677014363583,0.38323831680139264,39.02938862524964,9.084933382904659,29.688398595276492,0.5392847235934461,True
