instrument,family,variant,n_trades,gross_R_mean,gross_R_std,se,t_stat,p_value,t_daily_block,n_days,cost_R_mean,edge_as_pct_of_cost,net_R_mean
XAUUSD,meanrev,0,43004,0.03983237873573642,1.1983390535172422,0.005778635303366975,6.893042499589431,5.461187058131145e-12,9.60527270361225,1619,1.3460913232024034,2.959114143977516,-1.306258944466667
NAS100,macross,2,45396,0.028755111210068744,1.6718778084846007,0.007846857025575499,3.664538695728282,0.00024778477736941973,6.478933260903064,1953,0.8438418492882236,3.4076422299182645,-0.8150867380781548
NAS100,trend,2,63372,0.01775477148760684,1.4344726378244714,0.005698277063735494,3.1158140064126214,0.0018343793221664573,3.783422332148239,2073,0.5080341215419778,3.4947990173805286,-0.4902793500543709
NAS100,momentum,1,46941,0.010652723792943955,1.3954670791266517,0.006440853584281313,1.6539304384967808,0.09814164721801921,2.8263717307197695,1984,0.6356862085787619,1.6757833738065242,-0.6250334847858178
NAS100,breakout,1,67472,-0.004019930668981801,1.3781901921268116,0.005305757090259963,-0.7576544874927245,0.44865785187368834,-0.027565742585991232,2019,0.8005366717977668,-0.5021544684460532,-0.8045566024667484
